Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Tåsan;102460;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2001-07-01 00:00:00;2018-03-31 23:59:59;255.0;60.7658;12.8493
1960-02-01 00:00:00;2001-06-30 23:59:59;260.0;60.7677;12.8455

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1960-01-01 06:00:01;1960-02-01 06:00:00;1960-01;56.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1960-02-01 06:00:01;1960-03-01 06:00:00;1960-02;34.0;G;;Tidsperiod (fr.o.m.) = 1960-02-01 00:00:00 (UTC)
1960-03-01 06:00:01;1960-04-01 06:00:00;1960-03;14.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1960-04-01 06:00:01;1960-05-01 06:00:00;1960-04;21.0;G;;Värdet är summerat över = 1 månad
1960-05-01 06:00:01;1960-06-01 06:00:00;1960-05;31.0;G;;
1960-06-01 06:00:01;1960-07-01 06:00:00;1960-06;74.0;G;;Kvalitetskoderna:
1960-07-01 06:00:01;1960-08-01 06:00:00;1960-07;103.0;G;;Grön (G) = Kontrollerade och godkända värden.
1960-08-01 06:00:01;1960-09-01 06:00:00;1960-08;111.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1960-09-01 06:00:01;1960-10-01 06:00:00;1960-09;80.0;G;;
1960-10-01 06:00:01;1960-11-01 06:00:00;1960-10;46.0;G;;Orsaker till saknade data:
1960-11-01 06:00:01;1960-12-01 06:00:00;1960-11;114.0;G;;  stationen eller givaren har varit ur funktion.
1960-12-01 06:00:01;1961-01-01 06:00:00;1960-12;56.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1961-01-01 06:00:01;1961-02-01 06:00:00;1961-01;53.1;Y
1961-02-01 06:00:01;1961-03-01 06:00:00;1961-02;28.7;Y
1961-03-01 06:00:01;1961-04-01 06:00:00;1961-03;15.3;Y
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;15.7;Y
1961-05-01 06:00:01;1961-06-01 06:00:00;1961-05;50.7;Y
1961-06-01 06:00:01;1961-07-01 06:00:00;1961-06;83.3;Y
1961-07-01 06:00:01;1961-08-01 06:00:00;1961-07;46.7;Y
1961-08-01 06:00:01;1961-09-01 06:00:00;1961-08;93.6;Y
1961-09-01 06:00:01;1961-10-01 06:00:00;1961-09;87.9;Y
1961-10-01 06:00:01;1961-11-01 06:00:00;1961-10;99.7;Y
1961-11-01 06:00:01;1961-12-01 06:00:00;1961-11;74.1;Y
1961-12-01 06:00:01;1962-01-01 06:00:00;1961-12;27.5;Y
1962-01-01 06:00:01;1962-02-01 06:00:00;1962-01;60.7;Y
1962-02-01 06:00:01;1962-03-01 06:00:00;1962-02;35.7;Y
1962-03-01 06:00:01;1962-04-01 06:00:00;1962-03;35.7;Y
1962-04-01 06:00:01;1962-05-01 06:00:00;1962-04;43.8;Y
1962-05-01 06:00:01;1962-06-01 06:00:00;1962-05;61.3;Y
1962-06-01 06:00:01;1962-07-01 06:00:00;1962-06;51.5;Y
1962-07-01 06:00:01;1962-08-01 06:00:00;1962-07;66.9;Y
1962-08-01 06:00:01;1962-09-01 06:00:00;1962-08;72.9;Y
1962-09-01 06:00:01;1962-10-01 06:00:00;1962-09;65.1;Y
1962-10-01 06:00:01;1962-11-01 06:00:00;1962-10;46.2;Y
1962-11-01 06:00:01;1962-12-01 06:00:00;1962-11;39.3;Y
1962-12-01 06:00:01;1963-01-01 06:00:00;1962-12;51.7;Y
1963-01-01 06:00:01;1963-02-01 06:00:00;1963-01;2.8;Y
1963-02-01 06:00:01;1963-03-01 06:00:00;1963-02;9.7;Y
1963-03-01 06:00:01;1963-04-01 06:00:00;1963-03;13.6;Y
1963-04-01 06:00:01;1963-05-01 06:00:00;1963-04;54.2;Y
1963-05-01 06:00:01;1963-06-01 06:00:00;1963-05;77.7;Y
1963-06-01 06:00:01;1963-07-01 06:00:00;1963-06;76.0;G
1963-07-01 06:00:01;1963-08-01 06:00:00;1963-07;98.7;Y
1963-08-01 06:00:01;1963-09-01 06:00:00;1963-08;103.2;Y
1963-09-01 06:00:01;1963-10-01 06:00:00;1963-09;58.0;G
1963-10-01 06:00:01;1963-11-01 06:00:00;1963-10;58.1;Y
1963-11-01 06:00:01;1963-12-01 06:00:00;1963-11;75.0;G
1963-12-01 06:00:01;1964-01-01 06:00:00;1963-12;7.0;G
1964-01-01 06:00:01;1964-02-01 06:00:00;1964-01;16.5;Y
1964-02-01 06:00:01;1964-03-01 06:00:00;1964-02;24.1;Y
1964-03-01 06:00:01;1964-04-01 06:00:00;1964-03;0.7;Y
1964-04-01 06:00:01;1964-05-01 06:00:00;1964-04;22.2;Y
1964-05-01 06:00:01;1964-06-01 06:00:00;1964-05;37.7;Y
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;65.2;Y
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;88.1;Y
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;65.1;Y
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;84.7;Y
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;96.3;Y
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;31.1;Y
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;61.7;Y
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;60.4;Y
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;15.2;Y
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;18.0;Y
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;52.8;Y
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;32.6;Y
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;66.2;Y
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;63.5;Y
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;48.6;Y
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;115.7;Y
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;25.6;Y
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;41.6;Y
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;57.6;Y
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;31.8;Y
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;65.3;Y
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;34.8;Y
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;69.7;Y
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;38.0;Y
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;22.0;Y
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;115.8;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;104.8;Y
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;54.6;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;74.1;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;59.1;Y
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;114.2;Y
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;36.9;Y
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;42.1;Y
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;69.3;Y
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;24.5;Y
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;94.0;Y
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;45.9;Y
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;27.8;Y
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;96.1;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;81.5;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;101.0;Y
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;86.0;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;54.7;Y
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;36.9;Y
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;29.5;Y
1968-03-01 06:00:01;1968-04-01 06:00:00;1968-03;36.7;Y
1968-04-01 06:00:01;1968-05-01 06:00:00;1968-04;23.3;Y
1968-05-01 06:00:01;1968-06-01 06:00:00;1968-05;54.9;Y
1968-06-01 06:00:01;1968-07-01 06:00:00;1968-06;69.8;Y
1968-07-01 06:00:01;1968-08-01 06:00:00;1968-07;40.5;Y
1968-08-01 06:00:01;1968-09-01 06:00:00;1968-08;39.4;Y
1968-09-01 06:00:01;1968-10-01 06:00:00;1968-09;56.7;Y
1968-10-01 06:00:01;1968-11-01 06:00:00;1968-10;107.5;Y
1968-11-01 06:00:01;1968-12-01 06:00:00;1968-11;39.9;Y
1968-12-01 06:00:01;1969-01-01 06:00:00;1968-12;29.7;Y
1969-01-01 06:00:01;1969-02-01 06:00:00;1969-01;67.5;Y
1969-02-01 06:00:01;1969-03-01 06:00:00;1969-02;20.9;Y
1969-03-01 06:00:01;1969-04-01 06:00:00;1969-03;15.3;Y
1969-04-01 06:00:01;1969-05-01 06:00:00;1969-04;58.6;Y
1969-05-01 06:00:01;1969-06-01 06:00:00;1969-05;25.5;Y
1969-06-01 06:00:01;1969-07-01 06:00:00;1969-06;20.8;Y
1969-07-01 06:00:01;1969-08-01 06:00:00;1969-07;72.1;Y
1969-08-01 06:00:01;1969-09-01 06:00:00;1969-08;52.5;Y
1969-09-01 06:00:01;1969-10-01 06:00:00;1969-09;81.8;Y
1969-10-01 06:00:01;1969-11-01 06:00:00;1969-10;15.4;Y
1969-11-01 06:00:01;1969-12-01 06:00:00;1969-11;55.3;Y
1969-12-01 06:00:01;1970-01-01 06:00:00;1969-12;21.7;Y
1970-01-01 06:00:01;1970-02-01 06:00:00;1970-01;18.7;Y
1970-02-01 06:00:01;1970-03-01 06:00:00;1970-02;14.5;Y
1970-03-01 06:00:01;1970-04-01 06:00:00;1970-03;32.5;Y
1970-04-01 06:00:01;1970-05-01 06:00:00;1970-04;46.7;Y
1970-05-01 06:00:01;1970-06-01 06:00:00;1970-05;37.8;Y
1970-06-01 06:00:01;1970-07-01 06:00:00;1970-06;34.8;Y
1970-07-01 06:00:01;1970-08-01 06:00:00;1970-07;138.0;Y
1970-08-01 06:00:01;1970-09-01 06:00:00;1970-08;17.8;Y
1970-09-01 06:00:01;1970-10-01 06:00:00;1970-09;83.5;Y
1970-10-01 06:00:01;1970-11-01 06:00:00;1970-10;74.1;Y
1970-11-01 06:00:01;1970-12-01 06:00:00;1970-11;78.3;Y
1970-12-01 06:00:01;1971-01-01 06:00:00;1970-12;17.8;Y
1971-01-01 06:00:01;1971-02-01 06:00:00;1971-01;50.5;Y
1971-02-01 06:00:01;1971-03-01 06:00:00;1971-02;29.4;Y
1971-03-01 06:00:01;1971-04-01 06:00:00;1971-03;29.7;Y
1971-04-01 06:00:01;1971-05-01 06:00:00;1971-04;25.4;Y
1971-05-01 06:00:01;1971-06-01 06:00:00;1971-05;53.9;Y
1971-06-01 06:00:01;1971-07-01 06:00:00;1971-06;29.0;Y
1971-07-01 06:00:01;1971-08-01 06:00:00;1971-07;83.3;Y
1971-08-01 06:00:01;1971-09-01 06:00:00;1971-08;34.5;Y
1971-09-01 06:00:01;1971-10-01 06:00:00;1971-09;63.9;Y
