Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Andersviksberg;103220;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1974-11-01 00:00:00;2017-06-01 23:59:59;420.0;60.3694;13.8749

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;143.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;101.2;Y;;Tidsperiod (fr.o.m.) = 1974-11-01 00:00:00 (UTC)
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;82.6;Y;;Tidsperiod (t.o.m.) = 2017-06-01 23:59:59 (UTC)
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;96.1;Y;;Värdet är summerat över = 1 månad
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;14.3;Y;;
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;21.8;Y;;Kvalitetskoderna:
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;39.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;42.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;30.5;Y;;
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;56.0;Y;;Orsaker till saknade data:
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;62.2;Y;;  stationen eller givaren har varit ur funktion.
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;152.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;45.3;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;45.6;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;43.4;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;48.2;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;31.4;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;13.2;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;27.9;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;28.8;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;39.7;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;63.4;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;41.0;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;79.7;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;54.7;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;95.1;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;88.9;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;97.4;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;24.9;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;46.9;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;120.5;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;57.6;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;102.8;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;108.0;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;41.7;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;71.9;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;86.9;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;120.2;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;50.1;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;61.3;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;26.4;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;66.0;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;18.5;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;21.2;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;40.9;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;75.8;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;82.6;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;74.9;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;16.7;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;59.9;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;15.2;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;40.3;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;24.2;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;77.6;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;65.4;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;74.8;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;50.7;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;99.6;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;146.9;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;61.4;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;56.5;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;117.5;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;73.8;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;12.5;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;20.4;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;27.5;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;20.0;Y
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;35.3;Y
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;128.0;Y
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;60.9;Y
1980-08-01 06:00:01;1980-09-01 06:00:00;1980-08;118.8;Y
1980-09-01 06:00:01;1980-10-01 06:00:00;1980-09;79.8;Y
1980-10-01 06:00:01;1980-11-01 06:00:00;1980-10;178.5;Y
1980-11-01 06:00:01;1980-12-01 06:00:00;1980-11;78.4;Y
1980-12-01 06:00:01;1981-01-01 06:00:00;1980-12;82.5;Y
1981-01-01 06:00:01;1981-02-01 06:00:00;1981-01;33.7;Y
1981-02-01 06:00:01;1981-03-01 06:00:00;1981-02;37.4;Y
1981-03-01 06:00:01;1981-04-01 06:00:00;1981-03;88.4;Y
1981-04-01 06:00:01;1981-05-01 06:00:00;1981-04;16.0;Y
1981-05-01 06:00:01;1981-06-01 06:00:00;1981-05;57.9;Y
1981-06-01 06:00:01;1981-07-01 06:00:00;1981-06;226.1;Y
1981-07-01 06:00:01;1981-08-01 06:00:00;1981-07;78.6;Y
1981-08-01 06:00:01;1981-09-01 06:00:00;1981-08;13.3;Y
1981-09-01 06:00:01;1981-10-01 06:00:00;1981-09;63.4;Y
1981-10-01 06:00:01;1981-11-01 06:00:00;1981-10;112.6;Y
1981-11-01 06:00:01;1981-12-01 06:00:00;1981-11;131.1;Y
1981-12-01 06:00:01;1982-01-01 06:00:00;1981-12;39.4;Y
1982-01-01 06:00:01;1982-02-01 06:00:00;1982-01;25.3;Y
1982-02-01 06:00:01;1982-03-01 06:00:00;1982-02;45.6;Y
1982-03-01 06:00:01;1982-04-01 06:00:00;1982-03;49.2;Y
1982-04-01 06:00:01;1982-05-01 06:00:00;1982-04;51.1;Y
1982-05-01 06:00:01;1982-06-01 06:00:00;1982-05;72.3;Y
1982-06-01 06:00:01;1982-07-01 06:00:00;1982-06;16.7;Y
1982-07-01 06:00:01;1982-08-01 06:00:00;1982-07;54.5;Y
1982-08-01 06:00:01;1982-09-01 06:00:00;1982-08;83.7;Y
1982-09-01 06:00:01;1982-10-01 06:00:00;1982-09;112.1;Y
1982-10-01 06:00:01;1982-11-01 06:00:00;1982-10;56.0;Y
1982-11-01 06:00:01;1982-12-01 06:00:00;1982-11;139.0;Y
1982-12-01 06:00:01;1983-01-01 06:00:00;1982-12;98.3;Y
1983-01-01 06:00:01;1983-02-01 06:00:00;1983-01;81.6;Y
1983-02-01 06:00:01;1983-03-01 06:00:00;1983-02;10.4;Y
1983-03-01 06:00:01;1983-04-01 06:00:00;1983-03;41.5;Y
1983-04-01 06:00:01;1983-05-01 06:00:00;1983-04;60.5;Y
1983-05-01 06:00:01;1983-06-01 06:00:00;1983-05;102.4;Y
1983-06-01 06:00:01;1983-07-01 06:00:00;1983-06;45.0;Y
1983-07-01 06:00:01;1983-08-01 06:00:00;1983-07;36.7;Y
1983-08-01 06:00:01;1983-09-01 06:00:00;1983-08;28.3;Y
1983-09-01 06:00:01;1983-10-01 06:00:00;1983-09;141.1;Y
1983-10-01 06:00:01;1983-11-01 06:00:00;1983-10;81.5;Y
1983-11-01 06:00:01;1983-12-01 06:00:00;1983-11;17.1;Y
1983-12-01 06:00:01;1984-01-01 06:00:00;1983-12;68.5;Y
1984-01-01 06:00:01;1984-02-01 06:00:00;1984-01;71.5;Y
1984-02-01 06:00:01;1984-03-01 06:00:00;1984-02;36.9;Y
1984-03-01 06:00:01;1984-04-01 06:00:00;1984-03;28.5;Y
1984-04-01 06:00:01;1984-05-01 06:00:00;1984-04;7.6;Y
1984-05-01 06:00:01;1984-06-01 06:00:00;1984-05;45.0;Y
1984-06-01 06:00:01;1984-07-01 06:00:00;1984-06;132.5;Y
1984-07-01 06:00:01;1984-08-01 06:00:00;1984-07;73.6;Y
1984-08-01 06:00:01;1984-09-01 06:00:00;1984-08;33.0;Y
1984-09-01 06:00:01;1984-10-01 06:00:00;1984-09;131.7;Y
1984-10-01 06:00:01;1984-11-01 06:00:00;1984-10;197.3;Y
1984-11-01 06:00:01;1984-12-01 06:00:00;1984-11;61.6;Y
1984-12-01 06:00:01;1985-01-01 06:00:00;1984-12;62.9;Y
1985-01-01 06:00:01;1985-02-01 06:00:00;1985-01;69.5;Y
1985-02-01 06:00:01;1985-03-01 06:00:00;1985-02;28.4;Y
1985-03-01 06:00:01;1985-04-01 06:00:00;1985-03;65.3;Y
1985-04-01 06:00:01;1985-05-01 06:00:00;1985-04;58.0;Y
1985-05-01 06:00:01;1985-06-01 06:00:00;1985-05;38.2;Y
1985-06-01 06:00:01;1985-07-01 06:00:00;1985-06;132.4;Y
1985-07-01 06:00:01;1985-08-01 06:00:00;1985-07;140.6;Y
1985-08-01 06:00:01;1985-09-01 06:00:00;1985-08;117.4;Y
1985-09-01 06:00:01;1985-10-01 06:00:00;1985-09;148.6;Y
1985-10-01 06:00:01;1985-11-01 06:00:00;1985-10;34.1;Y
1985-11-01 06:00:01;1985-12-01 06:00:00;1985-11;92.8;Y
1985-12-01 06:00:01;1986-01-01 06:00:00;1985-12;54.9;Y
1986-01-01 06:00:01;1986-02-01 06:00:00;1986-01;74.1;Y
1986-02-01 06:00:01;1986-03-01 06:00:00;1986-02;4.6;Y
1986-03-01 06:00:01;1986-04-01 06:00:00;1986-03;85.6;Y
1986-04-01 06:00:01;1986-05-01 06:00:00;1986-04;66.6;Y
1986-05-01 06:00:01;1986-06-01 06:00:00;1986-05;54.3;Y
1986-06-01 06:00:01;1986-07-01 06:00:00;1986-06;67.3;Y
1986-07-01 06:00:01;1986-08-01 06:00:00;1986-07;94.7;Y
1986-08-01 06:00:01;1986-09-01 06:00:00;1986-08;139.8;Y
1986-09-01 06:00:01;1986-10-01 06:00:00;1986-09;56.5;Y
1986-10-01 06:00:01;1986-11-01 06:00:00;1986-10;65.5;Y
1986-11-01 06:00:01;1986-12-01 06:00:00;1986-11;119.9;Y
1986-12-01 06:00:01;1987-01-01 06:00:00;1986-12;111.1;Y
1987-01-01 06:00:01;1987-02-01 06:00:00;1987-01;13.0;Y
1987-02-01 06:00:01;1987-03-01 06:00:00;1987-02;36.6;Y
1987-03-01 06:00:01;1987-04-01 06:00:00;1987-03;72.1;Y
1987-04-01 06:00:01;1987-05-01 06:00:00;1987-04;15.5;Y
1987-05-01 06:00:01;1987-06-01 06:00:00;1987-05;93.4;Y
1987-06-01 06:00:01;1987-07-01 06:00:00;1987-06;219.5;Y
1987-07-01 06:00:01;1987-08-01 06:00:00;1987-07;73.4;Y
1987-08-01 06:00:01;1987-09-01 06:00:00;1987-08;125.4;Y
1987-09-01 06:00:01;1987-10-01 06:00:00;1987-09;76.6;Y
1987-10-01 06:00:01;1987-11-01 06:00:00;1987-10;119.0;Y
1987-11-01 06:00:01;1987-12-01 06:00:00;1987-11;63.2;Y
1987-12-01 06:00:01;1988-01-01 06:00:00;1987-12;28.1;Y
1988-01-01 06:00:01;1988-02-01 06:00:00;1988-01;105.9;Y
1988-02-01 06:00:01;1988-03-01 06:00:00;1988-02;103.3;Y
1988-03-01 06:00:01;1988-04-01 06:00:00;1988-03;35.3;Y
1988-04-01 06:00:01;1988-05-01 06:00:00;1988-04;52.9;Y
