Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stöllet D;103260;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1976-07-01 00:00:00;2001-07-31 23:59:59;145.0;60.4313;13.2446
2001-08-01 00:00:00;2012-12-31 23:59:59;145.0;60.411;13.2693
2013-01-01 00:00:00;2018-05-01 15:00:00;145.0;60.411;13.2693

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;36.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;42.3;Y;;Tidsperiod (fr.o.m.) = 1976-07-01 00:00:00 (UTC)
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;32.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;51.6;Y;;Värdet är summerat över = 1 månad
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;45.1;Y;;
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;61.1;Y;;Kvalitetskoderna:
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;48.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;68.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;17.7;Y;;
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;38.6;Y;;Orsaker till saknade data:
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;88.4;Y;;  stationen eller givaren har varit ur funktion.
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;41.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;75.2;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;83.6;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;79.5;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;56.4;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;83.9;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;91.4;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;33.0;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;40.6;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;18.5;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;49.4;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;17.6;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;12.9;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;39.9;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;43.7;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;69.3;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;60.8;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;16.7;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;36.7;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;9.3;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;19.3;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;25.6;Y
