Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Malung;103410;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2011-10-01 00:00:00;2016-12-31 23:59:59;310.0;60.6717;13.7058
1994-06-01 00:00:00;2011-09-30 23:59:59;308.0;60.6815;13.6997
1879-09-01 00:00:00;1994-05-31 23:59:59;308.0;60.7041;13.6909

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;70.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;99.0;G;;Tidsperiod (fr.o.m.) = 1879-09-01 00:00:00 (UTC)
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;70.0;G;;Tidsperiod (t.o.m.) = 2016-12-31 23:59:59 (UTC)
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;9.0;G;;Värdet är summerat över = 1 månad
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;9.0;G;;
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;4.0;G;;Kvalitetskoderna:
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;23.0;G;;Grön (G) = Kontrollerade och godkända värden.
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;9.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;14.0;G;;
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;8.0;G;;Orsaker till saknade data:
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;71.0;G;;  stationen eller givaren har varit ur funktion.
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;87.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;56.0;G
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;53.0;G
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;16.0;G
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;32.0;G
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;70.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;18.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;33.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;23.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;9.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;41.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;62.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;74.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;103.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;94.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;44.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;45.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;28.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;29.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;23.0;G
