Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Fredriksberg;104090;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-05-01 00:00:00;2012-12-31 23:59:59;305.0;60.1426;14.3951
2013-01-01 00:00:00;2018-04-30 23:59:59;305.0;60.1418;14.2145
1984-07-01 00:00:00;1989-01-01 23:59:59;300.0;60.1379;14.3728
1941-02-01 00:00:00;1983-10-31 23:59:59;300.0;60.1379;14.3728

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1941-01-01 07:00:01;1941-02-01 07:00:00;1941-01;5.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1941-02-01 07:00:01;1941-03-01 07:00:00;1941-02;46.0;G;;Tidsperiod (fr.o.m.) = 1941-02-01 00:00:00 (UTC)
1941-03-01 07:00:01;1941-04-01 07:00:00;1941-03;35.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1941-04-01 07:00:01;1941-05-01 07:00:00;1941-04;8.0;G;;Värdet är summerat över = 1 månad
1941-05-01 07:00:01;1941-06-01 07:00:00;1941-05;2.0;G;;
1941-06-01 07:00:01;1941-07-01 07:00:00;1941-06;22.0;G;;Kvalitetskoderna:
1941-07-01 07:00:01;1941-08-01 07:00:00;1941-07;40.0;G;;Grön (G) = Kontrollerade och godkända värden.
1941-08-01 07:00:01;1941-09-01 07:00:00;1941-08;126.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1941-09-01 07:00:01;1941-10-01 07:00:00;1941-09;49.0;G;;
1941-10-01 07:00:01;1941-11-01 07:00:00;1941-10;52.0;G;;Orsaker till saknade data:
1941-11-01 07:00:01;1941-12-01 07:00:00;1941-11;26.0;G;;  stationen eller givaren har varit ur funktion.
1941-12-01 07:00:01;1942-01-01 07:00:00;1941-12;59.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1942-01-01 07:00:01;1942-02-01 07:00:00;1942-01;46.0;G
1942-02-01 07:00:01;1942-03-01 07:00:00;1942-02;29.0;G
1942-03-01 07:00:01;1942-04-01 07:00:00;1942-03;2.0;G
1942-04-01 07:00:01;1942-05-01 07:00:00;1942-04;21.0;G
1942-05-01 07:00:01;1942-06-01 07:00:00;1942-05;52.0;G
1942-06-01 07:00:01;1942-07-01 07:00:00;1942-06;98.0;G
1942-07-01 07:00:01;1942-08-01 07:00:00;1942-07;19.0;G
1942-08-01 07:00:01;1942-09-01 07:00:00;1942-08;110.0;G
1942-09-01 07:00:01;1942-10-01 07:00:00;1942-09;61.0;G
1942-10-01 07:00:01;1942-11-01 07:00:00;1942-10;62.0;G
1942-11-01 07:00:01;1942-12-01 07:00:00;1942-11;56.0;G
1942-12-01 07:00:01;1943-01-01 07:00:00;1942-12;44.0;G
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;63.6;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;67.8;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;40.6;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;133.4;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;135.6;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;30.4;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;47.1;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;132.1;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;63.4;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;86.4;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;93.0;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;45.9;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;68.6;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;79.1;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;121.4;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;45.2;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;51.9;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;34.2;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;71.6;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;12.0;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;13.1;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;42.6;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;57.3;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;66.9;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;80.1;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;18.8;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;54.0;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;13.4;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;52.8;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;24.1;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;71.6;Y
