Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Sågen D;104150;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1978-01-01 00:00:00;2004-01-31 23:59:59;260.0;60.2611;14.1388
2009-04-01 00:00:00;2018-04-30 23:59:59;265.0;60.2616;14.137
2004-02-01 00:00:00;2007-07-01 23:59:59;265.0;60.2657;14.1404

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;47.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;46.0;Y;;Tidsperiod (fr.o.m.) = 1978-01-01 00:00:00 (UTC)
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;19.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;62.3;Y;;Värdet är summerat över = 1 månad
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;13.7;Y;;
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;12.3;Y;;Kvalitetskoderna:
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;32.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;48.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;57.2;Y;;
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;69.9;Y;;Orsaker till saknade data:
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;16.2;Y;;  stationen eller givaren har varit ur funktion.
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;56.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;12.0;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;41.1;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;25.3;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;68.9;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;66.1;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;79.7;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;43.1;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;94.7;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;115.7;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;61.9;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;42.2;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;108.0;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;64.3;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;9.8;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;19.4;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;23.9;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;24.4;Y
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;32.1;Y
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;136.0;Y
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;70.7;Y
1980-08-01 06:00:01;1980-09-01 06:00:00;1980-08;110.9;Y
1980-09-01 06:00:01;1980-10-01 06:00:00;1980-09;67.7;Y
1980-10-01 06:00:01;1980-11-01 06:00:00;1980-10;147.3;Y
1980-11-01 06:00:01;1980-12-01 06:00:00;1980-11;78.1;Y
1980-12-01 06:00:01;1981-01-01 06:00:00;1980-12;69.2;Y
1981-01-01 06:00:01;1981-02-01 06:00:00;1981-01;30.3;Y
1981-02-01 06:00:01;1981-03-01 06:00:00;1981-02;38.9;Y
1981-03-01 06:00:01;1981-04-01 06:00:00;1981-03;74.6;Y
