Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norberg;105060;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1988-09-01 00:00:00;2018-04-30 23:59:59;135.0;60.0652;15.9111
1986-10-01 00:00:00;1988-03-31 23:59:59;185.0;60.1062;15.9285

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1986-09-01 06:00:01;1986-10-01 06:00:00;1986-09;62.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1986-10-01 06:00:01;1986-11-01 06:00:00;1986-10;24.8;Y;;Tidsperiod (fr.o.m.) = 1986-10-01 00:00:00 (UTC)
1986-11-01 06:00:01;1986-12-01 06:00:00;1986-11;57.6;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1986-12-01 06:00:01;1987-01-01 06:00:00;1986-12;108.9;Y;;Värdet är summerat över = 1 månad
1987-01-01 06:00:01;1987-02-01 06:00:00;1987-01;14.9;Y;;
1987-02-01 06:00:01;1987-03-01 06:00:00;1987-02;34.6;Y;;Kvalitetskoderna:
1987-03-01 06:00:01;1987-04-01 06:00:00;1987-03;55.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1987-04-01 06:00:01;1987-05-01 06:00:00;1987-04;2.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1987-05-01 06:00:01;1987-06-01 06:00:00;1987-05;62.2;Y;;
1987-06-01 06:00:01;1987-07-01 06:00:00;1987-06;81.5;Y;;Orsaker till saknade data:
1987-07-01 06:00:01;1987-08-01 06:00:00;1987-07;75.9;Y;;  stationen eller givaren har varit ur funktion.
1987-08-01 06:00:01;1987-09-01 06:00:00;1987-08;114.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1987-09-01 06:00:01;1987-10-01 06:00:00;1987-09;64.2;Y
1987-10-01 06:00:01;1987-11-01 06:00:00;1987-10;67.3;Y
1987-11-01 06:00:01;1987-12-01 06:00:00;1987-11;61.6;Y
1987-12-01 06:00:01;1988-01-01 06:00:00;1987-12;43.9;Y
1988-01-01 06:00:01;1988-02-01 06:00:00;1988-01;89.2;Y
1988-02-01 06:00:01;1988-03-01 06:00:00;1988-02;76.2;Y
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;103.5;Y
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;33.8;Y
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;72.5;Y
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;29.5;Y
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;42.4;Y
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;9.7;Y
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;55.5;Y
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;59.3;Y
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;61.1;Y
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;67.8;Y
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;45.9;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;70.8;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;83.3;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;13.8;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;48.5;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;28.5;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;32.8;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;65.9;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;77.8;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;32.9;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;45.0;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;26.9;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;59.4;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;94.2;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;36.2;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;137.7;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;57.9;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;56.8;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;42.8;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;54.3;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;20.2;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;47.9;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;18.6;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;29.6;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;148.3;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;42.4;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;62.1;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;71.3;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;17.0;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;49.7;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;29.5;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;7.9;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;28.5;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;43.2;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;134.9;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;55.4;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;33.9;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;79.0;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;116.1;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;32.6;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;73.7;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;94.1;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;26.0;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;40.3;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;21.7;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;34.9;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;31.1;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;72.9;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;91.3;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;136.7;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;8.4;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;76.3;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;47.0;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;99.3;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;84.1;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;3.8;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;71.4;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;43.6;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;31.6;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;80.1;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;9.8;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;82.0;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;128.4;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;46.7;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;27.3;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;60.8;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;67.9;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;43.2;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;70.1;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;95.7;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;102.4;Y
