Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Ludvika;105100;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1937-02-01 00:00:00;2018-03-31 23:59:59;165.0;60.1415;15.1759

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1937-01-01 07:00:01;1937-02-01 07:00:00;1937-01;17.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1937-02-01 07:00:01;1937-03-01 07:00:00;1937-02;82.0;G;;Tidsperiod (fr.o.m.) = 1937-02-01 00:00:00 (UTC)
1937-03-01 07:00:01;1937-04-01 07:00:00;1937-03;71.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1937-04-01 07:00:01;1937-05-01 07:00:00;1937-04;29.0;G;;Värdet är summerat över = 1 månad
1937-05-01 07:00:01;1937-06-01 07:00:00;1937-05;44.0;G;;
1937-06-01 07:00:01;1937-07-01 07:00:00;1937-06;50.0;G;;Kvalitetskoderna:
1937-07-01 07:00:01;1937-08-01 07:00:00;1937-07;82.0;G;;Grön (G) = Kontrollerade och godkända värden.
1937-08-01 07:00:01;1937-09-01 07:00:00;1937-08;86.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1937-09-01 07:00:01;1937-10-01 07:00:00;1937-09;81.0;G;;
1937-10-01 07:00:01;1937-11-01 07:00:00;1937-10;7.0;G;;Orsaker till saknade data:
1937-11-01 07:00:01;1937-12-01 07:00:00;1937-11;38.0;G;;  stationen eller givaren har varit ur funktion.
1937-12-01 07:00:01;1938-01-01 07:00:00;1937-12;81.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1938-01-01 07:00:01;1938-02-01 07:00:00;1938-01;57.0;G
1938-02-01 07:00:01;1938-03-01 07:00:00;1938-02;23.0;G
1938-03-01 07:00:01;1938-04-01 07:00:00;1938-03;30.0;G
1938-04-01 07:00:01;1938-05-01 07:00:00;1938-04;38.0;G
1938-05-01 07:00:01;1938-06-01 07:00:00;1938-05;31.0;G
1938-06-01 07:00:01;1938-07-01 07:00:00;1938-06;81.0;G
1938-07-01 07:00:01;1938-08-01 07:00:00;1938-07;148.0;G
1938-08-01 07:00:01;1938-09-01 07:00:00;1938-08;85.0;G
1938-09-01 07:00:01;1938-10-01 07:00:00;1938-09;135.0;G
1938-10-01 07:00:01;1938-11-01 07:00:00;1938-10;69.0;G
1938-11-01 07:00:01;1938-12-01 07:00:00;1938-11;67.0;G
1938-12-01 07:00:01;1939-01-01 07:00:00;1938-12;66.0;G
1939-01-01 07:00:01;1939-02-01 07:00:00;1939-01;133.0;G
1939-02-01 07:00:01;1939-03-01 07:00:00;1939-02;28.0;G
1939-03-01 07:00:01;1939-04-01 07:00:00;1939-03;8.0;G
1939-04-01 07:00:01;1939-05-01 07:00:00;1939-04;37.0;G
1939-05-01 07:00:01;1939-06-01 07:00:00;1939-05;28.0;G
1939-06-01 07:00:01;1939-07-01 07:00:00;1939-06;50.0;G
1939-07-01 07:00:01;1939-08-01 07:00:00;1939-07;107.0;G
1939-08-01 07:00:01;1939-09-01 07:00:00;1939-08;57.0;G
1939-09-01 07:00:01;1939-10-01 07:00:00;1939-09;11.0;G
1939-10-01 07:00:01;1939-11-01 07:00:00;1939-10;20.0;G
1939-11-01 07:00:01;1939-12-01 07:00:00;1939-11;66.0;G
1939-12-01 07:00:01;1940-01-01 07:00:00;1939-12;41.0;G
1940-01-01 07:00:01;1940-02-01 07:00:00;1940-01;19.0;G
1940-02-01 07:00:01;1940-03-01 07:00:00;1940-02;23.0;G
1940-03-01 07:00:01;1940-04-01 07:00:00;1940-03;44.0;G
1940-04-01 07:00:01;1940-05-01 07:00:00;1940-04;28.0;G
1940-05-01 07:00:01;1940-06-01 07:00:00;1940-05;27.0;G
1940-06-01 07:00:01;1940-07-01 07:00:00;1940-06;8.0;G
1940-07-01 07:00:01;1940-08-01 07:00:00;1940-07;78.0;G
1940-08-01 07:00:01;1940-09-01 07:00:00;1940-08;165.0;G
1940-09-01 07:00:01;1940-10-01 07:00:00;1940-09;89.0;G
1940-10-01 07:00:01;1940-11-01 07:00:00;1940-10;38.0;G
1940-11-01 07:00:01;1940-12-01 07:00:00;1940-11;72.0;G
1940-12-01 07:00:01;1941-01-01 07:00:00;1940-12;16.0;G
1941-01-01 07:00:01;1941-02-01 07:00:00;1941-01;10.0;G
1941-02-01 07:00:01;1941-03-01 07:00:00;1941-02;51.0;G
1941-03-01 07:00:01;1941-04-01 07:00:00;1941-03;25.0;G
1941-04-01 07:00:01;1941-05-01 07:00:00;1941-04;10.0;G
1941-05-01 07:00:01;1941-06-01 07:00:00;1941-05;4.0;G
1941-06-01 07:00:01;1941-07-01 07:00:00;1941-06;25.0;G
1941-07-01 07:00:01;1941-08-01 07:00:00;1941-07;40.0;G
1941-08-01 07:00:01;1941-09-01 07:00:00;1941-08;130.0;G
1941-09-01 07:00:01;1941-10-01 07:00:00;1941-09;50.0;G
1941-10-01 07:00:01;1941-11-01 07:00:00;1941-10;31.0;G
1941-11-01 07:00:01;1941-12-01 07:00:00;1941-11;19.0;G
1941-12-01 07:00:01;1942-01-01 07:00:00;1941-12;44.0;G
1942-01-01 07:00:01;1942-02-01 07:00:00;1942-01;46.0;G
1942-02-01 07:00:01;1942-03-01 07:00:00;1942-02;33.0;G
1942-03-01 07:00:01;1942-04-01 07:00:00;1942-03;7.0;G
1942-04-01 07:00:01;1942-05-01 07:00:00;1942-04;13.0;G
1942-05-01 07:00:01;1942-06-01 07:00:00;1942-05;57.0;G
1942-06-01 07:00:01;1942-07-01 07:00:00;1942-06;109.0;G
1942-07-01 07:00:01;1942-08-01 07:00:00;1942-07;29.0;G
1942-08-01 07:00:01;1942-09-01 07:00:00;1942-08;54.0;G
1942-09-01 07:00:01;1942-10-01 07:00:00;1942-09;53.0;G
1942-10-01 07:00:01;1942-11-01 07:00:00;1942-10;50.0;G
1942-11-01 07:00:01;1942-12-01 07:00:00;1942-11;43.0;G
1942-12-01 07:00:01;1943-01-01 07:00:00;1942-12;36.0;G
1943-01-01 07:00:01;1943-02-01 07:00:00;1943-01;59.0;G
1943-02-01 07:00:01;1943-03-01 07:00:00;1943-02;30.0;G
1943-03-01 07:00:01;1943-04-01 07:00:00;1943-03;11.0;G
1943-04-01 07:00:01;1943-05-01 07:00:00;1943-04;26.0;G
1943-05-01 07:00:01;1943-06-01 07:00:00;1943-05;13.0;G
1943-06-01 07:00:01;1943-07-01 07:00:00;1943-06;30.0;G
1943-07-01 07:00:01;1943-08-01 07:00:00;1943-07;80.0;G
1943-08-01 07:00:01;1943-09-01 07:00:00;1943-08;165.0;G
1943-09-01 07:00:01;1943-10-01 07:00:00;1943-09;30.0;G
1943-10-01 07:00:01;1943-11-01 07:00:00;1943-10;77.0;G
1943-11-01 07:00:01;1943-12-01 07:00:00;1943-11;65.0;G
1943-12-01 07:00:01;1944-01-01 07:00:00;1943-12;14.0;G
1944-01-01 07:00:01;1944-02-01 07:00:00;1944-01;56.0;G
1944-02-01 07:00:01;1944-03-01 07:00:00;1944-02;23.0;G
1944-03-01 07:00:01;1944-04-01 07:00:00;1944-03;36.0;G
1944-04-01 07:00:01;1944-05-01 07:00:00;1944-04;30.0;G
1944-05-01 07:00:01;1944-06-01 07:00:00;1944-05;88.0;G
1944-06-01 07:00:01;1944-07-01 07:00:00;1944-06;120.0;G
1944-07-01 07:00:01;1944-08-01 07:00:00;1944-07;40.0;G
1944-08-01 07:00:01;1944-09-01 07:00:00;1944-08;76.0;G
1944-09-01 07:00:01;1944-10-01 07:00:00;1944-09;169.0;G
1944-10-01 07:00:01;1944-11-01 07:00:00;1944-10;57.0;G
1944-11-01 07:00:01;1944-12-01 07:00:00;1944-11;138.0;G
1944-12-01 07:00:01;1945-01-01 07:00:00;1944-12;93.0;G
1945-01-01 07:00:01;1945-02-01 07:00:00;1945-01;66.0;G
1945-02-01 07:00:01;1945-03-01 07:00:00;1945-02;35.0;G
1945-03-01 07:00:01;1945-04-01 07:00:00;1945-03;12.0;G
1945-04-01 07:00:01;1945-05-01 07:00:00;1945-04;39.0;G
1945-05-01 07:00:01;1945-06-01 07:00:00;1945-05;78.0;G
1945-06-01 07:00:01;1945-07-01 07:00:00;1945-06;85.0;G
1945-07-01 07:00:01;1945-08-01 07:00:00;1945-07;120.0;G
1945-08-01 07:00:01;1945-09-01 07:00:00;1945-08;97.0;G
1945-09-01 07:00:01;1945-10-01 07:00:00;1945-09;49.0;G
1945-10-01 07:00:01;1945-11-01 07:00:00;1945-10;45.0;G
1945-11-01 07:00:01;1945-12-01 07:00:00;1945-11;30.0;G
1945-12-01 07:00:01;1946-01-01 07:00:00;1945-12;40.0;G
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;18.0;G
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;47.0;G
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;23.0;G
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;45.0;G
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;25.0;G
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;94.0;G
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;23.0;G
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;85.0;G
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;92.0;G
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;15.0;G
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;60.0;G
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;57.0;G
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;21.0;G
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;1.0;G
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;38.0;G
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;41.0;G
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;6.0;G
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;70.0;G
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;85.0;G
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;1.0;G
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;32.0;G
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;13.0;G
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;54.0;G
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;25.0;G
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;58.0;G
1948-02-01 06:00:01;1948-03-01 06:00:00;1948-02;18.0;G
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;30.0;G
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;26.0;G
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;71.0;G
1948-06-01 06:00:01;1948-07-01 06:00:00;1948-06;80.0;G
1948-07-01 06:00:01;1948-08-01 06:00:00;1948-07;50.0;G
1948-08-01 06:00:01;1948-09-01 06:00:00;1948-08;92.0;G
1948-09-01 06:00:01;1948-10-01 06:00:00;1948-09;88.0;G
1948-10-01 06:00:01;1948-11-01 06:00:00;1948-10;45.0;G
1948-11-01 06:00:01;1948-12-01 06:00:00;1948-11;32.0;G
1948-12-01 06:00:01;1949-01-01 06:00:00;1948-12;31.0;G
1949-01-01 06:00:01;1949-02-01 06:00:00;1949-01;60.0;G
1949-02-01 06:00:01;1949-03-01 06:00:00;1949-02;10.0;G
1949-03-01 06:00:01;1949-04-01 06:00:00;1949-03;12.0;G
1949-04-01 06:00:01;1949-05-01 06:00:00;1949-04;32.0;G
1949-05-01 06:00:01;1949-06-01 06:00:00;1949-05;32.0;G
1949-06-01 06:00:01;1949-07-01 06:00:00;1949-06;78.0;G
1949-07-01 06:00:01;1949-08-01 06:00:00;1949-07;65.0;G
1949-08-01 06:00:01;1949-09-01 06:00:00;1949-08;118.0;G
1949-09-01 06:00:01;1949-10-01 06:00:00;1949-09;48.0;G
1949-10-01 06:00:01;1949-11-01 06:00:00;1949-10;118.0;G
1949-11-01 06:00:01;1949-12-01 06:00:00;1949-11;108.0;G
1949-12-01 06:00:01;1950-01-01 06:00:00;1949-12;108.0;G
1950-01-01 06:00:01;1950-02-01 06:00:00;1950-01;41.0;G
1950-02-01 06:00:01;1950-03-01 06:00:00;1950-02;32.0;G
1950-03-01 06:00:01;1950-04-01 06:00:00;1950-03;10.0;G
1950-04-01 06:00:01;1950-05-01 06:00:00;1950-04;92.0;G
1950-05-01 06:00:01;1950-06-01 06:00:00;1950-05;20.0;G
1950-06-01 06:00:01;1950-07-01 06:00:00;1950-06;52.0;G
1950-07-01 06:00:01;1950-08-01 06:00:00;1950-07;94.0;G
1950-08-01 06:00:01;1950-09-01 06:00:00;1950-08;60.0;G
1950-09-01 06:00:01;1950-10-01 06:00:00;1950-09;103.0;G
1950-10-01 06:00:01;1950-11-01 06:00:00;1950-10;40.0;G
1950-11-01 06:00:01;1950-12-01 06:00:00;1950-11;82.0;G
1950-12-01 06:00:01;1951-01-01 06:00:00;1950-12;39.0;G
1951-01-01 06:00:01;1951-02-01 06:00:00;1951-01;32.0;G
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;56.0;G
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;49.0;G
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;42.0;G
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;8.0;G
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;114.0;G
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;30.0;G
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;174.0;G
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;30.0;G
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;5.0;G
1951-11-01 06:00:01;1951-12-01 06:00:00;1951-11;58.0;G
1951-12-01 06:00:01;1952-01-01 06:00:00;1951-12;53.0;G
1952-01-01 06:00:01;1952-02-01 06:00:00;1952-01;29.0;G
1952-02-01 06:00:01;1952-03-01 06:00:00;1952-02;25.0;G
1952-03-01 06:00:01;1952-04-01 06:00:00;1952-03;10.0;G
1952-04-01 06:00:01;1952-05-01 06:00:00;1952-04;49.0;G
1952-05-01 06:00:01;1952-06-01 06:00:00;1952-05;42.0;G
1952-06-01 06:00:01;1952-07-01 06:00:00;1952-06;56.0;G
1952-07-01 06:00:01;1952-08-01 06:00:00;1952-07;62.0;G
1952-08-01 06:00:01;1952-09-01 06:00:00;1952-08;62.0;G
1952-09-01 06:00:01;1952-10-01 06:00:00;1952-09;40.0;G
1952-10-01 06:00:01;1952-11-01 06:00:00;1952-10;71.0;G
1952-11-01 06:00:01;1952-12-01 06:00:00;1952-11;42.0;G
1952-12-01 06:00:01;1953-01-01 06:00:00;1952-12;60.0;G
1953-01-01 06:00:01;1953-02-01 06:00:00;1953-01;30.0;G
1953-02-01 06:00:01;1953-03-01 06:00:00;1953-02;55.0;G
1953-03-01 06:00:01;1953-04-01 06:00:00;1953-03;5.0;G
1953-04-01 06:00:01;1953-05-01 06:00:00;1953-04;65.0;G
1953-05-01 06:00:01;1953-06-01 06:00:00;1953-05;25.0;G
1953-06-01 06:00:01;1953-07-01 06:00:00;1953-06;85.0;G
1953-07-01 06:00:01;1953-08-01 06:00:00;1953-07;175.0;G
1953-08-01 06:00:01;1953-09-01 06:00:00;1953-08;75.0;G
1953-09-01 06:00:01;1953-10-01 06:00:00;1953-09;70.0;G
1953-10-01 06:00:01;1953-11-01 06:00:00;1953-10;40.0;G
1953-11-01 06:00:01;1953-12-01 06:00:00;1953-11;25.0;G
1953-12-01 06:00:01;1954-01-01 06:00:00;1953-12;15.0;G
1954-01-01 06:00:01;1954-02-01 06:00:00;1954-01;41.5;Y
1954-02-01 06:00:01;1954-03-01 06:00:00;1954-02;30.0;Y
1954-03-01 06:00:01;1954-04-01 06:00:00;1954-03;46.9;Y
1954-04-01 06:00:01;1954-05-01 06:00:00;1954-04;17.9;Y
1954-05-01 06:00:01;1954-06-01 06:00:00;1954-05;51.9;Y
1954-06-01 06:00:01;1954-07-01 06:00:00;1954-06;56.5;Y
1954-07-01 06:00:01;1954-08-01 06:00:00;1954-07;107.7;Y
1954-08-01 06:00:01;1954-09-01 06:00:00;1954-08;79.9;Y
1954-09-01 06:00:01;1954-10-01 06:00:00;1954-09;109.7;Y
1954-10-01 06:00:01;1954-11-01 06:00:00;1954-10;84.1;Y
1954-11-01 06:00:01;1954-12-01 06:00:00;1954-11;58.9;Y
1954-12-01 06:00:01;1955-01-01 06:00:00;1954-12;79.5;Y
1955-01-01 06:00:01;1955-02-01 06:00:00;1955-01;29.0;G
1955-02-01 06:00:01;1955-03-01 06:00:00;1955-02;18.4;Y
1955-03-01 06:00:01;1955-04-01 06:00:00;1955-03;6.1;Y
1955-04-01 06:00:01;1955-05-01 06:00:00;1955-04;16.5;Y
1955-05-01 06:00:01;1955-06-01 06:00:00;1955-05;61.9;Y
1955-06-01 06:00:01;1955-07-01 06:00:00;1955-06;45.5;Y
1955-07-01 06:00:01;1955-08-01 06:00:00;1955-07;56.7;Y
1955-08-01 06:00:01;1955-09-01 06:00:00;1955-08;36.8;Y
1955-09-01 06:00:01;1955-10-01 06:00:00;1955-09;50.6;Y
1955-10-01 06:00:01;1955-11-01 06:00:00;1955-10;59.2;Y
1955-11-01 06:00:01;1955-12-01 06:00:00;1955-11;24.8;Y
1955-12-01 06:00:01;1956-01-01 06:00:00;1955-12;75.1;Y
1956-01-01 06:00:01;1956-02-01 06:00:00;1956-01;60.8;Y
1956-02-01 06:00:01;1956-03-01 06:00:00;1956-02;20.7;Y
1956-03-01 06:00:01;1956-04-01 06:00:00;1956-03;9.1;Y
1956-04-01 06:00:01;1956-05-01 06:00:00;1956-04;21.9;Y
1956-05-01 06:00:01;1956-06-01 06:00:00;1956-05;11.1;Y
1956-06-01 06:00:01;1956-07-01 06:00:00;1956-06;110.6;Y
1956-07-01 06:00:01;1956-08-01 06:00:00;1956-07;48.9;Y
1956-08-01 06:00:01;1956-09-01 06:00:00;1956-08;99.8;Y
1956-09-01 06:00:01;1956-10-01 06:00:00;1956-09;39.8;Y
1956-10-01 06:00:01;1956-11-01 06:00:00;1956-10;19.1;Y
1956-11-01 06:00:01;1956-12-01 06:00:00;1956-11;26.7;Y
