Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stora Skedvi;105250;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2014-02-01 00:00:00;2018-04-30 23:59:59;103.0;60.41004;15.74222

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;38.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;49.2;Y;;Tidsperiod (fr.o.m.) = 2014-02-01 00:00:00 (UTC)
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;33.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;40.2;Y;;Värdet är summerat över = 1 månad
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;45.7;Y;;
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;53.3;Y;;Kvalitetskoderna:
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;35.7;Y;;Grön (G) = Kontrollerade och godkända värden.
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;103.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;34.2;Y;;
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;91.2;Y;;Orsaker till saknade data:
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;40.9;Y;;  stationen eller givaren har varit ur funktion.
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;15.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;73.1;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;14.7;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;29.9;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;14.5;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;104.2;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;57.4;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;119.0;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;26.0;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;114.1;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;1.0;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;33.3;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;21.8;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;45.7;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;26.0;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;24.8;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;62.1;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;65.6;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;52.5;Y
2016-07-01 06:00:01;2016-08-01 06:00:00;2016-07;84.5;Y
2016-08-01 06:00:01;2016-09-01 06:00:00;2016-08;134.5;Y
2016-09-01 06:00:01;2016-10-01 06:00:00;2016-09;14.3;Y
2016-10-01 06:00:01;2016-11-01 06:00:00;2016-10;21.8;Y
2016-11-01 06:00:01;2016-12-01 06:00:00;2016-11;59.7;Y
2016-12-01 06:00:01;2017-01-01 06:00:00;2016-12;21.0;Y
2017-01-01 06:00:01;2017-02-01 06:00:00;2017-01;23.3;Y
2017-02-01 06:00:01;2017-03-01 06:00:00;2017-02;29.0;Y
2017-03-01 06:00:01;2017-04-01 06:00:00;2017-03;24.0;Y
2017-04-01 06:00:01;2017-05-01 06:00:00;2017-04;21.5;Y
2017-05-01 06:00:01;2017-06-01 06:00:00;2017-05;27.7;Y
2017-06-01 06:00:01;2017-07-01 06:00:00;2017-06;56.3;Y
2017-07-01 06:00:01;2017-08-01 06:00:00;2017-07;17.2;Y
2017-08-01 06:00:01;2017-09-01 06:00:00;2017-08;58.5;Y
2017-09-01 06:00:01;2017-10-01 06:00:00;2017-09;42.2;Y
2017-10-01 06:00:01;2017-11-01 06:00:00;2017-10;77.1;Y
2017-11-01 06:00:01;2017-12-01 06:00:00;2017-11;78.6;Y
2017-12-01 06:00:01;2018-01-01 06:00:00;2017-12;46.6;Y
2018-01-01 06:00:01;2018-02-01 06:00:00;2018-01;67.2;Y
