Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Borlänge D;105310;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1978-05-01 00:00:00;1981-06-30 23:59:59;120.0;60.4745;15.4162
1981-07-01 00:00:00;2018-05-01 15:00:00;145.0;60.492;15.4274
1879-06-01 00:00:00;1978-04-30 23:59:59;120.0;60.502;15.4606

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-05-01 07:00:01;1879-06-01 07:00:00;1879-05;63.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1879-06-01 07:00:01;1879-07-01 07:00:00;1879-06;73.0;G;;Tidsperiod (fr.o.m.) = 1879-06-01 00:00:00 (UTC)
1879-07-01 07:00:01;1879-08-01 07:00:00;1879-07;140.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;33.0;G;;Värdet är summerat över = 1 månad
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;40.0;G;;
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;43.0;G;;Kvalitetskoderna:
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;13.0;G;;Grön (G) = Kontrollerade och godkända värden.
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;7.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;2.0;G;;
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;21.0;G;;Orsaker till saknade data:
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;12.0;G;;  stationen eller givaren har varit ur funktion.
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;10.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;80.0;G
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;39.0;G
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;34.0;G
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;35.0;G
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;23.0;G
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;30.0;G
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;45.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;8.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;28.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;13.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;12.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;40.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;49.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;64.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;74.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;99.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;22.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;20.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;24.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;31.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;14.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;9.0;G
1958-06-01 06:00:01;1958-07-01 06:00:00;1958-06;69.0;G
1958-07-01 06:00:01;1958-08-01 06:00:00;1958-07;80.0;G
1958-08-01 06:00:01;1958-09-01 06:00:00;1958-08;146.0;G
1958-09-01 06:00:01;1958-10-01 06:00:00;1958-09;31.0;G
1958-10-01 06:00:01;1958-11-01 06:00:00;1958-10;38.0;G
1958-11-01 06:00:01;1958-12-01 06:00:00;1958-11;45.0;G
1958-12-01 06:00:01;1959-01-01 06:00:00;1958-12;76.0;G
1959-01-01 06:00:01;1959-02-01 06:00:00;1959-01;85.0;G
1959-02-01 06:00:01;1959-03-01 06:00:00;1959-02;1.0;G
1959-03-01 06:00:01;1959-04-01 06:00:00;1959-03;41.0;G
1959-04-01 06:00:01;1959-05-01 06:00:00;1959-04;42.0;G
1959-05-01 06:00:01;1959-06-01 06:00:00;1959-05;62.0;G
1959-06-01 06:00:01;1959-07-01 06:00:00;1959-06;23.0;G
1959-07-01 06:00:01;1959-08-01 06:00:00;1959-07;36.0;G
1959-08-01 06:00:01;1959-09-01 06:00:00;1959-08;18.0;G
1959-09-01 06:00:01;1959-10-01 06:00:00;1959-09;26.0;G
1959-10-01 06:00:01;1959-11-01 06:00:00;1959-10;67.0;G
1959-11-01 06:00:01;1959-12-01 06:00:00;1959-11;51.0;G
1959-12-01 06:00:01;1960-01-01 06:00:00;1959-12;48.0;G
1960-01-01 06:00:01;1960-02-01 06:00:00;1960-01;52.0;G
1960-02-01 06:00:01;1960-03-01 06:00:00;1960-02;31.0;G
1960-03-01 06:00:01;1960-04-01 06:00:00;1960-03;6.0;G
1960-04-01 06:00:01;1960-05-01 06:00:00;1960-04;20.0;G
1960-05-01 06:00:01;1960-06-01 06:00:00;1960-05;43.0;G
1960-06-01 06:00:01;1960-07-01 06:00:00;1960-06;73.0;G
1960-07-01 06:00:01;1960-08-01 06:00:00;1960-07;80.0;G
1960-08-01 06:00:01;1960-09-01 06:00:00;1960-08;191.0;G
1960-09-01 06:00:01;1960-10-01 06:00:00;1960-09;27.0;G
1960-10-01 06:00:01;1960-11-01 06:00:00;1960-10;59.0;G
1960-11-01 06:00:01;1960-12-01 06:00:00;1960-11;112.0;G
1960-12-01 06:00:01;1961-01-01 06:00:00;1960-12;40.0;G
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;30.8;Y
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;33.0;Y
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;107.5;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;28.9;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;91.8;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;75.4;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;75.9;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;42.4;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;40.0;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;9.7;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;27.0;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;29.8;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;52.1;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;15.1;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;38.4;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;111.3;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;66.5;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;21.6;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;19.2;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;37.2;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;31.4;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;12.3;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;6.4;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;13.2;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;13.8;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;30.4;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;15.9;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;109.7;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;87.1;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;29.0;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;75.8;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;73.7;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;102.9;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;32.3;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;27.2;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;76.5;Y
