Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hillersboda;105390;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2001-08-01 00:00:00;2018-04-30 23:59:59;135.0;60.7074;15.9392

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;76.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;52.0;Y;;Tidsperiod (fr.o.m.) = 2001-08-01 00:00:00 (UTC)
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;73.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;84.2;Y;;Värdet är summerat över = 1 månad
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;30.3;Y;;
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;61.7;Y;;Kvalitetskoderna:
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;69.8;Y;;Grön (G) = Kontrollerade och godkända värden.
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;45.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;38.5;Y;;
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;35.5;Y;;Orsaker till saknade data:
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;17.2;Y;;  stationen eller givaren har varit ur funktion.
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;97.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;116.5;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;8.1;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;21.0;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;39.5;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;70.9;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;8.1;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;41.6;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;14.6;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;3.9;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;46.0;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;39.9;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;123.7;Y
