Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Leksand;105450;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1993-11-01 00:00:00;2018-04-30 23:59:59;175.0;60.7256;15.0167
1879-06-01 00:00:00;1992-11-01 23:59:59;178.0;60.7271;15.0225

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-05-01 07:00:01;1879-06-01 07:00:00;1879-05;39.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1879-06-01 07:00:01;1879-07-01 07:00:00;1879-06;77.0;G;;Tidsperiod (fr.o.m.) = 1879-06-01 00:00:00 (UTC)
1879-07-01 07:00:01;1879-08-01 07:00:00;1879-07;99.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;44.0;G;;Värdet är summerat över = 1 månad
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;64.0;G;;
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;35.0;G;;Kvalitetskoderna:
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;17.0;G;;Grön (G) = Kontrollerade och godkända värden.
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;9.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;4.0;G;;
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;12.0;G;;Orsaker till saknade data:
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;16.0;G;;  stationen eller givaren har varit ur funktion.
