Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Tänger D;105500;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2012-03-01 00:00:00;2012-12-31 23:59:59;156.0;60.8156;15.764100000000001
2013-01-01 00:00:00;2018-03-31 23:59:59;156.0;60.8149;15.761
1933-01-01 00:00:00;2012-02-29 23:59:59;145.0;60.8404;15.7687

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;18.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;25.0;G;;Tidsperiod (fr.o.m.) = 1933-01-01 00:00:00 (UTC)
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;20.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;22.0;G;;Värdet är summerat över = 1 månad
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;17.0;G;;
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;41.0;G;;Kvalitetskoderna:
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;23.0;G;;Grön (G) = Kontrollerade och godkända värden.
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;37.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;42.0;G;;
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;89.0;G;;Orsaker till saknade data:
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;53.0;G;;  stationen eller givaren har varit ur funktion.
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;18.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;8.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;25.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;32.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;46.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;32.0;G
1934-05-01 07:00:01;1934-06-01 07:00:00;1934-05;48.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;58.0;G
1934-07-01 07:00:01;1934-08-01 07:00:00;1934-07;99.0;G
1934-08-01 07:00:01;1934-09-01 07:00:00;1934-08;121.0;G
1934-09-01 07:00:01;1934-10-01 07:00:00;1934-09;113.0;G
1934-10-01 07:00:01;1934-11-01 07:00:00;1934-10;77.0;G
1934-11-01 07:00:01;1934-12-01 07:00:00;1934-11;43.0;G
1934-12-01 07:00:01;1935-01-01 07:00:00;1934-12;65.0;G
1935-01-01 07:00:01;1935-02-01 07:00:00;1935-01;28.0;G
1935-02-01 07:00:01;1935-03-01 07:00:00;1935-02;36.0;G
1935-03-01 07:00:01;1935-04-01 07:00:00;1935-03;26.0;G
1935-04-01 07:00:01;1935-05-01 07:00:00;1935-04;32.0;G
1935-05-01 07:00:01;1935-06-01 07:00:00;1935-05;26.0;G
1935-06-01 07:00:01;1935-07-01 07:00:00;1935-06;100.0;G
1935-07-01 07:00:01;1935-08-01 07:00:00;1935-07;71.0;G
1935-08-01 07:00:01;1935-09-01 07:00:00;1935-08;34.0;G
1935-09-01 07:00:01;1935-10-01 07:00:00;1935-09;141.0;G
1935-10-01 07:00:01;1935-11-01 07:00:00;1935-10;98.0;G
1935-11-01 07:00:01;1935-12-01 07:00:00;1935-11;56.0;G
1935-12-01 07:00:01;1936-01-01 07:00:00;1935-12;66.0;G
1936-01-01 07:00:01;1936-02-01 07:00:00;1936-01;55.0;G
1936-02-01 07:00:01;1936-03-01 07:00:00;1936-02;8.0;G
1936-03-01 07:00:01;1936-04-01 07:00:00;1936-03;5.0;G
1936-04-01 07:00:01;1936-05-01 07:00:00;1936-04;39.0;G
1936-05-01 07:00:01;1936-06-01 07:00:00;1936-05;32.0;G
1936-06-01 07:00:01;1936-07-01 07:00:00;1936-06;32.0;G
1936-07-01 07:00:01;1936-08-01 07:00:00;1936-07;86.0;G
1936-08-01 07:00:01;1936-09-01 07:00:00;1936-08;75.0;G
1936-09-01 07:00:01;1936-10-01 07:00:00;1936-09;25.0;G
1936-10-01 07:00:01;1936-11-01 07:00:00;1936-10;38.0;G
1936-11-01 07:00:01;1936-12-01 07:00:00;1936-11;47.0;G
1936-12-01 07:00:01;1937-01-01 07:00:00;1936-12;25.0;G
1937-01-01 07:00:01;1937-02-01 07:00:00;1937-01;12.0;G
1937-02-01 07:00:01;1937-03-01 07:00:00;1937-02;38.0;G
