Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Brovallen;106040;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1991-02-01 00:00:00;2018-04-30 23:59:59;100.0;60.0991;16.3062

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1991-01-02 06:00:01;1991-02-01 06:00:00;1991-01;43.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1991-01-30 06:00:01;1991-03-01 06:00:00;1991-02;16.4;Y;;Tidsperiod (fr.o.m.) = 1991-02-01 00:00:00 (UTC)
1991-03-02 06:00:01;1991-04-01 06:00:00;1991-03;38.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;16.9;Y;;Värdet är summerat över = 1 månad
1991-05-02 06:00:01;1991-06-01 06:00:00;1991-05;28.5;Y;;
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;110.7;Y;;Kvalitetskoderna:
1991-07-02 06:00:01;1991-08-01 06:00:00;1991-07;32.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1991-08-02 06:00:01;1991-09-01 06:00:00;1991-08;46.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;62.9;Y;;
1991-10-02 06:00:01;1991-11-01 06:00:00;1991-10;15.2;Y;;Orsaker till saknade data:
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;47.5;Y;;  stationen eller givaren har varit ur funktion.
1991-12-02 06:00:01;1992-01-01 06:00:00;1991-12;24.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1992-01-02 06:00:01;1992-02-01 06:00:00;1992-01;6.6;Y
1992-01-31 06:00:01;1992-03-01 06:00:00;1992-02;30.3;Y
