Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Film A;107140;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2000-05-31 00:00:00;2018-05-01 15:00:00;33.0;60.2363;17.9078

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;58.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;53.5;Y;;Tidsperiod (fr.o.m.) = 2000-05-31 00:00:00 (UTC)
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;76.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;33.5;Y;;Värdet är summerat över = 1 månad
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;72.8;Y;;
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;59.0;Y;;Kvalitetskoderna:
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;46.4;Y;;Grön (G) = Kontrollerade och godkända värden.
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;47.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;2.6;Y;;
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;26.2;Y;;Orsaker till saknade data:
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;132.8;Y;;  stationen eller givaren har varit ur funktion.
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;71.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;8.9;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;19.5;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;51.1;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;106.2;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;14.9;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;34.6;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;19.0;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;2.6;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;41.0;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;55.6;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;49.0;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;16.3;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;97.4;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;68.7;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;76.6;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;63.8;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;101.3;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;30.9;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;18.0;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;26.7;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;19.5;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;49.9;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;61.2;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;68.4;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;59.3;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;43.5;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;49.4;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;49.5;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;25.4;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;58.2;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;46.7;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;18.3;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;8.2;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;50.5;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;61.7;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;96.2;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;73.9;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;14.5;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;44.4;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;41.7;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;51.2;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;18.1;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;38.2;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;52.4;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;36.9;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;44.6;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;31.9;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;13.7;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;50.2;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;42.7;Y
