Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norrsundet;107560;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1915-08-01 00:00:00;2018-04-30 23:59:59;5.0;60.9297;17.1561

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1915-07-01 07:00:01;1915-08-01 07:00:00;1915-07;128.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1915-08-01 07:00:01;1915-09-01 07:00:00;1915-08;53.0;G;;Tidsperiod (fr.o.m.) = 1915-08-01 00:00:00 (UTC)
1915-09-01 07:00:01;1915-10-01 07:00:00;1915-09;134.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1915-10-01 07:00:01;1915-11-01 07:00:00;1915-10;52.0;G;;Värdet är summerat över = 1 månad
1915-11-01 07:00:01;1915-12-01 07:00:00;1915-11;70.0;G;;
1915-12-01 07:00:01;1916-01-01 07:00:00;1915-12;51.0;G;;Kvalitetskoderna:
1916-01-01 07:00:01;1916-02-01 07:00:00;1916-01;23.0;G;;Grön (G) = Kontrollerade och godkända värden.
1916-02-01 07:00:01;1916-03-01 07:00:00;1916-02;26.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1916-03-01 07:00:01;1916-04-01 07:00:00;1916-03;33.0;G;;
1916-04-01 07:00:01;1916-05-01 07:00:00;1916-04;64.0;G;;Orsaker till saknade data:
1916-05-01 07:00:01;1916-06-01 07:00:00;1916-05;90.0;G;;  stationen eller givaren har varit ur funktion.
1916-06-01 07:00:01;1916-07-01 07:00:00;1916-06;102.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1916-07-01 07:00:01;1916-08-01 07:00:00;1916-07;76.0;G
1916-08-01 07:00:01;1916-09-01 07:00:00;1916-08;59.0;G
1916-09-01 07:00:01;1916-10-01 07:00:00;1916-09;16.0;G
1916-10-01 07:00:01;1916-11-01 07:00:00;1916-10;82.0;G
1916-11-01 07:00:01;1916-12-01 07:00:00;1916-11;47.0;G
1916-12-01 07:00:01;1917-01-01 07:00:00;1916-12;77.0;G
1917-01-01 07:00:01;1917-02-01 07:00:00;1917-01;11.0;G
1917-02-01 07:00:01;1917-03-01 07:00:00;1917-02;3.0;G
1917-03-01 07:00:01;1917-04-01 07:00:00;1917-03;17.0;G
1917-04-01 07:00:01;1917-05-01 07:00:00;1917-04;52.0;G
1917-05-01 07:00:01;1917-06-01 07:00:00;1917-05;13.0;G
1917-06-01 07:00:01;1917-07-01 07:00:00;1917-06;33.0;G
1917-07-01 07:00:01;1917-08-01 07:00:00;1917-07;44.0;G
1917-08-01 07:00:01;1917-09-01 07:00:00;1917-08;68.0;G
1917-09-01 07:00:01;1917-10-01 07:00:00;1917-09;21.0;G
1917-10-01 07:00:01;1917-11-01 07:00:00;1917-10;56.0;G
1917-11-01 07:00:01;1917-12-01 07:00:00;1917-11;40.0;G
1917-12-01 07:00:01;1918-01-01 07:00:00;1917-12;61.0;G
1918-01-01 07:00:01;1918-02-01 07:00:00;1918-01;22.0;G
1918-02-01 07:00:01;1918-03-01 07:00:00;1918-02;15.0;G
1918-03-01 07:00:01;1918-04-01 07:00:00;1918-03;8.0;G
1918-04-01 07:00:01;1918-05-01 07:00:00;1918-04;60.0;G
1918-05-01 07:00:01;1918-06-01 07:00:00;1918-05;4.0;G
1918-06-01 07:00:01;1918-07-01 07:00:00;1918-06;40.0;G
1918-07-01 07:00:01;1918-08-01 07:00:00;1918-07;38.0;G
1918-08-01 07:00:01;1918-09-01 07:00:00;1918-08;48.0;G
1918-09-01 07:00:01;1918-10-01 07:00:00;1918-09;109.0;G
1918-10-01 07:00:01;1918-11-01 07:00:00;1918-10;38.0;G
1918-11-01 07:00:01;1918-12-01 07:00:00;1918-11;25.0;G
1918-12-01 07:00:01;1919-01-01 07:00:00;1918-12;55.0;G
1919-01-01 07:00:01;1919-02-01 07:00:00;1919-01;65.0;G
1919-02-01 07:00:01;1919-03-01 07:00:00;1919-02;11.0;G
1919-03-01 07:00:01;1919-04-01 07:00:00;1919-03;12.0;G
