Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norrby S;108040;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2007-01-01 00:00:00;2018-04-30 23:59:59;10.0;60.0623;18.7422
1943-02-01 00:00:00;2006-12-31 23:59:59;20.0;60.0635;18.7432

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1943-01-01 07:00:01;1943-02-01 07:00:00;1943-01;44.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1943-02-01 07:00:01;1943-03-01 07:00:00;1943-02;40.0;G;;Tidsperiod (fr.o.m.) = 1943-02-01 00:00:00 (UTC)
1943-03-01 07:00:01;1943-04-01 07:00:00;1943-03;15.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1943-04-01 07:00:01;1943-05-01 07:00:00;1943-04;13.0;G;;Värdet är summerat över = 1 månad
1943-05-01 07:00:01;1943-06-01 07:00:00;1943-05;21.0;G;;
1943-06-01 07:00:01;1943-07-01 07:00:00;1943-06;17.0;G;;Kvalitetskoderna:
1943-07-01 07:00:01;1943-08-01 07:00:00;1943-07;43.0;G;;Grön (G) = Kontrollerade och godkända värden.
1943-08-01 07:00:01;1943-09-01 07:00:00;1943-08;142.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1943-09-01 07:00:01;1943-10-01 07:00:00;1943-09;50.0;G;;
1943-10-01 07:00:01;1943-11-01 07:00:00;1943-10;36.0;G;;Orsaker till saknade data:
1943-11-01 07:00:01;1943-12-01 07:00:00;1943-11;79.0;G;;  stationen eller givaren har varit ur funktion.
1943-12-01 07:00:01;1944-01-01 07:00:00;1943-12;22.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1944-01-01 07:00:01;1944-02-01 07:00:00;1944-01;52.0;G
1944-02-01 07:00:01;1944-03-01 07:00:00;1944-02;17.0;G
1944-03-01 07:00:01;1944-04-01 07:00:00;1944-03;34.0;G
1944-04-01 07:00:01;1944-05-01 07:00:00;1944-04;35.0;G
1944-05-01 07:00:01;1944-06-01 07:00:00;1944-05;29.0;G
1944-06-01 07:00:01;1944-07-01 07:00:00;1944-06;29.0;G
1944-07-01 07:00:01;1944-08-01 07:00:00;1944-07;12.0;G
1944-08-01 07:00:01;1944-09-01 07:00:00;1944-08;22.0;G
1944-09-01 07:00:01;1944-10-01 07:00:00;1944-09;94.0;G
1944-10-01 07:00:01;1944-11-01 07:00:00;1944-10;28.0;G
1944-11-01 07:00:01;1944-12-01 07:00:00;1944-11;108.0;G
1944-12-01 07:00:01;1945-01-01 07:00:00;1944-12;57.0;G
1945-01-01 07:00:01;1945-02-01 07:00:00;1945-01;48.0;G
1945-02-01 07:00:01;1945-03-01 07:00:00;1945-02;42.0;G
1945-03-01 07:00:01;1945-04-01 07:00:00;1945-03;63.0;G
1945-04-01 07:00:01;1945-05-01 07:00:00;1945-04;48.0;G
1945-05-01 07:00:01;1945-06-01 07:00:00;1945-05;45.0;G
1945-06-01 07:00:01;1945-07-01 07:00:00;1945-06;46.0;G
1945-07-01 07:00:01;1945-08-01 07:00:00;1945-07;83.0;G
1945-08-01 07:00:01;1945-09-01 07:00:00;1945-08;59.0;G
1945-09-01 07:00:01;1945-10-01 07:00:00;1945-09;50.0;G
1945-10-01 07:00:01;1945-11-01 07:00:00;1945-10;48.0;G
1945-11-01 07:00:01;1945-12-01 07:00:00;1945-11;41.0;G
1945-12-01 07:00:01;1946-01-01 07:00:00;1945-12;49.0;G
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;16.0;G
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;54.0;G
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;16.0;G
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;43.0;G
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;26.0;G
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;71.0;G
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;11.0;G
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;88.0;G
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;102.0;G
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;34.0;G
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;34.0;G
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;23.0;G
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;35.0;G
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;6.0;G
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;49.0;G
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;35.0;G
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;17.0;G
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;32.0;G
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;30.0;G
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;11.0;G
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;10.0;G
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;10.0;G
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;56.0;G
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;64.0;G
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;91.0;G
1948-02-01 06:00:01;1948-03-01 06:00:00;1948-02;8.0;G
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;24.0;G
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;32.0;G
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;73.0;G
1948-06-01 06:00:01;1948-07-01 06:00:00;1948-06;50.0;G
1948-07-01 06:00:01;1948-08-01 06:00:00;1948-07;10.0;G
1948-08-01 06:00:01;1948-09-01 06:00:00;1948-08;87.0;G
1948-09-01 06:00:01;1948-10-01 06:00:00;1948-09;41.0;G
1948-10-01 06:00:01;1948-11-01 06:00:00;1948-10;16.0;G
1948-11-01 06:00:01;1948-12-01 06:00:00;1948-11;35.0;G
1948-12-01 06:00:01;1949-01-01 06:00:00;1948-12;3.0;G
1949-01-01 06:00:01;1949-02-01 06:00:00;1949-01;45.0;G
1949-02-01 06:00:01;1949-03-01 06:00:00;1949-02;13.0;G
1949-03-01 06:00:01;1949-04-01 06:00:00;1949-03;2.0;G
1949-04-01 06:00:01;1949-05-01 06:00:00;1949-04;28.0;G
1949-05-01 06:00:01;1949-06-01 06:00:00;1949-05;51.0;G
1949-06-01 06:00:01;1949-07-01 06:00:00;1949-06;50.0;G
1949-07-01 06:00:01;1949-08-01 06:00:00;1949-07;74.0;G
1949-08-01 06:00:01;1949-09-01 06:00:00;1949-08;89.0;G
1949-09-01 06:00:01;1949-10-01 06:00:00;1949-09;7.0;G
1949-10-01 06:00:01;1949-11-01 06:00:00;1949-10;72.0;G
1949-11-01 06:00:01;1949-12-01 06:00:00;1949-11;74.0;G
1949-12-01 06:00:01;1950-01-01 06:00:00;1949-12;61.0;G
1950-01-01 06:00:01;1950-02-01 06:00:00;1950-01;52.0;G
1950-02-01 06:00:01;1950-03-01 06:00:00;1950-02;40.0;G
1950-03-01 06:00:01;1950-04-01 06:00:00;1950-03;30.0;G
1950-04-01 06:00:01;1950-05-01 06:00:00;1950-04;36.0;G
1950-05-01 06:00:01;1950-06-01 06:00:00;1950-05;32.0;G
1950-06-01 06:00:01;1950-07-01 06:00:00;1950-06;26.0;G
1950-07-01 06:00:01;1950-08-01 06:00:00;1950-07;20.0;G
1950-08-01 06:00:01;1950-09-01 06:00:00;1950-08;27.0;G
1950-09-01 06:00:01;1950-10-01 06:00:00;1950-09;82.0;G
1950-10-01 06:00:01;1950-11-01 06:00:00;1950-10;37.0;G
1950-11-01 06:00:01;1950-12-01 06:00:00;1950-11;74.0;G
1950-12-01 06:00:01;1951-01-01 06:00:00;1950-12;82.0;G
1951-01-01 06:00:01;1951-02-01 06:00:00;1951-01;37.0;G
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;28.0;G
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;79.0;G
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;31.0;G
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;10.0;G
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;20.0;G
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;28.0;G
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;62.0;G
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;62.0;G
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;7.0;G
1951-11-01 06:00:01;1951-12-01 06:00:00;1951-11;51.0;G
1951-12-01 06:00:01;1952-01-01 06:00:00;1951-12;31.0;G
1952-01-01 06:00:01;1952-02-01 06:00:00;1952-01;56.0;G
1952-02-01 06:00:01;1952-03-01 06:00:00;1952-02;42.0;G
1952-03-01 06:00:01;1952-04-01 06:00:00;1952-03;26.0;G
1952-04-01 06:00:01;1952-05-01 06:00:00;1952-04;49.0;G
1952-05-01 06:00:01;1952-06-01 06:00:00;1952-05;16.0;G
1952-06-01 06:00:01;1952-07-01 06:00:00;1952-06;35.0;G
1952-07-01 06:00:01;1952-08-01 06:00:00;1952-07;51.0;G
