Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Risinge;108110;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-02-01 00:00:00;2018-03-31 23:59:59;15.0;60.175;18.2272

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1962-01-01 06:00:01;1962-02-01 06:00:00;1962-01;55.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-02-01 06:00:01;1962-03-01 06:00:00;1962-02;62.6;Y;;Tidsperiod (fr.o.m.) = 1962-02-01 00:00:00 (UTC)
1962-03-01 06:00:01;1962-04-01 06:00:00;1962-03;23.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1962-04-01 06:00:01;1962-05-01 06:00:00;1962-04;43.3;Y;;Värdet är summerat över = 1 månad
1962-05-01 06:00:01;1962-06-01 06:00:00;1962-05;17.3;Y;;
1962-06-01 06:00:01;1962-07-01 06:00:00;1962-06;50.9;Y;;Kvalitetskoderna:
1962-07-01 06:00:01;1962-08-01 06:00:00;1962-07;49.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1962-08-01 06:00:01;1962-09-01 06:00:00;1962-08;66.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1962-09-01 06:00:01;1962-10-01 06:00:00;1962-09;57.1;Y;;
1962-10-01 06:00:01;1962-11-01 06:00:00;1962-10;32.5;Y;;Orsaker till saknade data:
1962-11-01 06:00:01;1962-12-01 06:00:00;1962-11;19.6;Y;;  stationen eller givaren har varit ur funktion.
1962-12-01 06:00:01;1963-01-01 06:00:00;1962-12;18.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1963-01-01 06:00:01;1963-02-01 06:00:00;1963-01;52.3;Y
1963-02-01 06:00:01;1963-03-01 06:00:00;1963-02;20.4;Y
1963-03-01 06:00:01;1963-04-01 06:00:00;1963-03;16.1;Y
1963-04-01 06:00:01;1963-05-01 06:00:00;1963-04;27.9;Y
1963-05-01 06:00:01;1963-06-01 06:00:00;1963-05;13.7;Y
1963-06-01 06:00:01;1963-07-01 06:00:00;1963-06;59.4;Y
1963-07-01 06:00:01;1963-08-01 06:00:00;1963-07;45.4;Y
1963-08-01 06:00:01;1963-09-01 06:00:00;1963-08;74.9;Y
1963-09-01 06:00:01;1963-10-01 06:00:00;1963-09;53.1;Y
1963-10-01 06:00:01;1963-11-01 06:00:00;1963-10;60.2;Y
1963-11-01 06:00:01;1963-12-01 06:00:00;1963-11;43.9;Y
1963-12-01 06:00:01;1964-01-01 06:00:00;1963-12;29.0;Y
1964-01-01 06:00:01;1964-02-01 06:00:00;1964-01;3.7;Y
1964-02-01 06:00:01;1964-03-01 06:00:00;1964-02;58.7;Y
1964-03-01 06:00:01;1964-04-01 06:00:00;1964-03;0.3;Y
1964-04-01 06:00:01;1964-05-01 06:00:00;1964-04;9.9;Y
1964-05-01 06:00:01;1964-06-01 06:00:00;1964-05;23.7;Y
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;47.2;Y
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;67.4;Y
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;55.0;Y
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;61.2;Y
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;49.2;Y
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;42.1;Y
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;50.2;Y
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;45.6;Y
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;56.4;Y
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;4.9;Y
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;30.1;Y
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;13.9;Y
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;30.6;Y
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;94.4;Y
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;41.1;Y
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;110.3;Y
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;23.7;Y
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;66.6;Y
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;110.2;Y
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;56.3;Y
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;50.1;Y
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;32.6;Y
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;46.8;Y
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;12.4;Y
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;7.1;Y
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;73.2;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;53.5;Y
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;29.1;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;35.7;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;65.0;Y
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;118.4;Y
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;40.4;Y
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;46.0;Y
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;12.7;Y
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;19.5;Y
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;75.9;Y
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;37.3;Y
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;15.2;Y
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;74.0;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;83.8;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;101.2;Y
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;54.8;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;53.8;Y
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;50.9;Y
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;12.3;Y
1968-03-01 06:00:01;1968-04-01 06:00:00;1968-03;33.0;G
1968-04-01 06:00:01;1968-05-01 06:00:00;1968-04;48.0;Y
1968-05-01 06:00:01;1968-06-01 06:00:00;1968-05;87.2;Y
1968-06-01 06:00:01;1968-07-01 06:00:00;1968-06;29.1;Y
1968-07-01 06:00:01;1968-08-01 06:00:00;1968-07;76.5;Y
1968-08-01 06:00:01;1968-09-01 06:00:00;1968-08;61.7;Y
1968-09-01 06:00:01;1968-10-01 06:00:00;1968-09;87.9;Y
1968-10-01 06:00:01;1968-11-01 06:00:00;1968-10;127.6;Y
1968-11-01 06:00:01;1968-12-01 06:00:00;1968-11;48.7;Y
1968-12-01 06:00:01;1969-01-01 06:00:00;1968-12;35.4;Y
1969-01-01 06:00:01;1969-02-01 06:00:00;1969-01;40.3;Y
1969-02-01 06:00:01;1969-03-01 06:00:00;1969-02;47.1;Y
1969-03-01 06:00:01;1969-04-01 06:00:00;1969-03;10.4;Y
1969-04-01 06:00:01;1969-05-01 06:00:00;1969-04;51.5;Y
1969-05-01 06:00:01;1969-06-01 06:00:00;1969-05;30.6;Y
1969-06-01 06:00:01;1969-07-01 06:00:00;1969-06;7.1;Y
1969-07-01 06:00:01;1969-08-01 06:00:00;1969-07;67.4;Y
1969-08-01 06:00:01;1969-09-01 06:00:00;1969-08;57.0;Y
1969-09-01 06:00:01;1969-10-01 06:00:00;1969-09;76.1;Y
1969-10-01 06:00:01;1969-11-01 06:00:00;1969-10;31.4;Y
1969-11-01 06:00:01;1969-12-01 06:00:00;1969-11;93.2;Y
1969-12-01 06:00:01;1970-01-01 06:00:00;1969-12;18.3;Y
1970-01-01 06:00:01;1970-02-01 06:00:00;1970-01;44.3;Y
1970-02-01 06:00:01;1970-03-01 06:00:00;1970-02;14.5;Y
1970-03-01 06:00:01;1970-04-01 06:00:00;1970-03;47.3;Y
1970-04-01 06:00:01;1970-05-01 06:00:00;1970-04;77.4;Y
1970-05-01 06:00:01;1970-06-01 06:00:00;1970-05;15.2;Y
1970-06-01 06:00:01;1970-07-01 06:00:00;1970-06;15.7;Y
1970-07-01 06:00:01;1970-08-01 06:00:00;1970-07;114.1;Y
1970-08-01 06:00:01;1970-09-01 06:00:00;1970-08;29.4;Y
1970-09-01 06:00:01;1970-10-01 06:00:00;1970-09;77.4;Y
1970-10-01 06:00:01;1970-11-01 06:00:00;1970-10;56.2;Y
1970-11-01 06:00:01;1970-12-01 06:00:00;1970-11;88.3;Y
1970-12-01 06:00:01;1971-01-01 06:00:00;1970-12;67.2;Y
1971-01-01 06:00:01;1971-02-01 06:00:00;1971-01;29.4;Y
1971-02-01 06:00:01;1971-03-01 06:00:00;1971-02;50.8;Y
1971-03-01 06:00:01;1971-04-01 06:00:00;1971-03;35.7;Y
1971-04-01 06:00:01;1971-05-01 06:00:00;1971-04;12.9;Y
1971-05-01 06:00:01;1971-06-01 06:00:00;1971-05;9.2;Y
1971-06-01 06:00:01;1971-07-01 06:00:00;1971-06;20.6;Y
1971-07-01 06:00:01;1971-08-01 06:00:00;1971-07;56.8;Y
1971-08-01 06:00:01;1971-09-01 06:00:00;1971-08;88.7;Y
1971-09-01 06:00:01;1971-10-01 06:00:00;1971-09;41.8;Y
1971-10-01 06:00:01;1971-11-01 06:00:00;1971-10;61.3;Y
1971-11-01 06:00:01;1971-12-01 06:00:00;1971-11;31.8;Y
1971-12-01 06:00:01;1972-01-01 06:00:00;1971-12;32.4;Y
1972-01-01 06:00:01;1972-02-01 06:00:00;1972-01;16.2;Y
1972-02-01 06:00:01;1972-03-01 06:00:00;1972-02;38.4;Y
1972-03-01 06:00:01;1972-04-01 06:00:00;1972-03;23.8;Y
1972-04-01 06:00:01;1972-05-01 06:00:00;1972-04;35.9;Y
1972-05-01 06:00:01;1972-06-01 06:00:00;1972-05;32.6;Y
1972-06-01 06:00:01;1972-07-01 06:00:00;1972-06;21.2;Y
1972-07-01 06:00:01;1972-08-01 06:00:00;1972-07;76.4;Y
1972-08-01 06:00:01;1972-09-01 06:00:00;1972-08;57.9;Y
1972-09-01 06:00:01;1972-10-01 06:00:00;1972-09;45.4;Y
1972-10-01 06:00:01;1972-11-01 06:00:00;1972-10;36.5;Y
1972-11-01 06:00:01;1972-12-01 06:00:00;1972-11;39.8;Y
1972-12-01 06:00:01;1973-01-01 06:00:00;1972-12;9.0;Y
1973-01-01 06:00:01;1973-02-01 06:00:00;1973-01;36.8;Y
1973-02-01 06:00:01;1973-03-01 06:00:00;1973-02;73.6;Y
1973-03-01 06:00:01;1973-04-01 06:00:00;1973-03;12.3;Y
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;25.6;Y
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;30.8;Y
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;41.4;Y
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;149.4;Y
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;20.1;Y
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;46.6;Y
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;40.3;Y
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;41.4;Y
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;28.4;Y
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;49.3;Y
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;43.4;Y
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;19.7;Y
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;23.3;Y
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;44.4;Y
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;117.5;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;21.3;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;60.7;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;123.3;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;92.3;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;49.5;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;47.5;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;12.8;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;34.0;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;42.9;Y
