Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Örskär A;108320;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2018-04-30 23:59:59;8.0;60.5262;18.3766
1881-02-01 00:00:00;1995-11-21 00:00:00;5.0;60.5263;18.3762

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;8.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;43.0;G;;Tidsperiod (fr.o.m.) = 1881-02-01 00:00:00 (UTC)
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;5.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;9.0;G;;Värdet är summerat över = 1 månad
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;24.0;G;;
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;51.0;G;;Kvalitetskoderna:
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;38.0;G;;Grön (G) = Kontrollerade och godkända värden.
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;13.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;35.0;G;;
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;24.0;G;;Orsaker till saknade data:
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;17.0;G;;  stationen eller givaren har varit ur funktion.
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;19.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;13.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;8.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;11.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;35.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;33.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;35.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;73.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;52.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;21.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;42.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;48.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;16.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;6.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;6.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;14.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;2.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;25.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;20.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;110.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;88.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;69.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;38.0;G
1883-11-01 07:00:01;1883-12-01 07:00:00;1883-11;78.0;G
1883-12-01 07:00:01;1884-01-01 07:00:00;1883-12;4.0;G
1884-01-01 07:00:01;1884-02-01 07:00:00;1884-01;14.0;G
1884-02-01 07:00:01;1884-03-01 07:00:00;1884-02;4.0;G
1884-03-01 07:00:01;1884-04-01 07:00:00;1884-03;16.0;G
1884-04-01 07:00:01;1884-05-01 07:00:00;1884-04;3.0;G
1884-05-01 07:00:01;1884-06-01 07:00:00;1884-05;33.0;G
1884-06-01 07:00:01;1884-07-01 07:00:00;1884-06;69.0;G
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;48.0;G
1884-08-01 07:00:01;1884-09-01 07:00:00;1884-08;41.0;G
1884-09-01 07:00:01;1884-10-01 07:00:00;1884-09;7.0;G
1884-10-01 07:00:01;1884-11-01 07:00:00;1884-10;45.0;G
1884-11-01 07:00:01;1884-12-01 07:00:00;1884-11;13.0;G
1884-12-01 07:00:01;1885-01-01 07:00:00;1884-12;34.0;G
1885-01-01 07:00:01;1885-02-01 07:00:00;1885-01;6.0;G
1885-02-01 07:00:01;1885-03-01 07:00:00;1885-02;25.0;G
1885-03-01 07:00:01;1885-04-01 07:00:00;1885-03;12.0;G
1885-04-01 07:00:01;1885-05-01 07:00:00;1885-04;22.0;G
1885-05-01 07:00:01;1885-06-01 07:00:00;1885-05;73.0;G
