Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Löten D;112020;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1960-02-01 00:00:00;2018-05-01 15:00:00;425.0;61.0255;12.8399

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1960-01-01 06:00:01;1960-02-01 06:00:00;1960-01;54.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1960-02-01 06:00:01;1960-03-01 06:00:00;1960-02;21.0;G;;Tidsperiod (fr.o.m.) = 1960-02-01 00:00:00 (UTC)
1960-04-01 06:00:01;1960-05-01 06:00:00;1960-04;15.3;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1960-05-01 06:00:01;1960-06-01 06:00:00;1960-05;48.0;Y;;Värdet är summerat över = 1 månad
1960-06-01 06:00:01;1960-07-01 06:00:00;1960-06;93.6;Y;;
1960-07-01 06:00:01;1960-08-01 06:00:00;1960-07;109.3;Y;;Kvalitetskoderna:
1960-08-01 06:00:01;1960-09-01 06:00:00;1960-08;97.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1960-09-01 06:00:01;1960-10-01 06:00:00;1960-09;69.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1960-10-01 06:00:01;1960-11-01 06:00:00;1960-10;29.9;Y;;
1960-11-01 06:00:01;1960-12-01 06:00:00;1960-11;58.2;Y;;Orsaker till saknade data:
1960-12-01 06:00:01;1961-01-01 06:00:00;1960-12;28.3;Y;;  stationen eller givaren har varit ur funktion.
1961-01-01 06:00:01;1961-02-01 06:00:00;1961-01;40.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1961-02-01 06:00:01;1961-03-01 06:00:00;1961-02;23.6;Y
1961-03-01 06:00:01;1961-04-01 06:00:00;1961-03;10.2;Y
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;8.0;G
1961-05-01 06:00:01;1961-06-01 06:00:00;1961-05;49.1;Y
1961-06-01 06:00:01;1961-07-01 06:00:00;1961-06;76.7;Y
1961-07-01 06:00:01;1961-08-01 06:00:00;1961-07;71.1;Y
1961-08-01 06:00:01;1961-09-01 06:00:00;1961-08;90.4;Y
1961-09-01 06:00:01;1961-10-01 06:00:00;1961-09;71.7;Y
1961-10-01 06:00:01;1961-11-01 06:00:00;1961-10;114.3;Y
1961-11-01 06:00:01;1961-12-01 06:00:00;1961-11;51.0;G
1961-12-01 06:00:01;1962-01-01 06:00:00;1961-12;60.9;Y
1962-01-01 06:00:01;1962-02-01 06:00:00;1962-01;58.7;Y
1962-02-01 06:00:01;1962-03-01 06:00:00;1962-02;34.4;Y
1962-03-01 06:00:01;1962-04-01 06:00:00;1962-03;25.3;Y
1962-04-01 06:00:01;1962-05-01 06:00:00;1962-04;39.1;Y
1962-05-01 06:00:01;1962-06-01 06:00:00;1962-05;51.1;Y
1962-06-01 06:00:01;1962-07-01 06:00:00;1962-06;57.8;Y
1962-07-01 06:00:01;1962-08-01 06:00:00;1962-07;72.2;Y
1962-08-01 06:00:01;1962-09-01 06:00:00;1962-08;93.3;Y
1962-09-01 06:00:01;1962-10-01 06:00:00;1962-09;63.1;Y
1962-10-01 06:00:01;1962-11-01 06:00:00;1962-10;30.1;Y
1962-11-01 06:00:01;1962-12-01 06:00:00;1962-11;42.2;Y
1962-12-01 06:00:01;1963-01-01 06:00:00;1962-12;48.4;Y
1963-01-01 06:00:01;1963-02-01 06:00:00;1963-01;2.3;Y
1963-02-01 06:00:01;1963-03-01 06:00:00;1963-02;10.9;Y
1963-03-01 06:00:01;1963-04-01 06:00:00;1963-03;15.8;Y
1963-04-01 06:00:01;1963-05-01 06:00:00;1963-04;33.5;Y
