Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Gördalen D;112360;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2011-05-01 00:00:00;2018-04-30 23:59:59;620.0;61.5951;12.5003
2006-11-01 00:00:00;2010-01-01 23:59:59;610.0;61.5937;12.5004
1931-02-01 00:00:00;2006-09-01 23:59:59;610.0;61.5926;12.496

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;62.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;80.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;16.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;55.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;52.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;43.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;144.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;114.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;26.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;66.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;88.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;57.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;48.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;14.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;19.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;77.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;23.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;58.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;91.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;50.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;143.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;94.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;60.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;41.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;81.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;63.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;17.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;12.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;36.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;63.0;G
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;123.0;G
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;66.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;43.0;G
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;116.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;10.0;G
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;10.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;95.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;40.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;64.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;63.0;G
1934-05-01 07:00:01;1934-06-01 07:00:00;1934-05;59.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;88.0;G
1934-07-01 07:00:01;1934-08-01 07:00:00;1934-07;94.0;G
1934-08-01 07:00:01;1934-09-01 07:00:00;1934-08;114.0;G
1934-09-01 07:00:01;1934-10-01 07:00:00;1934-09;138.0;G
1934-10-01 07:00:01;1934-11-01 07:00:00;1934-10;73.0;G
1934-11-01 07:00:01;1934-12-01 07:00:00;1934-11;58.0;G
1934-12-01 07:00:01;1935-01-01 07:00:00;1934-12;88.0;G
1935-01-01 07:00:01;1935-02-01 07:00:00;1935-01;75.0;G
1935-02-01 07:00:01;1935-03-01 07:00:00;1935-02;68.0;G
1935-03-01 07:00:01;1935-04-01 07:00:00;1935-03;30.0;G
1935-04-01 07:00:01;1935-05-01 07:00:00;1935-04;60.0;G
1935-05-01 07:00:01;1935-06-01 07:00:00;1935-05;10.0;G
1935-06-01 07:00:01;1935-07-01 07:00:00;1935-06;95.0;G
1935-07-01 07:00:01;1935-08-01 07:00:00;1935-07;68.0;G
1935-08-01 07:00:01;1935-09-01 07:00:00;1935-08;43.0;G
1935-09-01 07:00:01;1935-10-01 07:00:00;1935-09;118.0;G
1935-10-01 07:00:01;1935-11-01 07:00:00;1935-10;113.0;G
