Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Nornäs D;113260;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-12-01 00:00:00;2018-05-01 15:00:00;460.0;61.4306;13.2296

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;34.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;34.8;Y;;Tidsperiod (fr.o.m.) = 1989-12-01 00:00:00 (UTC)
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;55.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;46.2;Y;;Värdet är summerat över = 1 månad
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;14.1;Y;;
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;72.2;Y;;Kvalitetskoderna:
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;39.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;73.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;65.1;Y;;
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;54.9;Y;;Orsaker till saknade data:
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;86.5;Y;;  stationen eller givaren har varit ur funktion.
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;32.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;35.3;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;44.7;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;32.0;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;11.5;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;47.4;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;22.7;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;8.7;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;148.6;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;49.2;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;53.0;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;76.7;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;36.2;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;43.5;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;21.2;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;10.3;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;27.6;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;47.2;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;84.3;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;34.8;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;8.4;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;90.3;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;140.9;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;93.6;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;43.0;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;87.9;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;47.3;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;32.7;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;22.1;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;7.2;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;11.3;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;94.0;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;49.7;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;125.5;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;154.5;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;22.4;Y
