Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Särna D;113410;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2000-09-01 00:00:00;2018-05-01 15:00:00;425.0;61.6912;13.1866
1957-05-01 00:00:00;1973-10-31 23:59:59;441.0;61.6912;13.1589
1981-11-01 00:00:00;1989-12-31 23:59:59;435.0;61.6912;13.1589
1973-11-01 00:00:00;1981-10-31 23:59:59;505.0;61.6912;13.1589
1990-01-01 00:00:00;2000-03-01 23:59:59;437.0;61.7068;13.1335
1879-09-01 00:00:00;1957-04-05 23:59:59;435.0;61.68;13.12

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;62.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;122.0;G;;Tidsperiod (fr.o.m.) = 1879-09-01 00:00:00 (UTC)
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;32.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;9.0;G;;Värdet är summerat över = 1 månad
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;6.0;G;;
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;2.0;G;;Kvalitetskoderna:
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;26.0;G;;Grön (G) = Kontrollerade och godkända värden.
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;7.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;4.0;G;;
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;15.0;G;;Orsaker till saknade data:
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;19.0;G;;  stationen eller givaren har varit ur funktion.
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;80.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;63.0;G
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;37.0;G
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;7.0;G
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;23.0;G
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;35.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;10.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;22.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;6.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;3.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;13.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;65.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;132.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;107.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;36.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;29.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;33.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;23.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;26.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;21.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;16.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;54.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;79.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;105.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;119.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;100.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;39.0;G
