Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Orsa D;114070;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2009-01-01 00:00:00;2018-03-31 23:59:59;175.0;61.1306;14.638
1945-02-01 00:00:00;2008-12-31 23:59:59;227.0;61.1518;14.6112

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1945-01-01 07:00:01;1945-02-01 07:00:00;1945-01;44.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1945-02-01 07:00:01;1945-03-01 07:00:00;1945-02;22.0;G;;Tidsperiod (fr.o.m.) = 1945-02-01 00:00:00 (UTC)
1945-03-01 07:00:01;1945-04-01 07:00:00;1945-03;24.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1945-04-01 07:00:01;1945-05-01 07:00:00;1945-04;30.0;G;;Värdet är summerat över = 1 månad
1945-05-01 07:00:01;1945-06-01 07:00:00;1945-05;49.0;G;;
1945-06-01 07:00:01;1945-07-01 07:00:00;1945-06;52.0;G;;Kvalitetskoderna:
1945-07-01 07:00:01;1945-08-01 07:00:00;1945-07;55.0;G;;Grön (G) = Kontrollerade och godkända värden.
1945-08-01 07:00:01;1945-09-01 07:00:00;1945-08;74.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1945-09-01 07:00:01;1945-10-01 07:00:00;1945-09;30.0;G;;
1945-10-01 07:00:01;1945-11-01 07:00:00;1945-10;40.0;G;;Orsaker till saknade data:
1945-11-01 07:00:01;1945-12-01 07:00:00;1945-11;13.0;G;;  stationen eller givaren har varit ur funktion.
1945-12-01 07:00:01;1946-01-01 07:00:00;1945-12;57.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;14.0;G
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;34.0;G
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;32.0;G
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;35.0;G
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;33.0;G
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;129.0;G
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;28.0;G
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;76.0;G
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;134.0;G
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;16.0;G
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;53.0;G
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;43.0;G
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;27.0;G
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;2.0;G
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;44.0;G
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;30.0;G
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;4.0;G
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;60.0;G
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;99.0;G
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;0.0;G
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;36.0;G
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;11.0;G
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;59.0;G
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;66.0;G
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;62.0;G
1948-02-01 06:00:01;1948-03-01 06:00:00;1948-02;32.0;G
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;30.0;G
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;24.0;G
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;50.0;G
1948-06-01 06:00:01;1948-07-01 06:00:00;1948-06;48.0;G
1948-07-01 06:00:01;1948-08-01 06:00:00;1948-07;71.0;G
1948-08-01 06:00:01;1948-09-01 06:00:00;1948-08;54.0;G
