Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Lillhamra D;114390;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2010-09-01 00:00:00;2018-05-01 15:00:00;424.0;61.642;14.799800000000001
1961-01-01 00:00:00;2006-10-31 23:59:59;424.0;61.6408;14.8015
1931-02-01 00:00:00;1960-12-31 23:59:59;424.0;61.65;14.8
2006-11-01 00:00:00;2010-07-01 06:00:00;424.0;61.643;14.7998

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;87.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;43.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;19.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;63.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;71.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;68.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;148.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;166.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;41.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;42.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;51.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;53.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;18.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;17.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;23.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;68.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;73.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;55.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;62.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;27.0;G
