Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hamra A;114410;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-05-01 15:00:00;454.0;61.6606;14.9948

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;5.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;14.8;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;10.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;28.1;Y;;Värdet är summerat över = 1 månad
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;62.7;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;70.9;Y;;Kvalitetskoderna:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;95.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;53.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;20.5;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;70.1;Y;;Orsaker till saknade data:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;76.3;Y;;  stationen eller givaren har varit ur funktion.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;34.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;5.7;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;30.5;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;13.6;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;11.5;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;61.5;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;90.8;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;61.1;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;88.9;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;52.2;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;62.0;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;93.3;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;50.8;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;46.2;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;14.9;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;16.4;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;32.2;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;19.6;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;108.9;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;174.3;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;97.5;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;108.4;Y
