Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Fågelsjö D;114480;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2010-12-01 00:00:00;2018-05-01 15:00:00;410.0;61.7984;14.6477
2001-06-01 00:00:00;2005-05-31 23:59:59;410.0;61.8004;14.6457
2005-06-01 00:00:00;2010-11-30 23:59:59;410.0;61.801;14.6419
1931-02-01 00:00:00;2000-11-01 23:59:59;410.0;61.8004;14.6457

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;49.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;23.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;21.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;53.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;41.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;74.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;105.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;114.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;31.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;23.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;26.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;38.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;7.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;14.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;11.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;40.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;58.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;51.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;64.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;19.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;47.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;63.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;40.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;7.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;16.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;21.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;21.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;8.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;39.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;22.0;G
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;109.0;G
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;55.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;61.0;G
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;79.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;10.0;G
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;19.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;10.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;52.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;41.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;31.0;G
1934-05-01 07:00:01;1934-06-01 07:00:00;1934-05;19.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;79.0;G
1934-07-01 07:00:01;1934-08-01 07:00:00;1934-07;118.0;G
1934-08-01 07:00:01;1934-09-01 07:00:00;1934-08;82.0;G
1934-09-01 07:00:01;1934-10-01 07:00:00;1934-09;62.0;G
1934-10-01 07:00:01;1934-11-01 07:00:00;1934-10;44.0;G
1934-11-01 07:00:01;1934-12-01 07:00:00;1934-11;68.0;G
1934-12-01 07:00:01;1935-01-01 07:00:00;1934-12;56.0;G
1935-01-01 07:00:01;1935-02-01 07:00:00;1935-01;37.0;G
1935-02-01 07:00:01;1935-03-01 07:00:00;1935-02;24.0;G
1935-03-01 07:00:01;1935-04-01 07:00:00;1935-03;16.0;G
1935-04-01 07:00:01;1935-05-01 07:00:00;1935-04;50.0;G
1935-05-01 07:00:01;1935-06-01 07:00:00;1935-05;14.0;G
1935-06-01 07:00:01;1935-07-01 07:00:00;1935-06;100.0;G
1935-07-01 07:00:01;1935-08-01 07:00:00;1935-07;94.0;G
1935-08-01 07:00:01;1935-09-01 07:00:00;1935-08;83.0;G
1935-09-01 07:00:01;1935-10-01 07:00:00;1935-09;102.0;G
1935-10-01 07:00:01;1935-11-01 07:00:00;1935-10;85.0;G
1935-11-01 07:00:01;1935-12-01 07:00:00;1935-11;54.0;G
1935-12-01 07:00:01;1936-01-01 07:00:00;1935-12;116.0;G
1936-01-01 07:00:01;1936-02-01 07:00:00;1936-01;109.0;G
1936-02-01 07:00:01;1936-03-01 07:00:00;1936-02;14.0;G
1936-03-01 07:00:01;1936-04-01 07:00:00;1936-03;24.0;G
1936-04-01 07:00:01;1936-05-01 07:00:00;1936-04;56.0;G
1936-05-01 07:00:01;1936-06-01 07:00:00;1936-05;38.0;G
1936-06-01 07:00:01;1936-07-01 07:00:00;1936-06;10.0;G
1936-07-01 07:00:01;1936-08-01 07:00:00;1936-07;70.0;G
1936-08-01 07:00:01;1936-09-01 07:00:00;1936-08;119.0;G
1936-09-01 07:00:01;1936-10-01 07:00:00;1936-09;15.0;G
1936-10-01 07:00:01;1936-11-01 07:00:00;1936-10;33.0;G
1936-11-01 07:00:01;1936-12-01 07:00:00;1936-11;30.0;G
1936-12-01 07:00:01;1937-01-01 07:00:00;1936-12;25.0;G
1937-01-01 07:00:01;1937-02-01 07:00:00;1937-01;17.0;G
1937-02-01 07:00:01;1937-03-01 07:00:00;1937-02;51.0;G
1937-03-01 07:00:01;1937-04-01 07:00:00;1937-03;38.0;G
1937-04-01 07:00:01;1937-05-01 07:00:00;1937-04;43.0;G
1937-05-01 07:00:01;1937-06-01 07:00:00;1937-05;48.0;G
1937-06-01 07:00:01;1937-07-01 07:00:00;1937-06;94.0;G
1937-07-01 07:00:01;1937-08-01 07:00:00;1937-07;143.0;G
1937-08-01 07:00:01;1937-09-01 07:00:00;1937-08;32.0;G
1937-09-01 07:00:01;1937-10-01 07:00:00;1937-09;163.0;G
1937-10-01 07:00:01;1937-11-01 07:00:00;1937-10;13.0;G
1937-11-01 07:00:01;1937-12-01 07:00:00;1937-11;63.0;G
1937-12-01 07:00:01;1938-01-01 07:00:00;1937-12;67.0;G
1938-01-01 07:00:01;1938-02-01 07:00:00;1938-01;35.0;G
1938-02-01 07:00:01;1938-03-01 07:00:00;1938-02;17.0;G
1938-03-01 07:00:01;1938-04-01 07:00:00;1938-03;20.0;G
1938-04-01 07:00:01;1938-05-01 07:00:00;1938-04;37.0;G
1938-05-01 07:00:01;1938-06-01 07:00:00;1938-05;64.0;G
1938-06-01 07:00:01;1938-07-01 07:00:00;1938-06;89.0;G
1938-07-01 07:00:01;1938-08-01 07:00:00;1938-07;171.0;G
1938-08-01 07:00:01;1938-09-01 07:00:00;1938-08;60.0;G
1938-09-01 07:00:01;1938-10-01 07:00:00;1938-09;86.0;G
1938-10-01 07:00:01;1938-11-01 07:00:00;1938-10;82.0;G
1938-11-01 07:00:01;1938-12-01 07:00:00;1938-11;41.0;G
1938-12-01 07:00:01;1939-01-01 07:00:00;1938-12;42.0;G
1939-01-01 07:00:01;1939-02-01 07:00:00;1939-01;62.0;G
1939-02-01 07:00:01;1939-03-01 07:00:00;1939-02;26.0;G
1939-03-01 07:00:01;1939-04-01 07:00:00;1939-03;6.0;G
1939-04-01 07:00:01;1939-05-01 07:00:00;1939-04;34.0;G
1939-05-01 07:00:01;1939-06-01 07:00:00;1939-05;30.0;G
1939-06-01 07:00:01;1939-07-01 07:00:00;1939-06;94.0;G
1939-07-01 07:00:01;1939-08-01 07:00:00;1939-07;103.0;G
1939-08-01 07:00:01;1939-09-01 07:00:00;1939-08;69.0;G
1939-09-01 07:00:01;1939-10-01 07:00:00;1939-09;11.0;G
1939-10-01 07:00:01;1939-11-01 07:00:00;1939-10;14.0;G
1939-11-01 07:00:01;1939-12-01 07:00:00;1939-11;54.0;G
1939-12-01 07:00:01;1940-01-01 07:00:00;1939-12;37.0;G
1940-01-01 07:00:01;1940-02-01 07:00:00;1940-01;20.0;G
1940-02-01 07:00:01;1940-03-01 07:00:00;1940-02;24.0;G
1940-03-01 07:00:01;1940-04-01 07:00:00;1940-03;52.0;G
1940-04-01 07:00:01;1940-05-01 07:00:00;1940-04;42.0;G
1940-05-01 07:00:01;1940-06-01 07:00:00;1940-05;37.0;G
1940-06-01 07:00:01;1940-07-01 07:00:00;1940-06;54.0;G
1940-07-01 07:00:01;1940-08-01 07:00:00;1940-07;80.0;G
1940-08-01 07:00:01;1940-09-01 07:00:00;1940-08;110.0;G
1940-09-01 07:00:01;1940-10-01 07:00:00;1940-09;70.0;G
1940-10-01 07:00:01;1940-11-01 07:00:00;1940-10;40.0;G
1940-11-01 07:00:01;1940-12-01 07:00:00;1940-11;59.0;G
1940-12-01 07:00:01;1941-01-01 07:00:00;1940-12;33.0;G
1941-01-01 07:00:01;1941-02-01 07:00:00;1941-01;16.0;G
1941-02-01 07:00:01;1941-03-01 07:00:00;1941-02;37.0;G
1941-03-01 07:00:01;1941-04-01 07:00:00;1941-03;42.0;G
1941-04-01 07:00:01;1941-05-01 07:00:00;1941-04;4.0;G
1941-05-01 07:00:01;1941-06-01 07:00:00;1941-05;1.0;G
1941-06-01 07:00:01;1941-07-01 07:00:00;1941-06;40.0;G
1941-07-01 07:00:01;1941-08-01 07:00:00;1941-07;57.0;G
1941-08-01 07:00:01;1941-09-01 07:00:00;1941-08;160.0;G
1941-09-01 07:00:01;1941-10-01 07:00:00;1941-09;46.0;G
1941-10-01 07:00:01;1941-11-01 07:00:00;1941-10;49.0;G
1941-11-01 07:00:01;1941-12-01 07:00:00;1941-11;26.0;G
1941-12-01 07:00:01;1942-01-01 07:00:00;1941-12;72.0;G
1942-01-01 07:00:01;1942-02-01 07:00:00;1942-01;18.0;G
1942-02-01 07:00:01;1942-03-01 07:00:00;1942-02;18.0;G
1942-03-01 07:00:01;1942-04-01 07:00:00;1942-03;8.0;G
1942-04-01 07:00:01;1942-05-01 07:00:00;1942-04;14.0;G
1942-05-01 07:00:01;1942-06-01 07:00:00;1942-05;38.0;G
1942-06-01 07:00:01;1942-07-01 07:00:00;1942-06;77.0;G
1942-07-01 07:00:01;1942-08-01 07:00:00;1942-07;76.0;G
1942-08-01 07:00:01;1942-09-01 07:00:00;1942-08;39.0;G
1942-09-01 07:00:01;1942-10-01 07:00:00;1942-09;48.0;G
1942-10-01 07:00:01;1942-11-01 07:00:00;1942-10;72.0;G
1942-11-01 07:00:01;1942-12-01 07:00:00;1942-11;52.0;G
1942-12-01 07:00:01;1943-01-01 07:00:00;1942-12;27.0;G
1943-01-01 07:00:01;1943-02-01 07:00:00;1943-01;52.0;G
1943-02-01 07:00:01;1943-03-01 07:00:00;1943-02;28.0;G
