Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Lillhärdal;114510;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2008-03-01 00:00:00;2016-11-04 23:59:59;440.0;61.8547;14.0921
1963-12-01 00:00:00;2007-07-01 23:59:59;440.0;61.8534;14.0852

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1963-11-01 06:00:01;1963-12-01 06:00:00;1963-11;42.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1963-12-01 06:00:01;1964-01-01 06:00:00;1963-12;6.1;Y;;Tidsperiod (fr.o.m.) = 1963-12-01 00:00:00 (UTC)
1964-01-01 06:00:01;1964-02-01 06:00:00;1964-01;0.6;Y;;Tidsperiod (t.o.m.) = 2016-11-04 23:59:59 (UTC)
1964-02-01 06:00:01;1964-03-01 06:00:00;1964-02;19.6;Y;;Värdet är summerat över = 1 månad
1964-03-01 06:00:01;1964-04-01 06:00:00;1964-03;1.2;Y;;
1964-04-01 06:00:01;1964-05-01 06:00:00;1964-04;20.3;Y;;Kvalitetskoderna:
1964-05-01 06:00:01;1964-06-01 06:00:00;1964-05;28.0;G;;Grön (G) = Kontrollerade och godkända värden.
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;88.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;89.7;Y;;
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;117.6;Y;;Orsaker till saknade data:
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;84.8;Y;;  stationen eller givaren har varit ur funktion.
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;52.4;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;18.2;Y
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;26.6;Y
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;52.4;Y
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;17.6;Y
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;10.9;Y
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;33.2;Y
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;3.0;Y
