Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Finnbacka D;115030;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1931-02-01 00:00:00;2018-05-01 15:00:00;431.0;61.0566;15.5777

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;52.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;47.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;29.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;55.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;82.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;79.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;75.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;160.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;34.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;28.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;31.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;40.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;25.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;14.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;25.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;44.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;58.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;79.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;65.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;57.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;61.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;60.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;65.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;35.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;38.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;32.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;26.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;32.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;33.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;61.0;G
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;61.0;G
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;29.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;106.0;G
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;69.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;20.0;G
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;15.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;36.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;48.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;63.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;31.0;G
1934-05-01 07:00:01;1934-06-01 07:00:00;1934-05;53.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;60.0;G
1934-07-01 07:00:01;1934-08-01 07:00:00;1934-07;107.0;G
1934-08-01 07:00:01;1934-09-01 07:00:00;1934-08;90.0;G
1934-09-01 07:00:01;1934-10-01 07:00:00;1934-09;66.0;G
1934-10-01 07:00:01;1934-11-01 07:00:00;1934-10;94.0;G
1934-11-01 07:00:01;1934-12-01 07:00:00;1934-11;65.0;G
1934-12-01 07:00:01;1935-01-01 07:00:00;1934-12;69.0;G
1935-01-01 07:00:01;1935-02-01 07:00:00;1935-01;42.0;G
1935-02-01 07:00:01;1935-03-01 07:00:00;1935-02;47.0;G
1935-03-01 07:00:01;1935-04-01 07:00:00;1935-03;36.0;G
1935-04-01 07:00:01;1935-05-01 07:00:00;1935-04;47.0;G
1935-05-01 07:00:01;1935-06-01 07:00:00;1935-05;26.0;G
1935-06-01 07:00:01;1935-07-01 07:00:00;1935-06;115.0;G
1935-07-01 07:00:01;1935-08-01 07:00:00;1935-07;73.0;G
1935-08-01 07:00:01;1935-09-01 07:00:00;1935-08;30.0;G
1935-09-01 07:00:01;1935-10-01 07:00:00;1935-09;142.0;G
1935-10-01 07:00:01;1935-11-01 07:00:00;1935-10;109.0;G
1935-11-01 07:00:01;1935-12-01 07:00:00;1935-11;49.0;G
1935-12-01 07:00:01;1936-01-01 07:00:00;1935-12;94.0;G
1936-01-01 07:00:01;1936-02-01 07:00:00;1936-01;90.0;G
1936-02-01 07:00:01;1936-03-01 07:00:00;1936-02;14.0;G
1936-03-01 07:00:01;1936-04-01 07:00:00;1936-03;13.0;G
1936-04-01 07:00:01;1936-05-01 07:00:00;1936-04;59.0;G
1936-05-01 07:00:01;1936-06-01 07:00:00;1936-05;44.0;G
1936-06-01 07:00:01;1936-07-01 07:00:00;1936-06;34.0;G
1936-07-01 07:00:01;1936-08-01 07:00:00;1936-07;120.0;G
1936-08-01 07:00:01;1936-09-01 07:00:00;1936-08;70.0;G
1936-09-01 07:00:01;1936-10-01 07:00:00;1936-09;26.0;G
1936-10-01 07:00:01;1936-11-01 07:00:00;1936-10;43.0;G
1936-11-01 07:00:01;1936-12-01 07:00:00;1936-11;44.0;G
1936-12-01 07:00:01;1937-01-01 07:00:00;1936-12;35.0;G
1937-01-01 07:00:01;1937-02-01 07:00:00;1937-01;20.0;G
1937-02-01 07:00:01;1937-03-01 07:00:00;1937-02;67.0;G
1937-03-01 07:00:01;1937-04-01 07:00:00;1937-03;66.0;G
1937-04-01 07:00:01;1937-05-01 07:00:00;1937-04;52.0;G
1937-05-01 07:00:01;1937-06-01 07:00:00;1937-05;71.0;G
1937-06-01 07:00:01;1937-07-01 07:00:00;1937-06;46.0;G
1937-07-01 07:00:01;1937-08-01 07:00:00;1937-07;94.0;G
1937-08-01 07:00:01;1937-09-01 07:00:00;1937-08;16.0;G
1937-09-01 07:00:01;1937-10-01 07:00:00;1937-09;97.0;G
1937-10-01 07:00:01;1937-11-01 07:00:00;1937-10;11.0;G
1937-11-01 07:00:01;1937-12-01 07:00:00;1937-11;44.0;G
1937-12-01 07:00:01;1938-01-01 07:00:00;1937-12;68.0;G
1938-01-01 07:00:01;1938-02-01 07:00:00;1938-01;57.0;G
1938-02-01 07:00:01;1938-03-01 07:00:00;1938-02;23.0;G
1938-03-01 07:00:01;1938-04-01 07:00:00;1938-03;25.0;G
1938-04-01 07:00:01;1938-05-01 07:00:00;1938-04;22.0;G
1938-05-01 07:00:01;1938-06-01 07:00:00;1938-05;26.0;G
1938-06-01 07:00:01;1938-07-01 07:00:00;1938-06;103.0;G
1938-07-01 07:00:01;1938-08-01 07:00:00;1938-07;148.0;G
1938-08-01 07:00:01;1938-09-01 07:00:00;1938-08;32.0;G
1938-09-01 07:00:01;1938-10-01 07:00:00;1938-09;77.0;G
1938-10-01 07:00:01;1938-11-01 07:00:00;1938-10;82.0;G
1938-11-01 07:00:01;1938-12-01 07:00:00;1938-11;61.0;G
1938-12-01 07:00:01;1939-01-01 07:00:00;1938-12;51.0;G
1939-01-01 07:00:01;1939-02-01 07:00:00;1939-01;77.0;G
1939-02-01 07:00:01;1939-03-01 07:00:00;1939-02;32.0;G
1939-03-01 07:00:01;1939-04-01 07:00:00;1939-03;7.0;G
1939-04-01 07:00:01;1939-05-01 07:00:00;1939-04;41.0;G
1939-05-01 07:00:01;1939-06-01 07:00:00;1939-05;18.0;G
1939-06-01 07:00:01;1939-07-01 07:00:00;1939-06;122.0;G
1939-07-01 07:00:01;1939-08-01 07:00:00;1939-07;108.0;G
1939-08-01 07:00:01;1939-09-01 07:00:00;1939-08;65.0;G
1939-09-01 07:00:01;1939-10-01 07:00:00;1939-09;33.0;G
1939-10-01 07:00:01;1939-11-01 07:00:00;1939-10;21.0;G
1939-11-01 07:00:01;1939-12-01 07:00:00;1939-11;97.0;G
1939-12-01 07:00:01;1940-01-01 07:00:00;1939-12;42.0;G
1940-01-01 07:00:01;1940-02-01 07:00:00;1940-01;30.0;G
1940-02-01 07:00:01;1940-03-01 07:00:00;1940-02;45.0;G
1940-03-01 07:00:01;1940-04-01 07:00:00;1940-03;44.0;G
1940-04-01 07:00:01;1940-05-01 07:00:00;1940-04;38.0;G
1940-05-01 07:00:01;1940-06-01 07:00:00;1940-05;26.0;G
1940-06-01 07:00:01;1940-07-01 07:00:00;1940-06;24.0;G
1940-07-01 07:00:01;1940-08-01 07:00:00;1940-07;98.0;G
1940-08-01 07:00:01;1940-09-01 07:00:00;1940-08;139.0;G
1940-09-01 07:00:01;1940-10-01 07:00:00;1940-09;79.0;G
1940-10-01 07:00:01;1940-11-01 07:00:00;1940-10;65.0;G
1940-11-01 07:00:01;1940-12-01 07:00:00;1940-11;74.0;G
1940-12-01 07:00:01;1941-01-01 07:00:00;1940-12;24.0;G
1941-01-01 07:00:01;1941-02-01 07:00:00;1941-01;11.0;G
1941-02-01 07:00:01;1941-03-01 07:00:00;1941-02;44.0;G
1941-03-01 07:00:01;1941-04-01 07:00:00;1941-03;40.0;G
1941-04-01 07:00:01;1941-05-01 07:00:00;1941-04;4.0;G
1941-05-01 07:00:01;1941-06-01 07:00:00;1941-05;4.0;G
1941-06-01 07:00:01;1941-07-01 07:00:00;1941-06;39.0;G
1941-07-01 07:00:01;1941-08-01 07:00:00;1941-07;41.0;G
1941-08-01 07:00:01;1941-09-01 07:00:00;1941-08;160.0;G
1941-09-01 07:00:01;1941-10-01 07:00:00;1941-09;47.0;G
1941-10-01 07:00:01;1941-11-01 07:00:00;1941-10;39.0;G
1941-11-01 07:00:01;1941-12-01 07:00:00;1941-11;26.0;G
1941-12-01 07:00:01;1942-01-01 07:00:00;1941-12;94.0;G
1942-01-01 07:00:01;1942-02-01 07:00:00;1942-01;24.0;G
1942-02-01 07:00:01;1942-03-01 07:00:00;1942-02;23.0;G
1942-03-01 07:00:01;1942-04-01 07:00:00;1942-03;11.0;G
1942-04-01 07:00:01;1942-05-01 07:00:00;1942-04;14.0;G
1942-05-01 07:00:01;1942-06-01 07:00:00;1942-05;54.0;G
1942-06-01 07:00:01;1942-07-01 07:00:00;1942-06;91.0;G
1942-07-01 07:00:01;1942-08-01 07:00:00;1942-07;26.0;G
1942-08-01 07:00:01;1942-09-01 07:00:00;1942-08;42.0;G
1942-09-01 07:00:01;1942-10-01 07:00:00;1942-09;48.0;G
1942-10-01 07:00:01;1942-11-01 07:00:00;1942-10;67.0;G
1942-11-01 07:00:01;1942-12-01 07:00:00;1942-11;50.0;G
1942-12-01 07:00:01;1943-01-01 07:00:00;1942-12;35.0;G
1943-01-01 07:00:01;1943-02-01 07:00:00;1943-01;66.0;G
1943-02-01 07:00:01;1943-03-01 07:00:00;1943-02;37.0;G
1943-03-01 07:00:01;1943-04-01 07:00:00;1943-03;7.0;G
1943-04-01 07:00:01;1943-05-01 07:00:00;1943-04;22.0;G
1943-05-01 07:00:01;1943-06-01 07:00:00;1943-05;22.0;G
1943-06-01 07:00:01;1943-07-01 07:00:00;1943-06;35.0;G
1943-07-01 07:00:01;1943-08-01 07:00:00;1943-07;81.0;G
1943-08-01 07:00:01;1943-09-01 07:00:00;1943-08;57.0;G
1943-09-01 07:00:01;1943-10-01 07:00:00;1943-09;37.0;G
1943-10-01 07:00:01;1943-11-01 07:00:00;1943-10;95.0;G
1943-11-01 07:00:01;1943-12-01 07:00:00;1943-11;44.0;G
1943-12-01 07:00:01;1944-01-01 07:00:00;1943-12;28.0;G
1944-01-01 07:00:01;1944-02-01 07:00:00;1944-01;68.0;G
1944-02-01 07:00:01;1944-03-01 07:00:00;1944-02;30.0;G
1944-03-01 07:00:01;1944-04-01 07:00:00;1944-03;42.0;G
1944-04-01 07:00:01;1944-05-01 07:00:00;1944-04;42.0;G
1944-05-01 07:00:01;1944-06-01 07:00:00;1944-05;74.0;G
1944-06-01 07:00:01;1944-07-01 07:00:00;1944-06;122.0;G
1944-07-01 07:00:01;1944-08-01 07:00:00;1944-07;56.0;G
1944-08-01 07:00:01;1944-09-01 07:00:00;1944-08;118.0;G
1944-09-01 07:00:01;1944-10-01 07:00:00;1944-09;172.0;G
1944-10-01 07:00:01;1944-11-01 07:00:00;1944-10;45.0;G
1944-11-01 07:00:01;1944-12-01 07:00:00;1944-11;117.0;G
1944-12-01 07:00:01;1945-01-01 07:00:00;1944-12;89.0;G
1945-01-01 07:00:01;1945-02-01 07:00:00;1945-01;83.0;G
1945-02-01 07:00:01;1945-03-01 07:00:00;1945-02;33.6;Y
1945-03-01 07:00:01;1945-04-01 07:00:00;1945-03;31.0;Y
1945-04-01 07:00:01;1945-05-01 07:00:00;1945-04;55.0;G
1945-05-01 07:00:01;1945-06-01 07:00:00;1945-05;51.2;Y
1945-06-01 07:00:01;1945-07-01 07:00:00;1945-06;58.6;Y
1945-07-01 07:00:01;1945-08-01 07:00:00;1945-07;97.0;G
1945-08-01 07:00:01;1945-09-01 07:00:00;1945-08;120.0;G
1945-09-01 07:00:01;1945-10-01 07:00:00;1945-09;54.0;G
1945-10-01 07:00:01;1945-11-01 07:00:00;1945-10;48.0;G
1945-11-01 07:00:01;1945-12-01 07:00:00;1945-11;35.3;Y
1945-12-01 07:00:01;1946-01-01 07:00:00;1945-12;46.0;G
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;18.0;G
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;51.0;G
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;34.0;G
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;44.9;Y
