Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Östanvik D;115100;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1986-10-01 00:00:00;2018-03-31 23:59:59;220.0;61.1684;15.2223
1896-02-01 00:00:00;1984-08-31 23:59:59;220.0;61.1644;15.2235

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1896-01-01 07:00:01;1896-02-01 07:00:00;1896-01;12.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1896-02-01 07:00:01;1896-03-01 07:00:00;1896-02;8.0;G;;Tidsperiod (fr.o.m.) = 1896-02-01 00:00:00 (UTC)
1896-03-01 07:00:01;1896-04-01 07:00:00;1896-03;70.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1896-04-01 07:00:01;1896-05-01 07:00:00;1896-04;25.0;G;;Värdet är summerat över = 1 månad
1896-05-01 07:00:01;1896-06-01 07:00:00;1896-05;41.0;G;;
1896-06-01 07:00:01;1896-07-01 07:00:00;1896-06;59.0;G;;Kvalitetskoderna:
1896-07-01 07:00:01;1896-08-01 07:00:00;1896-07;66.0;G;;Grön (G) = Kontrollerade och godkända värden.
1896-08-01 07:00:01;1896-09-01 07:00:00;1896-08;82.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1896-09-01 07:00:01;1896-10-01 07:00:00;1896-09;64.0;G;;
1896-10-01 07:00:01;1896-11-01 07:00:00;1896-10;75.0;G;;Orsaker till saknade data:
1896-11-01 07:00:01;1896-12-01 07:00:00;1896-11;11.0;G;;  stationen eller givaren har varit ur funktion.
1896-12-01 07:00:01;1897-01-01 07:00:00;1896-12;14.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1897-01-01 07:00:01;1897-02-01 07:00:00;1897-01;24.0;G
1897-02-01 07:00:01;1897-03-01 07:00:00;1897-02;21.0;G
1897-03-01 07:00:01;1897-04-01 07:00:00;1897-03;42.0;G
1897-04-01 07:00:01;1897-05-01 07:00:00;1897-04;20.0;G
1897-05-01 07:00:01;1897-06-01 07:00:00;1897-05;30.0;G
1897-06-01 07:00:01;1897-07-01 07:00:00;1897-06;19.0;G
1897-07-01 07:00:01;1897-08-01 07:00:00;1897-07;22.0;G
1897-08-01 07:00:01;1897-09-01 07:00:00;1897-08;57.0;G
1897-09-01 07:00:01;1897-10-01 07:00:00;1897-09;146.0;G
1897-10-01 07:00:01;1897-11-01 07:00:00;1897-10;15.0;G
1897-11-01 07:00:01;1897-12-01 07:00:00;1897-11;43.0;G
1897-12-01 07:00:01;1898-01-01 07:00:00;1897-12;33.0;G
1898-01-01 07:00:01;1898-02-01 07:00:00;1898-01;10.0;G
1898-02-01 07:00:01;1898-03-01 07:00:00;1898-02;40.0;G
1898-03-01 07:00:01;1898-04-01 07:00:00;1898-03;37.0;G
1898-04-01 07:00:01;1898-05-01 07:00:00;1898-04;11.0;G
1898-05-01 07:00:01;1898-06-01 07:00:00;1898-05;81.0;G
1898-06-01 07:00:01;1898-07-01 07:00:00;1898-06;79.0;G
1898-07-01 07:00:01;1898-08-01 07:00:00;1898-07;85.0;G
1898-08-01 07:00:01;1898-09-01 07:00:00;1898-08;91.0;G
1898-09-01 07:00:01;1898-10-01 07:00:00;1898-09;40.0;G
1898-10-01 07:00:01;1898-11-01 07:00:00;1898-10;31.0;G
1898-11-01 07:00:01;1898-12-01 07:00:00;1898-11;33.0;G
1898-12-01 07:00:01;1899-01-01 07:00:00;1898-12;55.0;G
1899-01-01 07:00:01;1899-02-01 07:00:00;1899-01;38.0;G
1899-02-01 07:00:01;1899-03-01 07:00:00;1899-02;22.0;G
1899-03-01 07:00:01;1899-04-01 07:00:00;1899-03;21.0;G
1899-04-01 07:00:01;1899-05-01 07:00:00;1899-04;48.0;G
1899-05-01 07:00:01;1899-06-01 07:00:00;1899-05;46.0;G
1899-06-01 07:00:01;1899-07-01 07:00:00;1899-06;47.0;G
1899-07-01 07:00:01;1899-08-01 07:00:00;1899-07;31.0;G
1899-08-01 07:00:01;1899-09-01 07:00:00;1899-08;27.0;G
1899-09-01 07:00:01;1899-10-01 07:00:00;1899-09;81.0;G
