Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Lobonäs D;115320;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1931-02-01 00:00:00;2018-04-30 23:59:59;220.0;61.5338;15.3444

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;47.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;19.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;15.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;39.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;55.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;30.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;130.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;124.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;42.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;18.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;21.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;40.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;10.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;8.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;12.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;41.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;52.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;24.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;39.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;37.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;46.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;50.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;43.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;18.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;16.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;13.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;21.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;7.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;36.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;34.0;G
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;45.0;G
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;46.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;81.0;G
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;69.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;12.0;G
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;20.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;14.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;38.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;44.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;36.0;G
1934-05-01 07:00:01;1934-06-01 07:00:00;1934-05;24.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;79.0;G
1934-07-01 07:00:01;1934-08-01 07:00:00;1934-07;110.0;G
1934-08-01 07:00:01;1934-09-01 07:00:00;1934-08;93.0;G
1934-09-01 07:00:01;1934-10-01 07:00:00;1934-09;37.0;G
1934-10-01 07:00:01;1934-11-01 07:00:00;1934-10;67.0;G
1934-11-01 07:00:01;1934-12-01 07:00:00;1934-11;42.0;G
1934-12-01 07:00:01;1935-01-01 07:00:00;1934-12;70.0;G
1935-01-01 07:00:01;1935-02-01 07:00:00;1935-01;35.0;G
1935-02-01 07:00:01;1935-03-01 07:00:00;1935-02;29.0;G
1935-03-01 07:00:01;1935-04-01 07:00:00;1935-03;18.0;G
1935-04-01 07:00:01;1935-05-01 07:00:00;1935-04;38.0;G
1935-05-01 07:00:01;1935-06-01 07:00:00;1935-05;7.0;G
1935-06-01 07:00:01;1935-07-01 07:00:00;1935-06;128.0;G
1935-07-01 07:00:01;1935-08-01 07:00:00;1935-07;61.0;G
1935-08-01 07:00:01;1935-09-01 07:00:00;1935-08;42.0;G
1935-09-01 07:00:01;1935-10-01 07:00:00;1935-09;109.0;G
1935-10-01 07:00:01;1935-11-01 07:00:00;1935-10;95.0;G
1935-11-01 07:00:01;1935-12-01 07:00:00;1935-11;51.0;G
1935-12-01 07:00:01;1936-01-01 07:00:00;1935-12;76.0;G
1936-01-01 07:00:01;1936-02-01 07:00:00;1936-01;74.0;G
1936-02-01 07:00:01;1936-03-01 07:00:00;1936-02;14.0;G
1936-03-01 07:00:01;1936-04-01 07:00:00;1936-03;15.0;G
1936-04-01 07:00:01;1936-05-01 07:00:00;1936-04;42.0;G
1936-05-01 07:00:01;1936-06-01 07:00:00;1936-05;54.0;G
1936-06-01 07:00:01;1936-07-01 07:00:00;1936-06;34.0;G
1936-07-01 07:00:01;1936-08-01 07:00:00;1936-07;100.0;G
1936-08-01 07:00:01;1936-09-01 07:00:00;1936-08;96.0;G
1936-09-01 07:00:01;1936-10-01 07:00:00;1936-09;6.0;G
1936-10-01 07:00:01;1936-11-01 07:00:00;1936-10;34.0;G
1936-11-01 07:00:01;1936-12-01 07:00:00;1936-11;33.0;G
1936-12-01 07:00:01;1937-01-01 07:00:00;1936-12;17.0;G
1937-01-01 07:00:01;1937-02-01 07:00:00;1937-01;15.0;G
1937-02-01 07:00:01;1937-03-01 07:00:00;1937-02;46.0;G
1937-03-01 07:00:01;1937-04-01 07:00:00;1937-03;36.0;G
1937-04-01 07:00:01;1937-05-01 07:00:00;1937-04;33.0;G
1937-05-01 07:00:01;1937-06-01 07:00:00;1937-05;51.0;G
1937-06-01 07:00:01;1937-07-01 07:00:00;1937-06;60.0;G
1937-07-01 07:00:01;1937-08-01 07:00:00;1937-07;97.0;G
1937-08-01 07:00:01;1937-09-01 07:00:00;1937-08;4.0;G
