Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Los D;115450;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2006-04-01 00:00:00;2008-09-30 23:59:59;406.0;61.7256;15.1783
2008-10-01 00:00:00;2012-12-31 23:59:59;397.0;61.7216;15.1755
2013-01-01 00:00:00;2018-05-01 15:00:00;406.0;61.7256;15.1783
1881-12-01 00:00:00;1972-12-01 23:59:59;420.0;61.75;15.1666

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;17.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;35.0;G;;Tidsperiod (fr.o.m.) = 1881-12-01 00:00:00 (UTC)
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;32.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;24.0;G;;Värdet är summerat över = 1 månad
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;28.0;G;;
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;41.0;G;;Kvalitetskoderna:
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;46.0;G;;Grön (G) = Kontrollerade och godkända värden.
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;73.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;126.0;G;;
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;135.0;G;;Orsaker till saknade data:
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;57.0;G;;  stationen eller givaren har varit ur funktion.
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;70.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;66.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;53.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;21.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;9.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;8.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;18.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;54.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;18.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;123.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;90.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;76.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;36.0;G
1883-11-01 07:00:01;1883-12-01 07:00:00;1883-11;67.0;G
1883-12-01 07:00:01;1884-01-01 07:00:00;1883-12;23.0;G
1884-01-01 07:00:01;1884-02-01 07:00:00;1884-01;34.0;G
1884-02-01 07:00:01;1884-03-01 07:00:00;1884-02;11.0;G
1884-03-01 07:00:01;1884-04-01 07:00:00;1884-03;21.0;G
1884-04-01 07:00:01;1884-05-01 07:00:00;1884-04;13.0;G
1884-05-01 07:00:01;1884-06-01 07:00:00;1884-05;48.0;G
1884-06-01 07:00:01;1884-07-01 07:00:00;1884-06;94.0;G
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;102.0;G
1884-08-01 07:00:01;1884-09-01 07:00:00;1884-08;11.0;G
1884-09-01 07:00:01;1884-10-01 07:00:00;1884-09;46.0;G
1884-10-01 07:00:01;1884-11-01 07:00:00;1884-10;51.0;G
1884-11-01 07:00:01;1884-12-01 07:00:00;1884-11;12.0;G
1884-12-01 07:00:01;1885-01-01 07:00:00;1884-12;84.0;G
1885-01-01 07:00:01;1885-02-01 07:00:00;1885-01;16.0;G
1885-02-01 07:00:01;1885-03-01 07:00:00;1885-02;30.0;G
1885-03-01 07:00:01;1885-04-01 07:00:00;1885-03;9.0;G
1885-04-01 07:00:01;1885-05-01 07:00:00;1885-04;25.0;G
1885-05-01 07:00:01;1885-06-01 07:00:00;1885-05;74.0;G
1885-06-01 07:00:01;1885-07-01 07:00:00;1885-06;106.0;G
1885-07-01 07:00:01;1885-08-01 07:00:00;1885-07;63.0;G
1885-08-01 07:00:01;1885-09-01 07:00:00;1885-08;146.0;G
1885-09-01 07:00:01;1885-10-01 07:00:00;1885-09;66.0;G
1885-10-01 07:00:01;1885-11-01 07:00:00;1885-10;139.0;G
1885-11-01 07:00:01;1885-12-01 07:00:00;1885-11;14.0;G
1885-12-01 07:00:01;1886-01-01 07:00:00;1885-12;30.0;G
1886-01-01 07:00:01;1886-02-01 07:00:00;1886-01;32.0;G
1886-02-01 07:00:01;1886-03-01 07:00:00;1886-02;13.0;G
1886-03-01 07:00:01;1886-04-01 07:00:00;1886-03;9.0;G
1886-04-01 07:00:01;1886-05-01 07:00:00;1886-04;27.0;G
1886-05-01 07:00:01;1886-06-01 07:00:00;1886-05;80.0;G
1886-06-01 07:00:01;1886-07-01 07:00:00;1886-06;70.0;G
1886-07-01 07:00:01;1886-08-01 07:00:00;1886-07;87.0;G
1886-08-01 07:00:01;1886-09-01 07:00:00;1886-08;62.0;G
1886-09-01 07:00:01;1886-10-01 07:00:00;1886-09;33.0;G
1886-10-01 07:00:01;1886-11-01 07:00:00;1886-10;24.0;G
1886-11-01 07:00:01;1886-12-01 07:00:00;1886-11;38.0;G
1886-12-01 07:00:01;1887-01-01 07:00:00;1886-12;48.0;G
1887-01-01 07:00:01;1887-02-01 07:00:00;1887-01;35.0;G
1887-02-01 07:00:01;1887-03-01 07:00:00;1887-02;16.0;G
1887-03-01 07:00:01;1887-04-01 07:00:00;1887-03;12.0;G
1887-04-01 07:00:01;1887-05-01 07:00:00;1887-04;37.0;G
1887-05-01 07:00:01;1887-06-01 07:00:00;1887-05;34.0;G
1887-06-01 07:00:01;1887-07-01 07:00:00;1887-06;24.0;G
1887-07-01 07:00:01;1887-08-01 07:00:00;1887-07;104.0;G
1887-08-01 07:00:01;1887-09-01 07:00:00;1887-08;77.0;G
1887-09-01 07:00:01;1887-10-01 07:00:00;1887-09;79.0;G
1887-10-01 07:00:01;1887-11-01 07:00:00;1887-10;36.0;G
1887-11-01 07:00:01;1887-12-01 07:00:00;1887-11;31.0;G
1887-12-01 07:00:01;1888-01-01 07:00:00;1887-12;61.0;G
1888-01-01 07:00:01;1888-02-01 07:00:00;1888-01;12.0;G
1888-02-01 07:00:01;1888-03-01 07:00:00;1888-02;18.0;G
1888-03-01 07:00:01;1888-04-01 07:00:00;1888-03;34.0;G
1888-04-01 07:00:01;1888-05-01 07:00:00;1888-04;16.0;G
1888-05-01 07:00:01;1888-06-01 07:00:00;1888-05;56.0;G
1888-06-01 07:00:01;1888-07-01 07:00:00;1888-06;19.0;G
1888-07-01 07:00:01;1888-08-01 07:00:00;1888-07;88.0;G
1888-08-01 07:00:01;1888-09-01 07:00:00;1888-08;74.0;G
1888-09-01 07:00:01;1888-10-01 07:00:00;1888-09;62.0;G
1888-10-01 07:00:01;1888-11-01 07:00:00;1888-10;65.0;G
1888-11-01 07:00:01;1888-12-01 07:00:00;1888-11;14.0;G
1888-12-01 07:00:01;1889-01-01 07:00:00;1888-12;42.0;G
1889-01-01 07:00:01;1889-02-01 07:00:00;1889-01;24.0;G
1889-02-01 07:00:01;1889-03-01 07:00:00;1889-02;18.0;G
1889-03-01 07:00:01;1889-04-01 07:00:00;1889-03;14.0;G
1889-04-01 07:00:01;1889-05-01 07:00:00;1889-04;19.0;G
1889-05-01 07:00:01;1889-06-01 07:00:00;1889-05;35.0;G
1889-06-01 07:00:01;1889-07-01 07:00:00;1889-06;51.0;G
1889-07-01 07:00:01;1889-08-01 07:00:00;1889-07;66.0;G
1889-08-01 07:00:01;1889-09-01 07:00:00;1889-08;126.0;G
1889-09-01 07:00:01;1889-10-01 07:00:00;1889-09;82.0;G
1889-10-01 07:00:01;1889-11-01 07:00:00;1889-10;83.0;G
1889-11-01 07:00:01;1889-12-01 07:00:00;1889-11;40.0;G
1889-12-01 07:00:01;1890-01-01 07:00:00;1889-12;19.0;G
1890-01-01 07:00:01;1890-02-01 07:00:00;1890-01;47.0;G
1890-02-01 07:00:01;1890-03-01 07:00:00;1890-02;4.0;G
1890-03-01 07:00:01;1890-04-01 07:00:00;1890-03;28.0;G
1890-04-01 07:00:01;1890-05-01 07:00:00;1890-04;63.0;G
1890-05-01 07:00:01;1890-06-01 07:00:00;1890-05;37.0;G
1890-06-01 07:00:01;1890-07-01 07:00:00;1890-06;114.0;G
1890-07-01 07:00:01;1890-08-01 07:00:00;1890-07;108.0;G
1890-08-01 07:00:01;1890-09-01 07:00:00;1890-08;119.0;G
1890-09-01 07:00:01;1890-10-01 07:00:00;1890-09;15.0;G
1890-10-01 07:00:01;1890-11-01 07:00:00;1890-10;78.0;G
1890-11-01 07:00:01;1890-12-01 07:00:00;1890-11;62.0;G
1890-12-01 07:00:01;1891-01-01 07:00:00;1890-12;18.0;G
1891-01-01 07:00:01;1891-02-01 07:00:00;1891-01;36.0;G
1891-02-01 07:00:01;1891-03-01 07:00:00;1891-02;7.0;G
1891-03-01 07:00:01;1891-04-01 07:00:00;1891-03;43.0;G
1891-04-01 07:00:01;1891-05-01 07:00:00;1891-04;10.0;G
1891-05-01 07:00:01;1891-06-01 07:00:00;1891-05;86.0;G
1891-06-01 07:00:01;1891-07-01 07:00:00;1891-06;27.0;G
1891-07-01 07:00:01;1891-08-01 07:00:00;1891-07;72.0;G
1891-08-01 07:00:01;1891-09-01 07:00:00;1891-08;123.0;G
1891-09-01 07:00:01;1891-10-01 07:00:00;1891-09;72.0;G
