Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kilafors D;116150;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2004-12-01 00:00:00;2018-03-31 23:59:59;50.0;61.2489;16.5572

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;22.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;22.7;Y;;Tidsperiod (fr.o.m.) = 2004-12-01 00:00:00 (UTC)
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;21.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;34.8;Y;;Värdet är summerat över = 1 månad
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;9.0;Y;;
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;5.1;Y;;Kvalitetskoderna:
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;57.4;Y;;Grön (G) = Kontrollerade och godkända värden.
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;104.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;66.0;Y;;
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;83.0;Y;;Orsaker till saknade data:
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;4.7;Y;;  stationen eller givaren har varit ur funktion.
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;38.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;32.7;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;60.0;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;10.0;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;29.1;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;51.1;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;38.0;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;46.5;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;20.4;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;28.5;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;159.6;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;44.1;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;109.7;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;20.9;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;17.4;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;28.9;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;19.6;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;17.5;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;3.1;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;34.4;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;37.0;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;41.9;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;27.2;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;68.7;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;13.7;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;37.7;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;51.6;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;41.2;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;30.6;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;42.1;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;47.5;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;18.8;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;62.5;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;51.4;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;113.9;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;29.1;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;85.2;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;23.9;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;52.6;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;35.2;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;40.2;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;30.4;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;15.6;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;23.8;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;92.5;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;129.8;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;73.7;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;26.7;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;62.1;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;53.3;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;62.6;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;29.8;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;49.5;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;21.4;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;21.2;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;84.5;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;79.0;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;36.1;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;94.5;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;54.7;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;11.3;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;59.7;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;76.4;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;24.9;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;21.9;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;14.2;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;20.8;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;42.1;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;56.0;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;55.1;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;107.6;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;59.0;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;30.4;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;22.6;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;40.1;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;29.7;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;9.2;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;11.3;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;30.8;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;69.1;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;81.0;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;93.6;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;73.2;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;37.8;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;78.0;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;48.6;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;74.8;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;23.3;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;36.9;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;4.7;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;9.1;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;21.8;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;83.4;Y
