Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Simeå;116340;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1969-02-01 00:00:00;2018-04-30 23:59:59;130.0;61.5706;16.3277

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1969-01-01 06:00:01;1969-02-01 06:00:00;1969-01;35.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1969-02-01 06:00:01;1969-03-01 06:00:00;1969-02;33.3;Y;;Tidsperiod (fr.o.m.) = 1969-02-01 00:00:00 (UTC)
1969-03-01 06:00:01;1969-04-01 06:00:00;1969-03;13.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1969-04-01 06:00:01;1969-05-01 06:00:00;1969-04;47.9;Y;;Värdet är summerat över = 1 månad
1969-05-01 06:00:01;1969-06-01 06:00:00;1969-05;37.3;Y;;
1969-06-01 06:00:01;1969-07-01 06:00:00;1969-06;17.8;Y;;Kvalitetskoderna:
1969-07-01 06:00:01;1969-08-01 06:00:00;1969-07;125.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1969-08-01 06:00:01;1969-09-01 06:00:00;1969-08;60.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1969-09-01 06:00:01;1969-10-01 06:00:00;1969-09;61.1;Y;;
1969-10-01 06:00:01;1969-11-01 06:00:00;1969-10;27.9;Y;;Orsaker till saknade data:
1969-11-01 06:00:01;1969-12-01 06:00:00;1969-11;84.4;Y;;  stationen eller givaren har varit ur funktion.
1969-12-01 06:00:01;1970-01-01 06:00:00;1969-12;20.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1970-01-01 06:00:01;1970-02-01 06:00:00;1970-01;15.8;Y
1970-02-01 06:00:01;1970-03-01 06:00:00;1970-02;10.5;Y
1970-04-01 06:00:01;1970-05-01 06:00:00;1970-04;63.1;Y
1970-05-01 06:00:01;1970-06-01 06:00:00;1970-05;22.1;Y
1970-08-01 06:00:01;1970-09-01 06:00:00;1970-08;40.1;Y
1970-10-01 06:00:01;1970-11-01 06:00:00;1970-10;79.5;Y
1970-11-01 06:00:01;1970-12-01 06:00:00;1970-11;116.3;Y
1970-12-01 06:00:01;1971-01-01 06:00:00;1970-12;16.6;Y
1971-01-01 06:00:01;1971-02-01 06:00:00;1971-01;49.5;Y
1971-02-01 06:00:01;1971-03-01 06:00:00;1971-02;25.8;Y
1971-03-01 06:00:01;1971-04-01 06:00:00;1971-03;26.8;Y
1971-05-01 06:00:01;1971-06-01 06:00:00;1971-05;32.5;Y
1971-07-01 06:00:01;1971-08-01 06:00:00;1971-07;108.0;Y
1971-08-01 06:00:01;1971-09-01 06:00:00;1971-08;74.9;Y
1971-10-01 06:00:01;1971-11-01 06:00:00;1971-10;39.9;Y
1971-11-01 06:00:01;1971-12-01 06:00:00;1971-11;69.2;Y
1971-12-01 06:00:01;1972-01-01 06:00:00;1971-12;32.6;Y
1972-01-01 06:00:01;1972-02-01 06:00:00;1972-01;29.6;Y
1972-02-01 06:00:01;1972-03-01 06:00:00;1972-02;29.8;Y
1972-03-01 06:00:01;1972-04-01 06:00:00;1972-03;44.3;Y
1972-06-01 06:00:01;1972-07-01 06:00:00;1972-06;30.5;Y
1972-08-01 06:00:01;1972-09-01 06:00:00;1972-08;42.3;Y
1972-09-01 06:00:01;1972-10-01 06:00:00;1972-09;24.7;Y
1972-11-01 06:00:01;1972-12-01 06:00:00;1972-11;47.8;Y
1972-12-01 06:00:01;1973-01-01 06:00:00;1972-12;19.2;Y
1973-01-01 06:00:01;1973-02-01 06:00:00;1973-01;21.8;Y
1973-02-01 06:00:01;1973-03-01 06:00:00;1973-02;51.8;Y
1973-03-01 06:00:01;1973-04-01 06:00:00;1973-03;9.3;Y
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;50.6;Y
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;89.6;Y
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;45.1;Y
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;81.8;Y
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;27.5;Y
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;50.4;Y
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;6.9;Y
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;33.8;Y
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;50.4;Y
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;46.8;Y
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;40.0;Y
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;10.8;Y
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;15.4;Y
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;27.8;Y
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;49.5;Y
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;108.6;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;36.0;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;76.7;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;65.6;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;97.8;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;68.8;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;37.5;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;6.6;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;11.9;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;17.5;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;59.4;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;71.4;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;33.2;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;27.5;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;83.8;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;27.5;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;29.7;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;27.1;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;53.4;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;21.1;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;14.7;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;16.4;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;18.4;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;82.0;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;40.4;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;53.3;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;58.8;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;33.1;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;83.9;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;78.1;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;78.4;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;19.8;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;34.5;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;67.1;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;27.7;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;68.0;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;29.2;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;38.5;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;39.1;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;27.6;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;40.9;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;19.0;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;56.3;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;20.2;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;13.4;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;58.8;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;62.3;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;106.5;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;69.8;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;16.1;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;46.3;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;21.4;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;32.7;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;7.7;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;20.8;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;69.8;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;27.7;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;29.9;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;100.6;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;74.1;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;36.9;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;47.0;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;85.8;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;14.8;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;3.1;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;34.8;Y
