Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Nianfors;116360;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1991-08-01 00:00:00;2018-04-30 23:59:59;170.0;61.6021;16.7726
1881-10-01 00:00:00;1991-06-01 23:59:59;170.0;61.6006;16.7689

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;85.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;91.0;G;;Tidsperiod (fr.o.m.) = 1881-10-01 00:00:00 (UTC)
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;15.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;29.0;G;;Värdet är summerat över = 1 månad
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;37.0;G;;
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;37.0;G;;Kvalitetskoderna:
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;14.0;G;;Grön (G) = Kontrollerade och godkända värden.
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;79.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;73.0;G;;
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;76.0;G;;Orsaker till saknade data:
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;79.0;G;;  stationen eller givaren har varit ur funktion.
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;174.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;41.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;108.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;132.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;87.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;33.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;20.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;14.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;4.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;68.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;35.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;248.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;110.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;61.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;25.0;G
1883-11-01 07:00:01;1883-12-01 07:00:00;1883-11;132.0;G
1883-12-01 07:00:01;1884-01-01 07:00:00;1883-12;33.0;G
1884-01-01 07:00:01;1884-02-01 07:00:00;1884-01;34.0;G
1884-02-01 07:00:01;1884-03-01 07:00:00;1884-02;11.0;G
1884-03-01 07:00:01;1884-04-01 07:00:00;1884-03;25.0;G
1884-04-01 07:00:01;1884-05-01 07:00:00;1884-04;11.0;G
1884-05-01 07:00:01;1884-06-01 07:00:00;1884-05;65.0;G
1884-06-01 07:00:01;1884-07-01 07:00:00;1884-06;78.0;G
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;72.0;G
1884-08-01 07:00:01;1884-09-01 07:00:00;1884-08;26.0;G
1884-09-01 07:00:01;1884-10-01 07:00:00;1884-09;96.0;G
1884-10-01 07:00:01;1884-11-01 07:00:00;1884-10;80.0;G
1884-11-01 07:00:01;1884-12-01 07:00:00;1884-11;30.0;G
1884-12-01 07:00:01;1885-01-01 07:00:00;1884-12;140.0;G
1885-01-01 07:00:01;1885-02-01 07:00:00;1885-01;43.0;G
1885-02-01 07:00:01;1885-03-01 07:00:00;1885-02;45.0;G
1885-03-01 07:00:01;1885-04-01 07:00:00;1885-03;9.0;G
1885-04-01 07:00:01;1885-05-01 07:00:00;1885-04;38.0;G
1885-05-01 07:00:01;1885-06-01 07:00:00;1885-05;64.0;G
1885-06-01 07:00:01;1885-07-01 07:00:00;1885-06;76.0;G
1885-07-01 07:00:01;1885-08-01 07:00:00;1885-07;47.0;G
1885-08-01 07:00:01;1885-09-01 07:00:00;1885-08;299.0;G
1885-09-01 07:00:01;1885-10-01 07:00:00;1885-09;87.0;G
1885-10-01 07:00:01;1885-11-01 07:00:00;1885-10;290.0;G
1885-11-01 07:00:01;1885-12-01 07:00:00;1885-11;23.0;G
1885-12-01 07:00:01;1886-01-01 07:00:00;1885-12;33.0;G
