Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Järvsö;116430;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2013-11-01 00:00:00;2018-04-30 23:59:59;140.0;61.7111;16.1667
1951-02-01 00:00:00;2011-12-31 23:59:59;115.0;61.7142;16.1774

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1951-01-02 06:00:01;1951-02-01 06:00:00;1951-01;35.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1951-01-30 06:00:01;1951-03-01 06:00:00;1951-02;54.3;Y;;Tidsperiod (fr.o.m.) = 1951-02-01 00:00:00 (UTC)
1951-03-02 06:00:01;1951-04-01 06:00:00;1951-03;18.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;16.8;Y;;Värdet är summerat över = 1 månad
1951-05-02 06:00:01;1951-06-01 06:00:00;1951-05;10.4;Y;;
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;80.5;Y;;Kvalitetskoderna:
1951-07-02 06:00:01;1951-08-01 06:00:00;1951-07;55.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1951-08-02 06:00:01;1951-09-01 06:00:00;1951-08;111.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;8.3;Y;;
1951-10-02 06:00:01;1951-11-01 06:00:00;1951-10;7.5;Y;;Orsaker till saknade data:
1951-11-01 06:00:01;1951-12-01 06:00:00;1951-11;64.7;Y;;  stationen eller givaren har varit ur funktion.
1951-12-02 06:00:01;1952-01-01 06:00:00;1951-12;26.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1952-01-02 06:00:01;1952-02-01 06:00:00;1952-01;15.1;Y
1952-01-31 06:00:01;1952-03-01 06:00:00;1952-02;26.3;Y
1952-03-02 06:00:01;1952-04-01 06:00:00;1952-03;11.7;Y
1952-04-01 06:00:01;1952-05-01 06:00:00;1952-04;27.8;Y
1952-05-02 06:00:01;1952-06-01 06:00:00;1952-05;32.3;Y
1952-06-01 06:00:01;1952-07-01 06:00:00;1952-06;69.0;G
1952-09-01 06:00:01;1952-10-01 06:00:00;1952-09;36.6;Y
1952-10-02 06:00:01;1952-11-01 06:00:00;1952-10;57.3;Y
1952-11-01 06:00:01;1952-12-01 06:00:00;1952-11;87.8;Y
1952-12-02 06:00:01;1953-01-01 06:00:00;1952-12;38.9;Y
1961-01-02 06:00:01;1961-02-01 06:00:00;1961-01;34.4;Y
1961-01-30 06:00:01;1961-03-01 06:00:00;1961-02;15.7;Y
1961-03-02 06:00:01;1961-04-01 06:00:00;1961-03;21.9;Y
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;9.0;Y
1961-05-02 06:00:01;1961-06-01 06:00:00;1961-05;63.3;Y
1961-06-01 06:00:01;1961-07-01 06:00:00;1961-06;57.7;Y
1961-07-02 06:00:01;1961-08-01 06:00:00;1961-07;119.5;Y
