Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Delsbo A;116490;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-05-01 15:00:00;70.0;61.8271;16.5418

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;3.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;6.7;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;6.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;11.3;Y;;Värdet är summerat över = 1 månad
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;66.7;Y;;
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;38.7;Y;;Kvalitetskoderna:
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;18.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;45.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;75.1;Y;;
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;22.8;Y;;Orsaker till saknade data:
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;4.8;Y;;  stationen eller givaren har varit ur funktion.
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;42.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;11.2;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;15.6;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;39.2;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;41.3;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;25.2;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;62.5;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;36.4;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;24.2;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;77.3;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;40.9;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;58.2;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;25.2;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;22.4;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;41.5;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;30.8;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;129.5;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;115.8;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;65.8;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;51.3;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;70.0;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;7.1;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;20.6;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;27.3;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;32.8;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;33.4;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;71.0;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;11.2;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;57.7;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;39.4;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;54.0;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;40.2;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;70.7;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;12.1;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;49.9;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;15.3;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;13.7;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;20.4;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;66.6;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;59.7;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;68.8;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;150.6;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;36.2;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;8.5;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;85.6;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;121.7;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;53.8;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;42.3;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;20.9;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;41.7;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;34.1;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;36.3;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;12.5;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;52.5;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;96.4;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;114.0;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;73.9;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;17.3;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;31.3;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;43.4;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;27.2;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;33.9;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;14.3;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;8.2;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;64.0;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;89.5;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;23.5;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;28.4;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;30.3;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;42.9;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;9.5;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;30.0;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;7.5;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;1.7;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;54.1;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;23.1;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;111.9;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;64.4;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;138.8;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;30.0;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;41.3;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;61.5;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;15.2;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;23.0;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;13.3;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;29.7;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;11.1;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;24.8;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;29.0;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;64.5;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;39.9;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;40.8;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;38.6;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;18.9;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;33.3;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;27.5;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;24.5;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;9.9;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;6.8;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;90.3;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;103.1;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;68.7;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;94.4;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;19.8;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;28.8;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;26.8;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;44.2;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;11.8;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;25.5;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;40.5;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;53.3;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;68.1;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;19.8;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;36.9;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;117.4;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;49.9;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;125.8;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;29.9;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;16.0;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;36.3;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;16.6;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;28.5;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;5.6;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;40.9;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;24.0;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;69.6;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;46.1;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;33.4;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;12.0;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;58.6;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;60.0;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;46.9;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;25.2;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;41.7;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;28.8;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;12.0;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;75.1;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;40.0;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;115.7;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;36.6;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;63.0;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;27.6;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;52.1;Y
