Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hudiksvall;117440;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1993-05-01 00:00:00;1996-06-30 23:59:59;10.0;61.7167;17.086000000000002
1996-07-01 00:00:00;2018-05-01 15:00:00;5.0;61.7167;17.086000000000002
1945-02-01 00:00:00;1993-04-25 23:59:59;10.0;61.7306;17.1047

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1945-01-01 07:00:01;1945-02-01 07:00:00;1945-01;99.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1945-02-01 07:00:01;1945-03-01 07:00:00;1945-02;30.7;Y;;Tidsperiod (fr.o.m.) = 1945-02-01 00:00:00 (UTC)
1945-03-01 07:00:01;1945-04-01 07:00:00;1945-03;38.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1945-04-01 07:00:01;1945-05-01 07:00:00;1945-04;103.1;Y;;Värdet är summerat över = 1 månad
1945-05-01 07:00:01;1945-06-01 07:00:00;1945-05;49.7;Y;;
1945-06-01 07:00:01;1945-07-01 07:00:00;1945-06;56.3;Y;;Kvalitetskoderna:
1945-07-01 07:00:01;1945-08-01 07:00:00;1945-07;147.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1945-08-01 07:00:01;1945-09-01 07:00:00;1945-08;98.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1945-09-01 07:00:01;1945-10-01 07:00:00;1945-09;69.0;Y;;
1945-10-01 07:00:01;1945-11-01 07:00:00;1945-10;51.2;Y;;Orsaker till saknade data:
1945-11-01 07:00:01;1945-12-01 07:00:00;1945-11;49.7;Y;;  stationen eller givaren har varit ur funktion.
1945-12-01 07:00:01;1946-01-01 07:00:00;1945-12;74.4;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;26.0;Y
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;67.8;Y
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;35.7;Y
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;82.9;Y
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;23.4;Y
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;113.0;Y
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;24.5;Y
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;96.5;Y
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;91.5;Y
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;21.4;Y
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;53.9;Y
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;50.1;Y
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;50.4;Y
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;14.4;Y
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;52.8;Y
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;37.9;Y
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;3.3;Y
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;57.3;Y
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;31.8;Y
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;0.1;Y
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;23.3;Y
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;9.0;Y
