Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Myskelåsen D;122200;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1913-11-01 00:00:00;1960-12-31 23:59:59;770.0;62.3334;12.6468
1961-01-01 06:01:00;2018-04-30 23:59:59;770.0;62.3335;12.647

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1913-10-01 07:00:01;1913-11-01 07:00:00;1913-10;12.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1913-11-01 07:00:01;1913-12-01 07:00:00;1913-11;32.0;G;;Tidsperiod (fr.o.m.) = 1913-11-01 00:00:00 (UTC)
1913-12-01 07:00:01;1914-01-01 07:00:00;1913-12;54.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1914-01-01 07:00:01;1914-02-01 07:00:00;1914-01;33.0;G;;Värdet är summerat över = 1 månad
1914-02-01 07:00:01;1914-03-01 07:00:00;1914-02;14.0;G;;
1914-03-01 07:00:01;1914-04-01 07:00:00;1914-03;34.0;G;;Kvalitetskoderna:
1914-04-01 07:00:01;1914-05-01 07:00:00;1914-04;26.0;G;;Grön (G) = Kontrollerade och godkända värden.
1914-05-01 07:00:01;1914-06-01 07:00:00;1914-05;50.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1914-06-01 07:00:01;1914-07-01 07:00:00;1914-06;24.0;G;;
1914-07-01 07:00:01;1914-08-01 07:00:00;1914-07;43.0;G;;Orsaker till saknade data:
1914-08-01 07:00:01;1914-09-01 07:00:00;1914-08;16.0;G;;  stationen eller givaren har varit ur funktion.
1914-09-01 07:00:01;1914-10-01 07:00:00;1914-09;35.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1914-10-01 07:00:01;1914-11-01 07:00:00;1914-10;21.0;G
1914-11-01 07:00:01;1914-12-01 07:00:00;1914-11;11.0;G
1914-12-01 07:00:01;1915-01-01 07:00:00;1914-12;47.0;G
1915-01-01 07:00:01;1915-02-01 07:00:00;1915-01;40.0;G
1915-02-01 07:00:01;1915-03-01 07:00:00;1915-02;11.0;G
1915-03-01 07:00:01;1915-04-01 07:00:00;1915-03;27.0;G
1915-04-01 07:00:01;1915-05-01 07:00:00;1915-04;17.0;G
1915-05-01 07:00:01;1915-06-01 07:00:00;1915-05;7.0;G
1915-06-01 07:00:01;1915-07-01 07:00:00;1915-06;17.0;G
1915-07-01 07:00:01;1915-08-01 07:00:00;1915-07;184.0;G
1915-08-01 07:00:01;1915-09-01 07:00:00;1915-08;48.0;G
1915-09-01 07:00:01;1915-10-01 07:00:00;1915-09;61.0;G
1915-10-01 07:00:01;1915-11-01 07:00:00;1915-10;7.0;G
1915-11-01 07:00:01;1915-12-01 07:00:00;1915-11;83.0;G
1915-12-01 07:00:01;1916-01-01 07:00:00;1915-12;39.0;G
1916-01-01 07:00:01;1916-02-01 07:00:00;1916-01;35.0;G
1916-02-01 07:00:01;1916-03-01 07:00:00;1916-02;15.0;G
1916-03-01 07:00:01;1916-04-01 07:00:00;1916-03;34.0;G
