Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Tännäs A;122260;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2018-05-01 15:00:00;723.0;62.4502;12.6702

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;10.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;6.9;Y;;Tidsperiod (fr.o.m.) = 1995-12-01 00:00:00 (UTC)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;32.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;7.6;Y;;Värdet är summerat över = 1 månad
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;15.2;Y;;
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;67.6;Y;;Kvalitetskoderna:
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;59.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;110.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;53.6;Y;;
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;10.5;Y;;Orsaker till saknade data:
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;47.5;Y;;  stationen eller givaren har varit ur funktion.
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;56.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;23.7;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;11.9;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;52.3;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;27.7;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;39.8;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;63.8;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;65.1;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;44.9;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;105.8;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;37.8;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;48.2;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;38.3;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;37.0;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;21.3;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;33.0;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;34.2;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;81.8;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;17.1;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;116.9;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;126.9;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;71.4;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;54.4;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;87.6;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;29.0;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;25.8;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;31.8;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;44.1;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;48.2;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;37.8;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;42.3;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;86.2;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;69.4;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;37.2;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;60.2;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;41.0;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;39.4;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;41.4;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;53.3;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;27.4;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;35.1;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;64.3;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;60.7;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;51.6;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;111.2;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;62.7;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;23.3;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;98.2;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;108.2;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;35.8;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;25.2;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;36.2;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;43.5;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;35.5;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;27.2;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;40.9;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;114.6;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;123.9;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;57.8;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;58.9;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;47.2;Y
