Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Ljungdalen;122510;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1931-02-01 00:00:00;1960-12-31 23:59:59;615.0;62.85;12.8
1961-01-01 00:00:00;2018-04-30 23:59:59;615.0;62.8543;12.807

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;30.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;20.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;9.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;46.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;30.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;48.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;93.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;64.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;28.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;56.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;7.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;88.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;56.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;50.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;23.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;37.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;8.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;35.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;54.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;64.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;44.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;59.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;23.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;10.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;18.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;56.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;12.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;40.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;4.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;24.0;G
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;130.0;G
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;109.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;17.0;G
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;39.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;29.0;G
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;62.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;41.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;136.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;16.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;37.0;G
1934-05-01 07:00:01;1934-06-01 07:00:00;1934-05;30.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;29.0;G
1934-07-01 07:00:01;1934-08-01 07:00:00;1934-07;111.0;G
1934-08-01 07:00:01;1934-09-01 07:00:00;1934-08;95.0;G
1934-09-01 07:00:01;1934-10-01 07:00:00;1934-09;113.0;G
1934-10-01 07:00:01;1934-11-01 07:00:00;1934-10;58.0;G
1934-11-01 07:00:01;1934-12-01 07:00:00;1934-11;105.0;G
1934-12-01 07:00:01;1935-01-01 07:00:00;1934-12;38.0;G
1935-01-01 07:00:01;1935-02-01 07:00:00;1935-01;70.0;G
1935-02-01 07:00:01;1935-03-01 07:00:00;1935-02;42.0;G
1935-03-01 07:00:01;1935-04-01 07:00:00;1935-03;17.0;G
1935-04-01 07:00:01;1935-05-01 07:00:00;1935-04;29.0;G
1935-05-01 07:00:01;1935-06-01 07:00:00;1935-05;5.0;G
1935-06-01 07:00:01;1935-07-01 07:00:00;1935-06;121.0;G
1935-07-01 07:00:01;1935-08-01 07:00:00;1935-07;107.0;G
1935-08-01 07:00:01;1935-09-01 07:00:00;1935-08;58.0;G
1935-09-01 07:00:01;1935-10-01 07:00:00;1935-09;77.0;G
1935-10-01 07:00:01;1935-11-01 07:00:00;1935-10;68.0;G
1935-11-01 07:00:01;1935-12-01 07:00:00;1935-11;31.0;G
1935-12-01 07:00:01;1936-01-01 07:00:00;1935-12;87.0;G
1936-01-01 07:00:01;1936-02-01 07:00:00;1936-01;44.0;G
1936-02-01 07:00:01;1936-03-01 07:00:00;1936-02;22.0;G
1936-03-01 07:00:01;1936-04-01 07:00:00;1936-03;23.0;G
1936-04-01 07:00:01;1936-05-01 07:00:00;1936-04;44.0;G
1936-05-01 07:00:01;1936-06-01 07:00:00;1936-05;16.0;G
1936-06-01 07:00:01;1936-07-01 07:00:00;1936-06;33.0;G
1936-07-01 07:00:01;1936-08-01 07:00:00;1936-07;115.0;G
1936-08-01 07:00:01;1936-09-01 07:00:00;1936-08;95.0;G
1936-09-01 07:00:01;1936-10-01 07:00:00;1936-09;9.0;G
1936-10-01 07:00:01;1936-11-01 07:00:00;1936-10;41.0;G
1936-11-01 07:00:01;1936-12-01 07:00:00;1936-11;30.0;G
1936-12-01 07:00:01;1937-01-01 07:00:00;1936-12;87.0;G
1937-01-01 07:00:01;1937-02-01 07:00:00;1937-01;21.0;G
1937-02-01 07:00:01;1937-03-01 07:00:00;1937-02;26.0;G
1937-03-01 07:00:01;1937-04-01 07:00:00;1937-03;16.0;G
1937-04-01 07:00:01;1937-05-01 07:00:00;1937-04;31.0;G
1937-05-01 07:00:01;1937-06-01 07:00:00;1937-05;45.0;G
1937-06-01 07:00:01;1937-07-01 07:00:00;1937-06;110.0;G
1937-07-01 07:00:01;1937-08-01 07:00:00;1937-07;90.0;G
1937-08-01 07:00:01;1937-09-01 07:00:00;1937-08;30.0;G
1937-09-01 07:00:01;1937-10-01 07:00:00;1937-09;82.0;G
1937-10-01 07:00:01;1937-11-01 07:00:00;1937-10;30.0;G
1937-11-01 07:00:01;1937-12-01 07:00:00;1937-11;49.0;G
1937-12-01 07:00:01;1938-01-01 07:00:00;1937-12;51.0;G
1938-01-01 07:00:01;1938-02-01 07:00:00;1938-01;55.0;G
1938-02-01 07:00:01;1938-03-01 07:00:00;1938-02;46.0;G
1938-03-01 07:00:01;1938-04-01 07:00:00;1938-03;108.0;G
1938-04-01 07:00:01;1938-05-01 07:00:00;1938-04;57.0;G
1938-05-01 07:00:01;1938-06-01 07:00:00;1938-05;71.0;G
1938-06-01 07:00:01;1938-07-01 07:00:00;1938-06;45.0;G
1938-07-01 07:00:01;1938-08-01 07:00:00;1938-07;128.0;G
1938-08-01 07:00:01;1938-09-01 07:00:00;1938-08;133.0;G
1938-09-01 07:00:01;1938-10-01 07:00:00;1938-09;79.0;G
1938-10-01 07:00:01;1938-11-01 07:00:00;1938-10;122.0;G
1938-11-01 07:00:01;1938-12-01 07:00:00;1938-11;52.0;G
1938-12-01 07:00:01;1939-01-01 07:00:00;1938-12;21.0;G
1939-01-01 07:00:01;1939-02-01 07:00:00;1939-01;27.0;G
1939-02-01 07:00:01;1939-03-01 07:00:00;1939-02;46.0;G
1939-03-01 07:00:01;1939-04-01 07:00:00;1939-03;15.0;G
1939-04-01 07:00:01;1939-05-01 07:00:00;1939-04;31.0;G
1939-05-01 07:00:01;1939-06-01 07:00:00;1939-05;17.0;G
1939-06-01 07:00:01;1939-07-01 07:00:00;1939-06;88.0;G
1939-07-01 07:00:01;1939-08-01 07:00:00;1939-07;136.0;G
1939-08-01 07:00:01;1939-09-01 07:00:00;1939-08;67.0;G
1939-09-01 07:00:01;1939-10-01 07:00:00;1939-09;31.0;G
