Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Börtnan A;123460;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-04-30 23:59:59;467.0;62.7557;13.8456

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;5.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;14.9;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;8.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;10.7;Y;;Värdet är summerat över = 1 månad
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;40.0;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;69.2;Y;;Kvalitetskoderna:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;65.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;53.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;17.5;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;37.9;Y;;Orsaker till saknade data:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;43.7;Y;;  stationen eller givaren har varit ur funktion.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;19.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;6.2;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;29.2;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;15.2;Y
