Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Åsarna D;124400;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2005-11-01 00:00:00;2018-05-01 15:00:00;450.0;62.66;14.3556

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;32.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;35.4;Y;;Tidsperiod (fr.o.m.) = 2005-11-01 00:00:00 (UTC)
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;39.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;22.0;Y;;Värdet är summerat över = 1 månad
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;23.9;Y;;
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;44.8;Y;;Kvalitetskoderna:
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;39.0;Y;;Grön (G) = Kontrollerade och godkända värden.
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;48.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;23.6;Y;;
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;54.8;Y;;Orsaker till saknade data:
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;110.8;Y;;  stationen eller givaren har varit ur funktion.
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;81.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;169.1;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;48.7;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;26.0;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;77.3;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;24.5;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;41.6;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;11.2;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;90.9;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;33.5;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;57.8;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;63.9;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;40.7;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;19.4;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;64.9;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;48.8;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;68.9;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;24.3;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;54.9;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;41.6;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;38.7;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;54.2;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;71.4;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;118.9;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;13.1;Y
