Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Dödre;124480;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1946-02-01 00:00:00;2018-04-30 23:59:59;350.0;62.7923;14.687

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;23.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;40.0;G;;Tidsperiod (fr.o.m.) = 1946-02-01 00:00:00 (UTC)
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;15.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;45.0;G;;Värdet är summerat över = 1 månad
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;15.2;Y;;
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;115.3;Y;;Kvalitetskoderna:
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;57.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;76.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;93.9;Y;;
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;15.6;Y;;Orsaker till saknade data:
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;40.2;Y;;  stationen eller givaren har varit ur funktion.
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;38.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;29.8;Y
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;16.7;Y
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;26.0;G
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;31.0;G
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;11.5;Y
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;56.5;Y
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;96.7;Y
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;22.5;Y
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;41.7;Y
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;20.8;Y
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;54.2;Y
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;57.7;Y
1948-02-01 06:00:01;1948-03-01 06:00:00;1948-02;12.0;G
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;45.4;Y
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;43.7;Y
1948-06-01 06:00:01;1948-07-01 06:00:00;1948-06;44.9;Y
1948-07-01 06:00:01;1948-08-01 06:00:00;1948-07;40.3;Y
1948-08-01 06:00:01;1948-09-01 06:00:00;1948-08;134.5;Y
1948-09-01 06:00:01;1948-10-01 06:00:00;1948-09;45.5;Y
1948-10-01 06:00:01;1948-11-01 06:00:00;1948-10;30.6;Y
1948-11-01 06:00:01;1948-12-01 06:00:00;1948-11;18.6;Y
1948-12-01 06:00:01;1949-01-01 06:00:00;1948-12;19.6;Y
1949-01-01 06:00:01;1949-02-01 06:00:00;1949-01;17.9;Y
1949-02-01 06:00:01;1949-03-01 06:00:00;1949-02;17.8;Y
1949-03-01 06:00:01;1949-04-01 06:00:00;1949-03;25.6;Y
1949-04-01 06:00:01;1949-05-01 06:00:00;1949-04;30.5;Y
1949-05-01 06:00:01;1949-06-01 06:00:00;1949-05;56.1;Y
1949-06-01 06:00:01;1949-07-01 06:00:00;1949-06;48.6;Y
1949-07-01 06:00:01;1949-08-01 06:00:00;1949-07;52.7;Y
1949-08-01 06:00:01;1949-09-01 06:00:00;1949-08;48.8;Y
1949-09-01 06:00:01;1949-10-01 06:00:00;1949-09;29.9;Y
1949-10-01 06:00:01;1949-11-01 06:00:00;1949-10;32.6;Y
1949-11-01 06:00:01;1949-12-01 06:00:00;1949-11;66.7;Y
1949-12-01 06:00:01;1950-01-01 06:00:00;1949-12;44.8;Y
1950-01-01 06:00:01;1950-02-01 06:00:00;1950-01;55.0;Y
1950-02-01 06:00:01;1950-03-01 06:00:00;1950-02;13.7;Y
1950-03-01 06:00:01;1950-04-01 06:00:00;1950-03;9.1;Y
1950-04-01 06:00:01;1950-05-01 06:00:00;1950-04;70.4;Y
1950-05-01 06:00:01;1950-06-01 06:00:00;1950-05;14.4;Y
1950-06-01 06:00:01;1950-07-01 06:00:00;1950-06;103.1;Y
1950-07-01 06:00:01;1950-08-01 06:00:00;1950-07;122.0;Y
1950-08-01 06:00:01;1950-09-01 06:00:00;1950-08;34.7;Y
1950-09-01 06:00:01;1950-10-01 06:00:00;1950-09;70.9;Y
1950-10-01 06:00:01;1950-11-01 06:00:00;1950-10;39.2;Y
1950-11-01 06:00:01;1950-12-01 06:00:00;1950-11;68.1;Y
1950-12-01 06:00:01;1951-01-01 06:00:00;1950-12;35.0;G
1951-01-01 06:00:01;1951-02-01 06:00:00;1951-01;21.5;Y
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;43.5;Y
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;10.5;Y
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;34.0;G
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;6.9;Y
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;66.8;Y
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;52.5;Y
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;69.5;Y
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;25.2;Y
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;4.6;Y
1951-11-01 06:00:01;1951-12-01 06:00:00;1951-11;72.5;Y
1951-12-01 06:00:01;1952-01-01 06:00:00;1951-12;28.4;Y
1952-01-01 06:00:01;1952-02-01 06:00:00;1952-01;14.3;Y
1952-02-01 06:00:01;1952-03-01 06:00:00;1952-02;35.6;Y
1952-03-01 06:00:01;1952-04-01 06:00:00;1952-03;8.8;Y
1952-04-01 06:00:01;1952-05-01 06:00:00;1952-04;14.6;Y
1952-05-01 06:00:01;1952-06-01 06:00:00;1952-05;24.8;Y
1952-06-01 06:00:01;1952-07-01 06:00:00;1952-06;115.3;Y
1952-07-01 06:00:01;1952-08-01 06:00:00;1952-07;41.0;G
1952-08-01 06:00:01;1952-09-01 06:00:00;1952-08;87.3;Y
1952-09-01 06:00:01;1952-10-01 06:00:00;1952-09;52.4;Y
1952-10-01 06:00:01;1952-11-01 06:00:00;1952-10;41.2;Y
1952-11-01 06:00:01;1952-12-01 06:00:00;1952-11;43.7;Y
1952-12-01 06:00:01;1953-01-01 06:00:00;1952-12;48.9;Y
1953-01-01 06:00:01;1953-02-01 06:00:00;1953-01;24.1;Y
1953-02-01 06:00:01;1953-03-01 06:00:00;1953-02;16.4;Y
1953-03-01 06:00:01;1953-04-01 06:00:00;1953-03;8.4;Y
1953-04-01 06:00:01;1953-05-01 06:00:00;1953-04;62.6;Y
1953-05-01 06:00:01;1953-06-01 06:00:00;1953-05;40.0;Y
1953-06-01 06:00:01;1953-07-01 06:00:00;1953-06;54.5;Y
1953-07-01 06:00:01;1953-08-01 06:00:00;1953-07;108.8;Y
1953-08-01 06:00:01;1953-09-01 06:00:00;1953-08;86.6;Y
1953-09-01 06:00:01;1953-10-01 06:00:00;1953-09;38.1;Y
1953-10-01 06:00:01;1953-11-01 06:00:00;1953-10;20.9;Y
1953-11-01 06:00:01;1953-12-01 06:00:00;1953-11;19.8;Y
1953-12-01 06:00:01;1954-01-01 06:00:00;1953-12;24.0;G
1954-01-01 06:00:01;1954-02-01 06:00:00;1954-01;23.4;Y
1954-02-01 06:00:01;1954-03-01 06:00:00;1954-02;9.8;Y
1954-03-01 06:00:01;1954-04-01 06:00:00;1954-03;27.5;Y
1954-04-01 06:00:01;1954-05-01 06:00:00;1954-04;8.1;Y
1954-05-01 06:00:01;1954-06-01 06:00:00;1954-05;39.6;Y
