Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Rotnäset D;125250;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2010-09-01 00:00:00;2018-04-30 23:59:59;245.0;62.4001;15.4417

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;106.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;77.2;Y;;Tidsperiod (fr.o.m.) = 2010-09-01 00:00:00 (UTC)
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;31.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;26.6;Y;;Värdet är summerat över = 1 månad
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;50.3;Y;;
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;46.6;Y;;Kvalitetskoderna:
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;19.7;Y;;Grön (G) = Kontrollerade och godkända värden.
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;7.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;17.5;Y;;
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;82.4;Y;;Orsaker till saknade data:
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;92.4;Y;;  stationen eller givaren har varit ur funktion.
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;91.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;56.5;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;69.4;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;29.2;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;32.0;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;71.3;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;46.7;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;19.4;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;12.4;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;36.1;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;58.7;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;76.6;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;103.4;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;82.6;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;40.8;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;63.4;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;36.3;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;46.9;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;22.0;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;21.2;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;6.5;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;5.8;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;39.5;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;137.8;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;77.0;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;89.0;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;51.5;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;41.2;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;26.1;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;55.6;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;25.3;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;48.2;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;26.9;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;21.8;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;46.5;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;65.3;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;40.9;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;77.5;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;37.4;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;104.7;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;65.2;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;25.4;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;59.2;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;16.5;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;26.8;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;27.1;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;72.1;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;60.9;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;152.0;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;44.0;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;58.0;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;12.2;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;41.6;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;33.0;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;30.9;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;14.7;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;40.9;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;39.1;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;34.4;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;48.6;Y
