Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hunge A;125440;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2018-05-01 15:00:00;343.0;62.7512;15.0876

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;35.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;7.1;Y;;Tidsperiod (fr.o.m.) = 1995-12-01 00:00:00 (UTC)
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;4.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;8.8;Y;;Värdet är summerat över = 1 månad
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;10.5;Y;;
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;23.8;Y;;Kvalitetskoderna:
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;49.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;88.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;50.1;Y;;
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;56.8;Y;;Orsaker till saknade data:
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;21.9;Y;;  stationen eller givaren har varit ur funktion.
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;57.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;71.7;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;32.2;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;4.2;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;31.1;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;20.9;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;34.1;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;40.7;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;44.9;Y
