Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Ljusdals-Valsjön;126120;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2015-11-01 00:00:00;2018-04-30 23:59:59;300.0;62.195;16.03667
2008-11-01 00:00:00;2015-10-31 05:59:59;300.0;62.194;16.0407
2006-03-01 00:00:00;2008-10-31 23:59:59;305.0;62.1935;16.0387

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;29.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;37.4;Y;;Tidsperiod (fr.o.m.) = 2006-03-01 00:00:00 (UTC)
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;52.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;62.2;Y;;Värdet är summerat över = 1 månad
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;54.9;Y;;
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;50.1;Y;;Kvalitetskoderna:
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;120.7;Y;;Grön (G) = Kontrollerade och godkända värden.
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;52.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;140.4;Y;;
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;62.3;Y;;Orsaker till saknade data:
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;36.1;Y;;  stationen eller givaren har varit ur funktion.
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;80.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;25.6;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;42.2;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;10.1;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;49.4;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;28.1;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;64.8;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;46.8;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;53.2;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;20.1;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;82.1;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;81.4;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;94.9;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;27.9;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;49.8;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;32.3;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;12.6;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;72.4;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;52.5;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;131.3;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;18.1;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;61.9;G
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;44.0;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;51.0;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;31.1;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;38.1;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;32.6;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;5.0;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;29.9;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;59.6;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;147.4;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;76.3;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;44.1;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;51.6;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;83.8;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;41.3;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;22.7;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;45.0;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;14.1;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;24.2;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;68.8;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;47.6;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;82.4;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;49.6;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;85.1;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;30.0;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;31.4;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;71.7;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;39.3;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;34.5;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;14.3;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;15.9;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;80.1;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;82.9;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;74.5;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;70.3;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;73.4;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;34.2;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;27.3;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;60.8;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;58.3;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;15.5;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;16.4;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;36.2;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;70.1;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;61.7;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;81.9;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;84.5;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;46.3;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;72.8;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;50.6;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;52.9;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;27.0;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;19.7;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;4.9;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;9.6;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;33.3;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;126.3;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;58.3;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;89.1;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;44.5;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;40.4;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;24.5;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;71.8;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;38.9;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;58.8;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;34.5;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;17.7;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;78.2;Y
