Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Torpshammar A;126290;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1881-02-01 00:00:00;2018-04-30 23:59:59;99.0;62.4943;16.2774

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;9.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;17.0;G;;Tidsperiod (fr.o.m.) = 1881-02-01 00:00:00 (UTC)
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;13.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;14.0;G;;Värdet är summerat över = 1 månad
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;22.0;G;;
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;50.0;G;;Kvalitetskoderna:
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;87.0;G;;Grön (G) = Kontrollerade och godkända värden.
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;116.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;44.0;G;;
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;37.0;G;;Orsaker till saknade data:
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;9.0;G;;  stationen eller givaren har varit ur funktion.
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;62.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;26.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;32.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;12.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;26.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;46.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;71.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;60.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;86.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;39.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;60.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;66.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;18.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;12.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;12.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;15.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;8.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;43.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;9.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;72.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;81.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;58.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;11.0;G
1883-11-01 07:00:01;1883-12-01 07:00:00;1883-11;49.0;G
1883-12-01 07:00:01;1884-01-01 07:00:00;1883-12;19.0;G
1884-01-01 07:00:01;1884-02-01 07:00:00;1884-01;21.0;G
1884-02-01 07:00:01;1884-03-01 07:00:00;1884-02;10.0;G
1884-03-01 07:00:01;1884-04-01 07:00:00;1884-03;9.0;G
1884-04-01 07:00:01;1884-05-01 07:00:00;1884-04;6.0;G
1884-05-01 07:00:01;1884-06-01 07:00:00;1884-05;21.0;G
1884-06-01 07:00:01;1884-07-01 07:00:00;1884-06;43.0;G
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;61.0;G
