Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Öraåtjärnarna D;126430;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1975-02-01 00:00:00;2018-03-31 23:59:59;345.0;62.7165;16.1775

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;61.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;20.7;Y;;Tidsperiod (fr.o.m.) = 1975-02-01 00:00:00 (UTC)
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;13.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;18.8;Y;;Värdet är summerat över = 1 månad
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;77.0;Y;;
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;54.1;Y;;Kvalitetskoderna:
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;38.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;42.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;83.0;Y;;
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;34.9;Y;;Orsaker till saknade data:
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;36.7;Y;;  stationen eller givaren har varit ur funktion.
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;30.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;56.2;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;16.2;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;17.0;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;19.4;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;14.5;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;63.4;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;79.3;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;35.6;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;43.7;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;45.6;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;64.0;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;56.3;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;62.5;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;35.3;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;31.8;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;83.0;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;31.1;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;85.4;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;71.0;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;37.2;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;25.8;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;31.0;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;67.0;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;34.1;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;54.2;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;20.6;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;50.0;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;22.8;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;13.7;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;94.7;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;85.2;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;110.4;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;102.0;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;24.6;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;37.5;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;24.7;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;26.5;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;14.1;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;53.8;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;48.4;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;51.7;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;52.6;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;127.4;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;78.6;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;58.9;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;67.6;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;83.3;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;39.3;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;16.3;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;6.3;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;41.3;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;44.0;Y
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;10.2;Y
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;109.5;Y
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;45.6;Y
1980-08-01 06:00:01;1980-09-01 06:00:00;1980-08;146.0;Y
1980-09-01 06:00:01;1980-10-01 06:00:00;1980-09;49.9;Y
1980-10-01 06:00:01;1980-11-01 06:00:00;1980-10;101.7;Y
1980-11-01 06:00:01;1980-12-01 06:00:00;1980-11;40.4;Y
1980-12-01 06:00:01;1981-01-01 06:00:00;1980-12;40.5;Y
1981-01-01 06:00:01;1981-02-01 06:00:00;1981-01;38.9;Y
1981-02-01 06:00:01;1981-03-01 06:00:00;1981-02;40.6;Y
1981-03-01 06:00:01;1981-04-01 06:00:00;1981-03;65.0;Y
1981-04-01 06:00:01;1981-05-01 06:00:00;1981-04;26.9;Y
1981-05-01 06:00:01;1981-06-01 06:00:00;1981-05;20.0;Y
1981-06-01 06:00:01;1981-07-01 06:00:00;1981-06;148.4;Y
1981-07-01 06:00:01;1981-08-01 06:00:00;1981-07;83.5;Y
1981-08-01 06:00:01;1981-09-01 06:00:00;1981-08;35.2;Y
1981-09-01 06:00:01;1981-10-01 06:00:00;1981-09;29.0;Y
1981-10-01 06:00:01;1981-11-01 06:00:00;1981-10;96.4;Y
1981-11-01 06:00:01;1981-12-01 06:00:00;1981-11;77.4;Y
1981-12-01 06:00:01;1982-01-01 06:00:00;1981-12;50.1;Y
1982-01-01 06:00:01;1982-02-01 06:00:00;1982-01;26.3;Y
1982-02-01 06:00:01;1982-03-01 06:00:00;1982-02;28.7;Y
1982-03-01 06:00:01;1982-04-01 06:00:00;1982-03;53.6;Y
1982-04-01 06:00:01;1982-05-01 06:00:00;1982-04;23.4;Y
1982-05-01 06:00:01;1982-06-01 06:00:00;1982-05;73.7;Y
1982-06-01 06:00:01;1982-07-01 06:00:00;1982-06;18.7;Y
1982-07-01 06:00:01;1982-08-01 06:00:00;1982-07;49.6;Y
1982-08-01 06:00:01;1982-09-01 06:00:00;1982-08;81.1;Y
1982-09-01 06:00:01;1982-10-01 06:00:00;1982-09;93.7;Y
