Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Åsnorrbodarna;127090;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1973-12-01 00:00:00;2018-04-30 23:59:59;135.0;62.1492;17.1724

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;12.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;12.0;Y;;Tidsperiod (fr.o.m.) = 1973-12-01 00:00:00 (UTC)
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;38.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;45.6;Y;;Värdet är summerat över = 1 månad
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;11.8;Y;;
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;18.7;Y;;Kvalitetskoderna:
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;43.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;27.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;132.6;Y;;
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;7.3;Y;;Orsaker till saknade data:
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;47.2;Y;;  stationen eller givaren har varit ur funktion.
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;121.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;155.6;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;74.3;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;31.8;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;13.8;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;23.9;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;13.1;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;45.8;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;51.3;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;36.8;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;71.8;Y
