Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Sidsjö D;127220;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1889-12-01 00:00:00;1960-12-31 23:59:59;69.0;62.37;17.28
1961-01-01 00:00:00;2012-12-31 23:59:59;60.0;62.3809;17.2854
2013-01-01 00:00:00;2018-03-31 23:59:59;60.0;62.3806388888889;17.2855111111111

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1889-11-01 07:00:01;1889-12-01 07:00:00;1889-11;38.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1889-12-01 07:00:01;1890-01-01 07:00:00;1889-12;11.0;G;;Tidsperiod (fr.o.m.) = 1889-12-01 00:00:00 (UTC)
1890-01-01 07:00:01;1890-02-01 07:00:00;1890-01;64.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1890-02-01 07:00:01;1890-03-01 07:00:00;1890-02;3.0;G;;Värdet är summerat över = 1 månad
1890-03-01 07:00:01;1890-04-01 07:00:00;1890-03;25.0;G;;
1890-04-01 07:00:01;1890-05-01 07:00:00;1890-04;69.0;G;;Kvalitetskoderna:
1890-05-01 07:00:01;1890-06-01 07:00:00;1890-05;40.0;G;;Grön (G) = Kontrollerade och godkända värden.
1890-06-01 07:00:01;1890-07-01 07:00:00;1890-06;65.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1890-07-01 07:00:01;1890-08-01 07:00:00;1890-07;64.0;G;;
1890-08-01 07:00:01;1890-09-01 07:00:00;1890-08;152.0;G;;Orsaker till saknade data:
1890-09-01 07:00:01;1890-10-01 07:00:00;1890-09;17.0;G;;  stationen eller givaren har varit ur funktion.
1890-10-01 07:00:01;1890-11-01 07:00:00;1890-10;74.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1890-11-01 07:00:01;1890-12-01 07:00:00;1890-11;146.0;G
1890-12-01 07:00:01;1891-01-01 07:00:00;1890-12;26.0;G
1891-01-01 07:00:01;1891-02-01 07:00:00;1891-01;36.0;G
1891-02-01 07:00:01;1891-03-01 07:00:00;1891-02;1.0;G
1891-03-01 07:00:01;1891-04-01 07:00:00;1891-03;31.0;G
1891-04-01 07:00:01;1891-05-01 07:00:00;1891-04;7.0;G
1891-05-01 07:00:01;1891-06-01 07:00:00;1891-05;53.0;G
1891-06-01 07:00:01;1891-07-01 07:00:00;1891-06;13.0;G
1891-07-01 07:00:01;1891-08-01 07:00:00;1891-07;55.0;G
1891-08-01 07:00:01;1891-09-01 07:00:00;1891-08;153.0;G
1891-09-01 07:00:01;1891-10-01 07:00:00;1891-09;39.0;G
1891-10-01 07:00:01;1891-11-01 07:00:00;1891-10;60.0;G
1891-11-01 07:00:01;1891-12-01 07:00:00;1891-11;61.0;G
1891-12-01 07:00:01;1892-01-01 07:00:00;1891-12;55.0;G
1892-01-01 07:00:01;1892-02-01 07:00:00;1892-01;27.0;G
1892-02-01 07:00:01;1892-03-01 07:00:00;1892-02;40.0;G
1892-03-01 07:00:01;1892-04-01 07:00:00;1892-03;34.0;G
1892-04-01 07:00:01;1892-05-01 07:00:00;1892-04;21.0;G
1892-05-01 07:00:01;1892-06-01 07:00:00;1892-05;53.0;G
1892-06-01 07:00:01;1892-07-01 07:00:00;1892-06;76.0;G
1892-07-01 07:00:01;1892-08-01 07:00:00;1892-07;30.0;G
1892-08-01 07:00:01;1892-09-01 07:00:00;1892-08;57.0;G
1892-09-01 07:00:01;1892-10-01 07:00:00;1892-09;58.0;G
1892-10-01 07:00:01;1892-11-01 07:00:00;1892-10;46.0;G
1892-11-01 07:00:01;1892-12-01 07:00:00;1892-11;7.0;G
1892-12-01 07:00:01;1893-01-01 07:00:00;1892-12;47.0;G
1893-01-01 07:00:01;1893-02-01 07:00:00;1893-01;22.0;G
1893-02-01 07:00:01;1893-03-01 07:00:00;1893-02;26.0;G
1893-03-01 07:00:01;1893-04-01 07:00:00;1893-03;29.0;G
1893-04-01 07:00:01;1893-05-01 07:00:00;1893-04;9.0;G
1893-05-01 07:00:01;1893-06-01 07:00:00;1893-05;22.0;G
1893-06-01 07:00:01;1893-07-01 07:00:00;1893-06;46.0;G
1893-07-01 07:00:01;1893-08-01 07:00:00;1893-07;75.0;G
1893-08-01 07:00:01;1893-09-01 07:00:00;1893-08;66.0;G
1893-09-01 07:00:01;1893-10-01 07:00:00;1893-09;93.0;G
1893-10-01 07:00:01;1893-11-01 07:00:00;1893-10;96.0;G
1893-11-01 07:00:01;1893-12-01 07:00:00;1893-11;63.0;G
1893-12-01 07:00:01;1894-01-01 07:00:00;1893-12;47.0;G
1894-01-01 07:00:01;1894-02-01 07:00:00;1894-01;21.0;G
1894-02-01 07:00:01;1894-03-01 07:00:00;1894-02;23.0;G
1894-03-01 07:00:01;1894-04-01 07:00:00;1894-03;62.0;G
1894-04-01 07:00:01;1894-05-01 07:00:00;1894-04;15.0;G
1894-05-01 07:00:01;1894-06-01 07:00:00;1894-05;84.0;G
1894-06-01 07:00:01;1894-07-01 07:00:00;1894-06;40.0;G
1894-07-01 07:00:01;1894-08-01 07:00:00;1894-07;54.0;G
