Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stordalen-Midlanda D;127320;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2006-03-01 00:00:00;2018-05-01 15:00:00;10.0;62.53;17.4129

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;27.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;50.7;Y;;Tidsperiod (fr.o.m.) = 2006-03-01 00:00:00 (UTC)
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;68.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;52.0;Y;;Värdet är summerat över = 1 månad
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;22.0;Y;;
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;19.2;Y;;Kvalitetskoderna:
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;76.2;Y;;Grön (G) = Kontrollerade och godkända värden.
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;107.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;152.0;Y;;
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;67.2;Y;;Orsaker till saknade data:
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;29.1;Y;;  stationen eller givaren har varit ur funktion.
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;58.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;15.7;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;38.1;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;11.1;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;25.8;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;33.6;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;66.3;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;53.8;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;42.3;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;11.3;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;53.5;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;68.7;Y
