Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Höglandsbodarna D;127390;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-06-01 00:00:00;2018-04-30 23:59:59;65.0;62.6336;17.4146

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;50.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;19.0;Y;;Tidsperiod (fr.o.m.) = 1995-06-01 00:00:00 (UTC)
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;67.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;61.7;Y;;Värdet är summerat över = 1 månad
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;27.0;Y;;
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;26.0;Y;;Kvalitetskoderna:
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;25.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;2.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;12.3;Y;;
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;13.5;Y;;Orsaker till saknade data:
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;16.7;Y;;  stationen eller givaren har varit ur funktion.
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;23.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;62.5;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;84.0;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;55.4;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;36.0;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;49.3;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;81.1;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;89.4;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;50.6;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;12.0;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;63.6;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;27.5;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;26.8;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;38.3;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;45.1;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;32.5;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;59.5;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;63.8;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;32.6;Y
