Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kramfors;127560;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-06-01 00:00:00;2018-03-31 23:59:59;60.0;62.929;17.7636
1884-09-01 06:00:00;1993-02-28 23:59:59;87.0;62.9366;17.7304

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1884-08-01 07:00:01;1884-09-01 07:00:00;1884-08;7.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1884-09-01 07:00:01;1884-10-01 07:00:00;1884-09;77.0;G;;Tidsperiod (fr.o.m.) = 1884-09-01 06:00:00 (UTC)
1884-10-01 07:00:01;1884-11-01 07:00:00;1884-10;53.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1884-11-01 07:00:01;1884-12-01 07:00:00;1884-11;7.0;G;;Värdet är summerat över = 1 månad
1885-02-01 07:00:01;1885-03-01 07:00:00;1885-02;45.0;G;;
1885-03-01 07:00:01;1885-04-01 07:00:00;1885-03;0.0;G;;Kvalitetskoderna:
1885-04-01 07:00:01;1885-05-01 07:00:00;1885-04;48.0;G;;Grön (G) = Kontrollerade och godkända värden.
1885-05-01 07:00:01;1885-06-01 07:00:00;1885-05;57.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1885-08-01 07:00:01;1885-09-01 07:00:00;1885-08;45.0;G;;
1885-10-01 07:00:01;1885-11-01 07:00:00;1885-10;194.0;G;;Orsaker till saknade data:
1886-01-01 07:00:01;1886-02-01 07:00:00;1886-01;18.0;G;;  stationen eller givaren har varit ur funktion.
1886-02-01 07:00:01;1886-03-01 07:00:00;1886-02;6.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1886-03-01 07:00:01;1886-04-01 07:00:00;1886-03;9.0;G
1886-04-01 07:00:01;1886-05-01 07:00:00;1886-04;18.0;G
1886-05-01 07:00:01;1886-06-01 07:00:00;1886-05;117.0;G
1886-06-01 07:00:01;1886-07-01 07:00:00;1886-06;29.0;G
1890-01-01 07:00:01;1890-02-01 07:00:00;1890-01;68.0;G
1890-02-01 07:00:01;1890-03-01 07:00:00;1890-02;4.0;G
1890-03-01 07:00:01;1890-04-01 07:00:00;1890-03;27.0;G
1890-04-01 07:00:01;1890-05-01 07:00:00;1890-04;47.0;G
1890-05-01 07:00:01;1890-06-01 07:00:00;1890-05;45.0;G
1890-10-01 07:00:01;1890-11-01 07:00:00;1890-10;68.0;G
1890-11-01 07:00:01;1890-12-01 07:00:00;1890-11;111.0;G
1890-12-01 07:00:01;1891-01-01 07:00:00;1890-12;20.0;G
1891-01-01 07:00:01;1891-02-01 07:00:00;1891-01;37.0;G
1891-02-01 07:00:01;1891-03-01 07:00:00;1891-02;4.0;G
1891-03-01 07:00:01;1891-04-01 07:00:00;1891-03;34.0;G
1891-04-01 07:00:01;1891-05-01 07:00:00;1891-04;8.0;G
1891-05-01 07:00:01;1891-06-01 07:00:00;1891-05;43.0;G
1891-07-01 07:00:01;1891-08-01 07:00:00;1891-07;11.0;G
1891-08-01 07:00:01;1891-09-01 07:00:00;1891-08;74.0;G
1891-09-01 07:00:01;1891-10-01 07:00:00;1891-09;56.0;G
1891-10-01 07:00:01;1891-11-01 07:00:00;1891-10;66.0;G
1891-11-01 07:00:01;1891-12-01 07:00:00;1891-11;42.0;G
1891-12-01 07:00:01;1892-01-01 07:00:00;1891-12;68.0;G
1892-03-01 07:00:01;1892-04-01 07:00:00;1892-03;29.0;G
1892-04-01 07:00:01;1892-05-01 07:00:00;1892-04;13.0;G
1892-05-01 07:00:01;1892-06-01 07:00:00;1892-05;49.0;G
1892-06-01 07:00:01;1892-07-01 07:00:00;1892-06;36.0;G
1892-07-01 07:00:01;1892-08-01 07:00:00;1892-07;22.0;G
1892-08-01 07:00:01;1892-09-01 07:00:00;1892-08;49.0;G
1892-09-01 07:00:01;1892-10-01 07:00:00;1892-09;50.0;G
1892-10-01 07:00:01;1892-11-01 07:00:00;1892-10;32.0;G
1892-11-01 07:00:01;1892-12-01 07:00:00;1892-11;12.0;G
1892-12-01 07:00:01;1893-01-01 07:00:00;1892-12;43.0;G
1893-01-01 07:00:01;1893-02-01 07:00:00;1893-01;17.0;G
1893-02-01 07:00:01;1893-03-01 07:00:00;1893-02;26.0;G
1893-03-01 07:00:01;1893-04-01 07:00:00;1893-03;33.0;G
