Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Åkroken D;127570;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2007-07-01 00:00:00;2018-03-31 23:59:59;245.0;62.938;17.2411
1956-02-01 00:00:00;2007-06-30 23:59:59;240.0;62.9297;17.2401

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1956-01-01 06:00:01;1956-02-01 06:00:00;1956-01;45.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1956-02-01 06:00:01;1956-03-01 06:00:00;1956-02;41.0;G;;Tidsperiod (fr.o.m.) = 1956-02-01 00:00:00 (UTC)
1956-03-01 06:00:01;1956-04-01 06:00:00;1956-03;9.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1956-04-01 06:00:01;1956-05-01 06:00:00;1956-04;28.0;G;;Värdet är summerat över = 1 månad
1956-05-01 06:00:01;1956-06-01 06:00:00;1956-05;7.0;G;;
1956-06-01 06:00:01;1956-07-01 06:00:00;1956-06;70.0;G;;Kvalitetskoderna:
1956-07-01 06:00:01;1956-08-01 06:00:00;1956-07;101.0;G;;Grön (G) = Kontrollerade och godkända värden.
1956-08-01 06:00:01;1956-09-01 06:00:00;1956-08;151.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1956-09-01 06:00:01;1956-10-01 06:00:00;1956-09;38.0;G;;
1956-10-01 06:00:01;1956-11-01 06:00:00;1956-10;44.0;G;;Orsaker till saknade data:
1956-11-01 06:00:01;1956-12-01 06:00:00;1956-11;35.0;G;;  stationen eller givaren har varit ur funktion.
1956-12-01 06:00:01;1957-01-01 06:00:00;1956-12;22.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1957-01-01 06:00:01;1957-02-01 06:00:00;1957-01;23.0;G
1957-02-01 06:00:01;1957-03-01 06:00:00;1957-02;34.0;G
1957-03-01 06:00:01;1957-04-01 06:00:00;1957-03;55.0;G
1957-04-01 06:00:01;1957-05-01 06:00:00;1957-04;10.0;G
1957-05-01 06:00:01;1957-06-01 06:00:00;1957-05;56.0;G
1957-06-01 06:00:01;1957-07-01 06:00:00;1957-06;85.0;G
1957-07-01 06:00:01;1957-08-01 06:00:00;1957-07;92.0;G
1957-08-01 06:00:01;1957-09-01 06:00:00;1957-08;87.0;G
1957-09-01 06:00:01;1957-10-01 06:00:00;1957-09;146.0;G
1957-10-01 06:00:01;1957-11-01 06:00:00;1957-10;36.0;G
1957-11-01 06:00:01;1957-12-01 06:00:00;1957-11;38.0;G
1957-12-01 06:00:01;1958-01-01 06:00:00;1957-12;46.0;G
1958-01-01 06:00:01;1958-02-01 06:00:00;1958-01;33.0;G
1958-02-01 06:00:01;1958-03-01 06:00:00;1958-02;25.0;G
1958-03-01 06:00:01;1958-04-01 06:00:00;1958-03;23.0;G
1958-04-01 06:00:01;1958-05-01 06:00:00;1958-04;22.0;G
1958-05-01 06:00:01;1958-06-01 06:00:00;1958-05;50.0;G
1958-06-01 06:00:01;1958-07-01 06:00:00;1958-06;30.0;G
1958-07-01 06:00:01;1958-08-01 06:00:00;1958-07;35.0;G
1958-08-01 06:00:01;1958-09-01 06:00:00;1958-08;84.0;G
1958-09-01 06:00:01;1958-10-01 06:00:00;1958-09;19.0;G
1958-10-01 06:00:01;1958-11-01 06:00:00;1958-10;66.0;G
1958-11-01 06:00:01;1958-12-01 06:00:00;1958-11;50.0;G
1958-12-01 06:00:01;1959-01-01 06:00:00;1958-12;60.0;G
1959-01-01 06:00:01;1959-02-01 06:00:00;1959-01;88.0;G
1959-02-01 06:00:01;1959-03-01 06:00:00;1959-02;8.0;G
1959-03-01 06:00:01;1959-04-01 06:00:00;1959-03;8.0;G
1959-04-01 06:00:01;1959-05-01 06:00:00;1959-04;88.0;G
1959-05-01 06:00:01;1959-06-01 06:00:00;1959-05;49.0;G
1959-06-01 06:00:01;1959-07-01 06:00:00;1959-06;44.0;G
1959-07-01 06:00:01;1959-08-01 06:00:00;1959-07;38.0;G
1959-08-01 06:00:01;1959-09-01 06:00:00;1959-08;44.0;G
1959-09-01 06:00:01;1959-10-01 06:00:00;1959-09;5.0;G
1959-10-01 06:00:01;1959-11-01 06:00:00;1959-10;55.0;G
1959-11-01 06:00:01;1959-12-01 06:00:00;1959-11;103.0;G
1959-12-01 06:00:01;1960-01-01 06:00:00;1959-12;97.0;G
1960-01-01 06:00:01;1960-02-01 06:00:00;1960-01;36.0;G
1960-02-01 06:00:01;1960-03-01 06:00:00;1960-02;30.0;G
1960-03-01 06:00:01;1960-04-01 06:00:00;1960-03;13.0;G
1960-04-01 06:00:01;1960-05-01 06:00:00;1960-04;19.0;G
1960-05-01 06:00:01;1960-06-01 06:00:00;1960-05;31.0;G
1960-06-01 06:00:01;1960-07-01 06:00:00;1960-06;104.0;G
1960-07-01 06:00:01;1960-08-01 06:00:00;1960-07;140.0;G
1960-08-01 06:00:01;1960-09-01 06:00:00;1960-08;127.0;G
1960-09-01 06:00:01;1960-10-01 06:00:00;1960-09;20.0;G
1960-10-01 06:00:01;1960-11-01 06:00:00;1960-10;59.0;G
1960-11-01 06:00:01;1960-12-01 06:00:00;1960-11;121.0;G
1960-12-01 06:00:01;1961-01-01 06:00:00;1960-12;60.0;G
1961-01-01 06:00:01;1961-02-01 06:00:00;1961-01;30.8;Y
1961-02-01 06:00:01;1961-03-01 06:00:00;1961-02;24.7;Y
1961-03-01 06:00:01;1961-04-01 06:00:00;1961-03;16.5;Y
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;9.4;Y
