Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Lungö A;128390;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-10-01 00:00:00;2018-04-30 23:59:59;17.0;62.643100000000004;18.0929

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;19.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;20.0;Y;;Tidsperiod (fr.o.m.) = 1995-10-01 00:00:00 (UTC)
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;17.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;2.1;Y;;Värdet är summerat över = 1 månad
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;6.7;Y;;
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;13.4;Y;;Kvalitetskoderna:
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;20.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;18.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;47.6;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;71.6;Y;;Orsaker till saknade data:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;39.3;Y;;  stationen eller givaren har varit ur funktion.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;24.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;25.4;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;47.7;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;83.4;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;30.3;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;11.4;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;31.5;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;9.8;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;19.8;Y
