Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Nora-Östanö D;128500;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1988-07-01 00:00:00;2012-12-31 23:59:59;50.0;62.8493;18.1893
2013-01-01 00:00:00;2018-05-01 15:00:00;50.0;62.8599;18.1795

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;2.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1988-07-01 06:00:01;1988-08-01 06:00:00;1988-07;38.6;Y;;Tidsperiod (fr.o.m.) = 1988-07-01 00:00:00 (UTC)
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;106.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;120.1;Y;;Värdet är summerat över = 1 månad
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;19.0;Y;;
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;16.5;Y;;Kvalitetskoderna:
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;39.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;40.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;96.9;Y;;
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;64.5;Y;;Orsaker till saknade data:
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;96.4;Y;;  stationen eller givaren har varit ur funktion.
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;53.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;47.2;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;15.0;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;49.7;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;14.7;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;7.4;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;59.6;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;60.6;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;117.6;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;57.7;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;30.0;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;22.1;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;22.1;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;61.3;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;121.3;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;27.3;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;116.3;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;78.8;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;53.1;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;37.7;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;27.3;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;14.3;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;65.2;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;12.3;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;44.1;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;116.5;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;75.4;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;26.9;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;85.2;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;30.7;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;57.9;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;25.8;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;20.8;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;22.1;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;21.3;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;116.0;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;29.2;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;24.5;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;103.2;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;154.1;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;83.3;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;66.6;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;161.5;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;30.4;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;28.6;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;15.9;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;12.2;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;14.4;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;33.2;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;58.2;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;84.6;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;169.6;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;24.0;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;60.8;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;32.0;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;92.7;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;122.1;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;5.0;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;54.5;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;37.2;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;21.9;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;47.0;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;5.1;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;19.6;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;86.4;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;70.4;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;42.3;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;67.8;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;94.7;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;35.0;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;83.3;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;44.1;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;45.3;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;9.7;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;79.4;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;74.1;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;17.3;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;28.5;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;23.1;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;2.7;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;9.7;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;21.4;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;15.1;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;16.3;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;58.6;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;75.8;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;65.9;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;26.0;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;55.3;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;64.8;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;92.7;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;51.7;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;17.1;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;71.0;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;43.4;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;29.5;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;18.1;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;54.2;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;63.0;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;56.3;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;50.5;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;41.3;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;121.2;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;52.1;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;143.8;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;53.9;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;36.9;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;41.1;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;40.3;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;73.0;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;107.6;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;79.3;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;55.5;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;112.9;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;54.7;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;40.7;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;64.3;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;73.9;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;52.5;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;94.5;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;11.5;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;89.1;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;32.3;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;77.2;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;57.5;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;70.4;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;43.8;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;60.3;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;48.0;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;39.3;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;25.3;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;62.2;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;47.3;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;57.4;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;186.5;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;83.6;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;54.7;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;155.2;Y
