Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Ullånger;128590;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-02-01 00:00:00;1998-05-17 23:59:59;45.0;62.9948;18.1794
1998-06-01 00:00:00;2007-10-31 23:59:59;45.0;62.9953;18.181
2007-11-01 00:00:00;2008-08-31 23:59:59;40.0;63.0053;18.2055
2008-09-01 00:00:00;2014-11-01 05:59:59;20.0;63.0132;18.188
2014-12-01 00:00:00;2018-03-31 23:59:59;20.0;63.0132;18.188

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1961-01-01 06:00:01;1961-02-01 06:00:00;1961-01;52.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1961-02-01 06:00:01;1961-03-01 06:00:00;1961-02;31.8;Y;;Tidsperiod (fr.o.m.) = 1961-02-01 00:00:00 (UTC)
1961-03-01 06:00:01;1961-04-01 06:00:00;1961-03;18.3;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;15.3;Y;;Värdet är summerat över = 1 månad
1961-05-01 06:00:01;1961-06-01 06:00:00;1961-05;47.0;Y;;
1961-06-01 06:00:01;1961-07-01 06:00:00;1961-06;47.8;Y;;Kvalitetskoderna:
1961-07-01 06:00:01;1961-08-01 06:00:00;1961-07;116.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1961-08-01 06:00:01;1961-09-01 06:00:00;1961-08;121.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1961-09-01 06:00:01;1961-10-01 06:00:00;1961-09;42.3;Y;;
1961-10-01 06:00:01;1961-11-01 06:00:00;1961-10;110.1;Y;;Orsaker till saknade data:
1961-11-01 06:00:01;1961-12-01 06:00:00;1961-11;72.0;Y;;  stationen eller givaren har varit ur funktion.
1961-12-01 06:00:01;1962-01-01 06:00:00;1961-12;53.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1962-02-01 06:00:01;1962-03-01 06:00:00;1962-02;59.6;Y
1962-03-01 06:00:01;1962-04-01 06:00:00;1962-03;34.8;Y
1962-04-01 06:00:01;1962-05-01 06:00:00;1962-04;73.9;Y
1962-05-01 06:00:01;1962-06-01 06:00:00;1962-05;49.6;Y
1962-06-01 06:00:01;1962-07-01 06:00:00;1962-06;34.8;Y
1962-07-01 06:00:01;1962-08-01 06:00:00;1962-07;58.5;Y
1962-08-01 06:00:01;1962-09-01 06:00:00;1962-08;152.5;Y
1962-09-01 06:00:01;1962-10-01 06:00:00;1962-09;74.5;Y
1962-10-01 06:00:01;1962-11-01 06:00:00;1962-10;24.6;Y
1962-11-01 06:00:01;1962-12-01 06:00:00;1962-11;34.0;G
1962-12-01 06:00:01;1963-01-01 06:00:00;1962-12;33.7;Y
1963-01-01 06:00:01;1963-02-01 06:00:00;1963-01;9.8;Y
1963-02-01 06:00:01;1963-03-01 06:00:00;1963-02;16.5;Y
1963-03-01 06:00:01;1963-04-01 06:00:00;1963-03;26.9;Y
1963-04-01 06:00:01;1963-05-01 06:00:00;1963-04;39.0;Y
1963-05-01 06:00:01;1963-06-01 06:00:00;1963-05;35.1;Y
1963-06-01 06:00:01;1963-07-01 06:00:00;1963-06;43.6;Y
1963-07-01 06:00:01;1963-08-01 06:00:00;1963-07;56.0;Y
1963-08-01 06:00:01;1963-09-01 06:00:00;1963-08;95.2;Y
1963-09-01 06:00:01;1963-10-01 06:00:00;1963-09;51.1;Y
1963-10-01 06:00:01;1963-11-01 06:00:00;1963-10;65.3;Y
1963-11-01 06:00:01;1963-12-01 06:00:00;1963-11;117.7;Y
1963-12-01 06:00:01;1964-01-01 06:00:00;1963-12;42.5;Y
1964-01-01 06:00:01;1964-02-01 06:00:00;1964-01;1.3;Y
1964-02-01 06:00:01;1964-03-01 06:00:00;1964-02;45.6;Y
1964-03-01 06:00:01;1964-04-01 06:00:00;1964-03;4.2;Y
1964-04-01 06:00:01;1964-05-01 06:00:00;1964-04;14.9;Y
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;48.8;Y
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;43.1;Y
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;103.7;Y
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;66.3;Y
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;88.5;Y
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;36.1;Y
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;57.0;Y
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;84.0;Y
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;39.5;Y
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;36.1;Y
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;45.1;Y
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;19.9;Y
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;48.4;Y
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;114.5;Y
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;30.1;Y
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;203.7;Y
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;26.2;Y
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;112.0;Y
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;101.4;Y
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;30.5;Y
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;42.2;Y
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;121.6;Y
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;26.3;Y
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;35.3;Y
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;27.8;Y
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;115.9;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;52.7;Y
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;72.5;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;71.3;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;58.2;Y
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;323.7;Y
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;86.9;Y
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;77.1;Y
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;66.8;Y
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;22.1;Y
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;122.7;Y
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;44.3;Y
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;39.7;Y
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;106.9;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;69.6;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;147.5;Y
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;103.6;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;95.9;Y
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;38.6;Y
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;18.2;Y
1968-03-01 06:00:01;1968-04-01 06:00:00;1968-03;63.3;Y
1968-04-01 06:00:01;1968-05-01 06:00:00;1968-04;45.5;Y
1968-05-01 06:00:01;1968-06-01 06:00:00;1968-05;52.3;Y
1968-06-01 06:00:01;1968-07-01 06:00:00;1968-06;26.8;Y
1968-07-01 06:00:01;1968-08-01 06:00:00;1968-07;55.9;Y
1968-08-01 06:00:01;1968-09-01 06:00:00;1968-08;77.8;Y
1968-09-01 06:00:01;1968-10-01 06:00:00;1968-09;35.8;Y
1968-10-01 06:00:01;1968-11-01 06:00:00;1968-10;96.1;Y
1968-11-01 06:00:01;1968-12-01 06:00:00;1968-11;28.7;Y
1968-12-01 06:00:01;1969-01-01 06:00:00;1968-12;55.5;Y
1969-01-01 06:00:01;1969-02-01 06:00:00;1969-01;49.1;Y
1969-02-01 06:00:01;1969-03-01 06:00:00;1969-02;70.3;Y
1969-03-01 06:00:01;1969-04-01 06:00:00;1969-03;32.5;Y
1969-04-01 06:00:01;1969-05-01 06:00:00;1969-04;50.7;Y
1969-05-01 06:00:01;1969-06-01 06:00:00;1969-05;17.8;Y
1969-06-01 06:00:01;1969-07-01 06:00:00;1969-06;15.3;Y
1969-07-01 06:00:01;1969-08-01 06:00:00;1969-07;40.3;Y
1969-08-01 06:00:01;1969-09-01 06:00:00;1969-08;78.1;Y
1969-09-01 06:00:01;1969-10-01 06:00:00;1969-09;75.7;Y
1969-10-01 06:00:01;1969-11-01 06:00:00;1969-10;38.2;Y
1969-11-01 06:00:01;1969-12-01 06:00:00;1969-11;88.1;Y
1969-12-01 06:00:01;1970-01-01 06:00:00;1969-12;45.5;Y
1970-01-01 06:00:01;1970-02-01 06:00:00;1970-01;42.4;Y
1970-02-01 06:00:01;1970-03-01 06:00:00;1970-02;19.6;Y
1970-03-01 06:00:01;1970-04-01 06:00:00;1970-03;120.0;G
1970-04-01 06:00:01;1970-05-01 06:00:00;1970-04;65.2;Y
1970-05-01 06:00:01;1970-06-01 06:00:00;1970-05;30.5;Y
1970-06-01 06:00:01;1970-07-01 06:00:00;1970-06;13.9;Y
1970-07-01 06:00:01;1970-08-01 06:00:00;1970-07;115.6;Y
1970-08-01 06:00:01;1970-09-01 06:00:00;1970-08;29.8;Y
1970-09-01 06:00:01;1970-10-01 06:00:00;1970-09;67.4;Y
1970-10-01 06:00:01;1970-11-01 06:00:00;1970-10;120.1;Y
1970-11-01 06:00:01;1970-12-01 06:00:00;1970-11;161.2;Y
1970-12-01 06:00:01;1971-01-01 06:00:00;1970-12;10.7;Y
1971-01-01 06:00:01;1971-02-01 06:00:00;1971-01;75.4;Y
1971-02-01 06:00:01;1971-03-01 06:00:00;1971-02;52.9;Y
1971-03-01 06:00:01;1971-04-01 06:00:00;1971-03;38.3;Y
1971-04-01 06:00:01;1971-05-01 06:00:00;1971-04;36.5;Y
1971-05-01 06:00:01;1971-06-01 06:00:00;1971-05;39.9;Y
1971-06-01 06:00:01;1971-07-01 06:00:00;1971-06;30.4;Y
1971-07-01 06:00:01;1971-08-01 06:00:00;1971-07;41.2;Y
1971-08-01 06:00:01;1971-09-01 06:00:00;1971-08;37.9;Y
1971-09-01 06:00:01;1971-10-01 06:00:00;1971-09;81.4;Y
1971-10-01 06:00:01;1971-11-01 06:00:00;1971-10;41.2;Y
1971-11-01 06:00:01;1971-12-01 06:00:00;1971-11;63.5;Y
1971-12-01 06:00:01;1972-01-01 06:00:00;1971-12;43.7;Y
1972-01-01 06:00:01;1972-02-01 06:00:00;1972-01;29.4;Y
1972-02-01 06:00:01;1972-03-01 06:00:00;1972-02;29.7;Y
1972-03-01 06:00:01;1972-04-01 06:00:00;1972-03;42.8;Y
1972-04-01 06:00:01;1972-05-01 06:00:00;1972-04;54.5;Y
1972-05-01 06:00:01;1972-06-01 06:00:00;1972-05;65.7;Y
1972-06-01 06:00:01;1972-07-01 06:00:00;1972-06;17.2;Y
1972-07-01 06:00:01;1972-08-01 06:00:00;1972-07;90.9;Y
1972-08-01 06:00:01;1972-09-01 06:00:00;1972-08;39.0;Y
1972-09-01 06:00:01;1972-10-01 06:00:00;1972-09;46.6;Y
1972-10-01 06:00:01;1972-11-01 06:00:00;1972-10;61.1;Y
1972-11-01 06:00:01;1972-12-01 06:00:00;1972-11;79.4;Y
1972-12-01 06:00:01;1973-01-01 06:00:00;1972-12;26.3;Y
1973-01-01 06:00:01;1973-02-01 06:00:00;1973-01;29.8;Y
1973-02-01 06:00:01;1973-03-01 06:00:00;1973-02;65.7;Y
1973-03-01 06:00:01;1973-04-01 06:00:00;1973-03;22.9;Y
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;68.1;Y
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;40.7;Y
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;37.7;Y
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;87.7;Y
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;55.0;Y
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;59.7;Y
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;29.3;Y
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;48.7;Y
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;87.9;Y
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;63.1;Y
