Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Medstugan;132320;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1976-01-01 00:00:00;2018-04-30 23:59:59;550.0;63.5269;12.4037

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;171.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;87.2;Y;;Tidsperiod (fr.o.m.) = 1976-01-01 00:00:00 (UTC)
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;59.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;29.0;Y;;Värdet är summerat över = 1 månad
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;41.2;Y;;
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;15.3;Y;;Kvalitetskoderna:
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;59.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;59.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;30.1;Y;;
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;81.9;Y;;Orsaker till saknade data:
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;41.2;Y;;  stationen eller givaren har varit ur funktion.
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;49.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;43.4;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;34.4;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;23.6;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;28.0;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;46.9;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;21.4;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;46.2;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;41.6;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;59.3;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;49.7;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;54.5;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;28.2;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;54.9;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;64.9;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;12.1;Y
