Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Digernäset D;132370;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1993-06-01 00:00:00;2018-05-01 15:00:00;410.0;63.624;12.9206
1989-08-01 00:00:00;1993-05-11 23:59:59;410.0;63.6227;12.9219

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;62.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;124.5;Y;;Tidsperiod (fr.o.m.) = 1989-08-01 00:00:00 (UTC)
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;72.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;73.3;Y;;Värdet är summerat över = 1 månad
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;39.7;Y;;
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;127.6;Y;;Kvalitetskoderna:
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;73.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;40.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;116.8;Y;;
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;55.1;Y;;Orsaker till saknade data:
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;21.4;Y;;  stationen eller givaren har varit ur funktion.
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;28.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;85.2;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;51.0;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;81.9;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;46.7;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;68.0;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;107.6;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;60.3;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;24.5;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;45.7;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;39.7;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;36.7;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;83.9;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;60.5;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;33.9;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;107.0;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;47.0;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;60.9;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;83.7;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;233.1;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;66.9;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;55.7;Y
