Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Höglekardalen;133050;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-02-01 00:00:00;2018-04-30 23:59:59;592.0;63.0796;13.7529

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1962-01-01 06:00:01;1962-02-01 06:00:00;1962-01;55.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-02-01 06:00:01;1962-03-01 06:00:00;1962-02;29.8;Y;;Tidsperiod (fr.o.m.) = 1962-02-01 00:00:00 (UTC)
1962-03-01 06:00:01;1962-04-01 06:00:00;1962-03;43.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1962-04-01 06:00:01;1962-05-01 06:00:00;1962-04;45.9;Y;;Värdet är summerat över = 1 månad
1962-05-01 06:00:01;1962-06-01 06:00:00;1962-05;43.8;Y;;
1962-06-01 06:00:01;1962-07-01 06:00:00;1962-06;105.5;Y;;Kvalitetskoderna:
1962-07-01 06:00:01;1962-08-01 06:00:00;1962-07;104.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1962-08-01 06:00:01;1962-09-01 06:00:00;1962-08;130.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1962-09-01 06:00:01;1962-10-01 06:00:00;1962-09;74.8;Y;;
1962-10-01 06:00:01;1962-11-01 06:00:00;1962-10;25.9;Y;;Orsaker till saknade data:
1962-11-01 06:00:01;1962-12-01 06:00:00;1962-11;35.5;Y;;  stationen eller givaren har varit ur funktion.
1962-12-01 06:00:01;1963-01-01 06:00:00;1962-12;55.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1963-01-01 06:00:01;1963-02-01 06:00:00;1963-01;32.7;Y
1963-02-01 06:00:01;1963-03-01 06:00:00;1963-02;36.8;Y
1963-03-01 06:00:01;1963-04-01 06:00:00;1963-03;34.0;G
1963-04-01 06:00:01;1963-05-01 06:00:00;1963-04;23.0;G
1963-05-01 06:00:01;1963-06-01 06:00:00;1963-05;65.7;Y
1963-06-01 06:00:01;1963-07-01 06:00:00;1963-06;135.3;Y
1963-07-01 06:00:01;1963-08-01 06:00:00;1963-07;45.1;Y
1963-08-01 06:00:01;1963-09-01 06:00:00;1963-08;128.8;Y
1963-09-01 06:00:01;1963-10-01 06:00:00;1963-09;73.3;Y
1963-10-01 06:00:01;1963-11-01 06:00:00;1963-10;52.4;Y
1963-11-01 06:00:01;1963-12-01 06:00:00;1963-11;50.2;Y
1963-12-01 06:00:01;1964-01-01 06:00:00;1963-12;37.4;Y
1964-01-01 06:00:01;1964-02-01 06:00:00;1964-01;34.8;Y
1964-02-01 06:00:01;1964-03-01 06:00:00;1964-02;62.9;Y
1964-03-01 06:00:01;1964-04-01 06:00:00;1964-03;7.6;Y
1964-04-01 06:00:01;1964-05-01 06:00:00;1964-04;19.3;Y
1964-05-01 06:00:01;1964-06-01 06:00:00;1964-05;41.9;Y
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;81.1;Y
