Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Vallbo;133100;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1939-12-01 00:00:00;1960-12-31 23:59:59;575.0;63.15;13.08
1991-01-01 00:00:00;2018-03-31 23:59:59;575.0;63.1569;13.0726
1961-01-01 00:00:00;1990-12-08 23:59:59;575.0;63.1586;13.0728

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1939-11-01 07:00:01;1939-12-01 07:00:00;1939-11;26.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1939-12-01 07:00:01;1940-01-01 07:00:00;1939-12;43.0;G;;Tidsperiod (fr.o.m.) = 1939-12-01 00:00:00 (UTC)
1940-01-01 07:00:01;1940-02-01 07:00:00;1940-01;54.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1940-02-01 07:00:01;1940-03-01 07:00:00;1940-02;51.0;G;;Värdet är summerat över = 1 månad
1940-03-01 07:00:01;1940-04-01 07:00:00;1940-03;32.0;G;;
1940-04-01 07:00:01;1940-05-01 07:00:00;1940-04;27.0;G;;Kvalitetskoderna:
1940-05-01 07:00:01;1940-06-01 07:00:00;1940-05;11.0;G;;Grön (G) = Kontrollerade och godkända värden.
1940-06-01 07:00:01;1940-07-01 07:00:00;1940-06;34.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1940-07-01 07:00:01;1940-08-01 07:00:00;1940-07;59.0;G;;
1940-08-01 07:00:01;1940-09-01 07:00:00;1940-08;157.0;G;;Orsaker till saknade data:
1940-09-01 07:00:01;1940-10-01 07:00:00;1940-09;41.0;G;;  stationen eller givaren har varit ur funktion.
1940-10-01 07:00:01;1940-11-01 07:00:00;1940-10;32.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1940-11-01 07:00:01;1940-12-01 07:00:00;1940-11;49.0;G
1940-12-01 07:00:01;1941-01-01 07:00:00;1940-12;54.0;G
1941-01-01 07:00:01;1941-02-01 07:00:00;1941-01;20.0;G
1941-02-01 07:00:01;1941-03-01 07:00:00;1941-02;25.0;G
1941-03-01 07:00:01;1941-04-01 07:00:00;1941-03;37.0;G
1941-04-01 07:00:01;1941-05-01 07:00:00;1941-04;21.0;G
1941-05-01 07:00:01;1941-06-01 07:00:00;1941-05;6.0;G
1941-06-01 07:00:01;1941-07-01 07:00:00;1941-06;103.0;G
1941-07-01 07:00:01;1941-08-01 07:00:00;1941-07;44.0;G
1941-08-01 07:00:01;1941-09-01 07:00:00;1941-08;141.0;G
1941-09-01 07:00:01;1941-10-01 07:00:00;1941-09;86.0;G
1941-10-01 07:00:01;1941-11-01 07:00:00;1941-10;37.0;G
1941-11-01 07:00:01;1941-12-01 07:00:00;1941-11;15.0;G
1941-12-01 07:00:01;1942-01-01 07:00:00;1941-12;73.0;G
1942-01-01 07:00:01;1942-02-01 07:00:00;1942-01;11.0;G
1942-02-01 07:00:01;1942-03-01 07:00:00;1942-02;21.0;G
1942-03-01 07:00:01;1942-04-01 07:00:00;1942-03;23.0;G
1942-04-01 07:00:01;1942-05-01 07:00:00;1942-04;10.0;G
1942-05-01 07:00:01;1942-06-01 07:00:00;1942-05;34.0;G
1942-06-01 07:00:01;1942-07-01 07:00:00;1942-06;83.0;G
1942-07-01 07:00:01;1942-08-01 07:00:00;1942-07;141.0;G
1942-08-01 07:00:01;1942-09-01 07:00:00;1942-08;43.0;G
1942-09-01 07:00:01;1942-10-01 07:00:00;1942-09;53.0;G
1942-10-01 07:00:01;1942-11-01 07:00:00;1942-10;80.0;G
1942-11-01 07:00:01;1942-12-01 07:00:00;1942-11;60.0;G
1942-12-01 07:00:01;1943-01-01 07:00:00;1942-12;7.0;G
1943-01-01 07:00:01;1943-02-01 07:00:00;1943-01;25.0;G
1943-02-01 07:00:01;1943-03-01 07:00:00;1943-02;67.0;G
1943-03-01 07:00:01;1943-04-01 07:00:00;1943-03;39.0;G
1943-04-01 07:00:01;1943-05-01 07:00:00;1943-04;31.0;G
1943-05-01 07:00:01;1943-06-01 07:00:00;1943-05;52.0;G
1943-06-01 07:00:01;1943-07-01 07:00:00;1943-06;32.0;G
1943-07-01 07:00:01;1943-08-01 07:00:00;1943-07;52.0;G
1943-08-01 07:00:01;1943-09-01 07:00:00;1943-08;46.0;G
1943-09-01 07:00:01;1943-10-01 07:00:00;1943-09;25.0;G
1943-10-01 07:00:01;1943-11-01 07:00:00;1943-10;35.0;G
1943-11-01 07:00:01;1943-12-01 07:00:00;1943-11;34.0;G
1943-12-01 07:00:01;1944-01-01 07:00:00;1943-12;34.0;G
1944-01-01 07:00:01;1944-02-01 07:00:00;1944-01;60.0;G
1944-02-01 07:00:01;1944-03-01 07:00:00;1944-02;21.0;G
1944-03-01 07:00:01;1944-04-01 07:00:00;1944-03;54.0;G
1944-04-01 07:00:01;1944-05-01 07:00:00;1944-04;24.0;G
1944-05-01 07:00:01;1944-06-01 07:00:00;1944-05;30.0;G
1944-06-01 07:00:01;1944-07-01 07:00:00;1944-06;67.0;G
