Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Bottnen;133410;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2006-11-01 00:00:00;2018-03-31 23:59:59;400.0;63.6769;13.3699

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;142.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;86.7;Y;;Tidsperiod (fr.o.m.) = 2006-11-01 00:00:00 (UTC)
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;91.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;94.0;Y;;Värdet är summerat över = 1 månad
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;35.3;Y;;
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;47.8;Y;;Kvalitetskoderna:
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;47.4;Y;;Grön (G) = Kontrollerade och godkända värden.
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;40.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;16.2;Y;;
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;94.3;Y;;Orsaker till saknade data:
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;48.5;Y;;  stationen eller givaren har varit ur funktion.
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;55.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;56.9;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;100.6;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;48.6;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;100.8;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;89.1;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;47.8;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;34.0;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;49.9;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;58.1;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;39.7;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;72.0;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;34.8;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;88.9;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;118.9;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;39.1;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;64.0;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;79.0;Y
