Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Olden D;133420;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1983-07-01 00:00:00;2018-05-01 15:00:00;340.0;63.6964;13.6504

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1983-06-01 06:00:01;1983-07-01 06:00:00;1983-06;48.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1983-07-01 06:00:01;1983-08-01 06:00:00;1983-07;38.1;Y;;Tidsperiod (fr.o.m.) = 1983-07-01 00:00:00 (UTC)
1983-08-01 06:00:01;1983-09-01 06:00:00;1983-08;50.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1983-09-01 06:00:01;1983-10-01 06:00:00;1983-09;155.6;Y;;Värdet är summerat över = 1 månad
1983-10-01 06:00:01;1983-11-01 06:00:00;1983-10;119.9;Y;;
1983-11-01 06:00:01;1983-12-01 06:00:00;1983-11;87.5;Y;;Kvalitetskoderna:
1983-12-01 06:00:01;1984-01-01 06:00:00;1983-12;93.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1984-01-01 06:00:01;1984-02-01 06:00:00;1984-01;54.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1984-02-01 06:00:01;1984-03-01 06:00:00;1984-02;53.2;Y;;
1984-03-01 06:00:01;1984-04-01 06:00:00;1984-03;30.4;Y;;Orsaker till saknade data:
1984-04-01 06:00:01;1984-05-01 06:00:00;1984-04;13.2;Y;;  stationen eller givaren har varit ur funktion.
1984-05-01 06:00:01;1984-06-01 06:00:00;1984-05;63.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1984-06-01 06:00:01;1984-07-01 06:00:00;1984-06;71.4;Y
1984-07-01 06:00:01;1984-08-01 06:00:00;1984-07;9.4;Y
1984-08-01 06:00:01;1984-09-01 06:00:00;1984-08;54.4;Y
1984-09-01 06:00:01;1984-10-01 06:00:00;1984-09;56.6;Y
1984-10-01 06:00:01;1984-11-01 06:00:00;1984-10;153.7;Y
1984-11-01 06:00:01;1984-12-01 06:00:00;1984-11;70.8;Y
1984-12-01 06:00:01;1985-01-01 06:00:00;1984-12;27.3;Y
1985-01-01 06:00:01;1985-02-01 06:00:00;1985-01;47.8;Y
1985-02-01 06:00:01;1985-03-01 06:00:00;1985-02;50.1;Y
1985-03-01 06:00:01;1985-04-01 06:00:00;1985-03;59.1;Y
1985-04-01 06:00:01;1985-05-01 06:00:00;1985-04;26.1;Y
1985-05-01 06:00:01;1985-06-01 06:00:00;1985-05;42.9;Y
1985-06-01 06:00:01;1985-07-01 06:00:00;1985-06;49.0;Y
1985-07-01 06:00:01;1985-08-01 06:00:00;1985-07;113.0;Y
1985-08-01 06:00:01;1985-09-01 06:00:00;1985-08;74.7;Y
1985-09-01 06:00:01;1985-10-01 06:00:00;1985-09;75.7;Y
1985-10-01 06:00:01;1985-11-01 06:00:00;1985-10;90.6;Y
1985-11-01 06:00:01;1985-12-01 06:00:00;1985-11;55.3;Y
1985-12-01 06:00:01;1986-01-01 06:00:00;1985-12;70.0;Y
1986-01-01 06:00:01;1986-02-01 06:00:00;1986-01;30.9;Y
1986-02-01 06:00:01;1986-03-01 06:00:00;1986-02;11.1;Y
1986-03-01 06:00:01;1986-04-01 06:00:00;1986-03;22.9;Y
1986-04-01 06:00:01;1986-05-01 06:00:00;1986-04;34.6;Y
1986-05-01 06:00:01;1986-06-01 06:00:00;1986-05;35.6;Y
1986-06-01 06:00:01;1986-07-01 06:00:00;1986-06;26.7;Y
1986-07-01 06:00:01;1986-08-01 06:00:00;1986-07;121.5;Y
1986-08-01 06:00:01;1986-09-01 06:00:00;1986-08;57.2;Y
1986-09-01 06:00:01;1986-10-01 06:00:00;1986-09;82.0;Y
1986-10-01 06:00:01;1986-11-01 06:00:00;1986-10;41.3;Y
1986-11-01 06:00:01;1986-12-01 06:00:00;1986-11;74.3;Y
1986-12-01 06:00:01;1987-01-01 06:00:00;1986-12;95.5;Y
1987-01-01 06:00:01;1987-02-01 06:00:00;1987-01;55.3;Y
1987-02-01 06:00:01;1987-03-01 06:00:00;1987-02;79.8;Y
1987-03-01 06:00:01;1987-04-01 06:00:00;1987-03;27.8;Y
1987-04-01 06:00:01;1987-05-01 06:00:00;1987-04;40.5;Y
1987-05-01 06:00:01;1987-06-01 06:00:00;1987-05;39.3;Y
1987-06-01 06:00:01;1987-07-01 06:00:00;1987-06;95.8;Y
1987-07-01 06:00:01;1987-08-01 06:00:00;1987-07;40.4;Y
1987-08-01 06:00:01;1987-09-01 06:00:00;1987-08;106.7;Y
1987-09-01 06:00:01;1987-10-01 06:00:00;1987-09;81.8;Y
1987-10-01 06:00:01;1987-11-01 06:00:00;1987-10;71.6;Y
1987-11-01 06:00:01;1987-12-01 06:00:00;1987-11;56.7;Y
1987-12-01 06:00:01;1988-01-01 06:00:00;1987-12;94.0;Y
1988-01-01 06:00:01;1988-02-01 06:00:00;1988-01;50.6;Y
1988-02-01 06:00:01;1988-03-01 06:00:00;1988-02;48.0;Y
1988-03-01 06:00:01;1988-04-01 06:00:00;1988-03;37.6;Y
1988-04-01 06:00:01;1988-05-01 06:00:00;1988-04;35.4;Y
1988-05-01 06:00:01;1988-06-01 06:00:00;1988-05;27.3;Y
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;36.0;Y
1988-07-01 06:00:01;1988-08-01 06:00:00;1988-07;58.8;Y
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;79.0;Y
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;113.0;Y
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;46.3;Y
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;27.8;Y
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;112.2;Y
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;124.9;Y
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;72.8;Y
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;35.8;Y
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;15.7;Y
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;43.3;Y
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;22.0;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;52.0;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;98.6;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;42.8;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;45.6;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;37.8;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;96.0;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;115.5;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;56.3;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;74.4;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;43.8;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;20.0;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;27.3;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;83.5;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;52.1;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;147.1;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;41.6;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;40.3;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;69.2;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;45.8;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;21.7;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;54.0;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;22.0;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;21.4;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;75.9;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;52.1;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;23.7;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;88.8;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;49.1;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;75.6;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;63.3;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;128.9;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;53.0;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;41.2;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;62.4;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;44.4;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;58.6;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;88.0;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;131.2;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;22.6;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;46.0;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;90.5;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;54.6;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;64.0;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;57.1;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;59.2;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;4.0;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;66.4;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;50.7;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;147.0;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;98.7;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;32.1;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;58.3;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;22.8;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;54.9;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;99.2;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;5.3;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;43.4;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;29.6;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;14.9;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;80.6;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;13.5;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;38.1;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;27.1;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;67.3;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;89.8;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;57.5;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;41.3;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;66.3;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;53.7;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;40.4;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;71.9;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;56.0;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;45.5;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;44.0;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;15.7;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;57.5;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;65.9;Y
